date,net_income_ttm
"Dec. 31, 2019",-3.515B
"Sept. 30, 2019",-936.00M
"June 30, 2019",-703.00M
"March 31, 2019",-152.00M
"Dec. 31, 2018",40.00M
"Sept. 30, 2018",877.00M
"June 30, 2018",859.00M
"March 31, 2018",1.236B
"Dec. 31, 2017",1.304B
"Sept. 30, 2017",666.00M
"June 30, 2017",-4.00M
"March 31, 2017",-820.00M
"Dec. 31, 2016",-1.405B
"Sept. 30, 2016",-5.238B
"June 30, 2016",-8.774B
"March 31, 2016",-9.39B
"Dec. 31, 2015",-13.67B
"Sept. 30, 2015",-17.42B
"June 30, 2015",-14.61B
"March 31, 2015",-13.25B
"Dec. 31, 2014",-8.36B
"Sept. 30, 2014",-415.00M
"June 30, 2014",1.221B
"March 31, 2014",1.751B
"Dec. 31, 2013",2.232B
"Sept. 30, 2013",2.726B
"June 30, 2013",2.60B
"March 31, 2013",1.921B
"Dec. 31, 2012",2.001B
"Sept. 30, 2012",2.522B
"June 30, 2012",3.344B
"March 31, 2012",4.247B
"Dec. 31, 2011",4.584B
"Sept. 30, 2011",4.084B
"June 30, 2011",3.86B
"March 31, 2011",3.461B
"Dec. 31, 2010",3.032B
"Sept. 30, 2010",2.928B
"June 30, 2010",2.592B
"March 31, 2010",2.177B
"Dec. 31, 2009",-285.00M
"Sept. 30, 2009",-3.816B
"June 30, 2009",-3.067B
"March 31, 2009",-2.066B
"Dec. 31, 2008",711.95M
"Sept. 30, 2008",4.730B
"June 30, 2008",4.153B
"March 31, 2008",3.341B
"Dec. 31, 2007",2.812B
"Sept. 30, 2007",2.261B
"June 30, 2007",2.294B
"March 31, 2007",2.384B
"Dec. 31, 2006",2.552B
"Sept. 30, 2006",2.820B
"June 30, 2006",2.860B
"March 31, 2006",2.724B
"Dec. 31, 2005",2.624B
"Sept. 30, 2005",2.344B
"June 30, 2005",2.087B
"March 31, 2005",1.883B
"Dec. 31, 2004",1.669B
"Sept. 30, 2004",1.422B
"June 30, 2004",1.268B
"March 31, 2004",1.129B
"Dec. 31, 2003",1.122B
"Sept. 30, 2003",1.041B
"June 30, 2003",910.66M
"March 31, 2003",812.59M
"Dec. 31, 2002",554.33M
"Sept. 30, 2002",452.13M
"June 30, 2002",462.44M
"March 31, 2002",521.87M
"Dec. 31, 2001",723.40M
"Sept. 30, 2001",890.02M
"June 30, 2001",939.36M
"March 31, 2001",877.85M
"Dec. 31, 2000",711.95M
"Sept. 30, 2000",564.17M
"June 30, 2000",430.79M
"March 31, 2000",319.33M
"Dec. 31, 1999",200.82M
"Sept. 30, 1999",-55.82M
"June 30, 1999",-125.42M
"March 31, 1999",-148.99M
"Dec. 31, 1998",-129.39M
"Sept. 30, 1998",75.30M
"June 30, 1998",102.90M
"March 31, 1998",119.40M
"Dec. 31, 1997",154.90M
"Sept. 30, 1997",160.60M
"June 30, 1997",159.90M
"March 31, 1997",158.60M
"Dec. 31, 1996",121.40M
"Sept. 30, 1996",78.70M
"June 30, 1996",55.60M
"March 31, 1996",31.70M
"Dec. 31, 1995",22.00M
"Sept. 30, 1995",26.10M
"June 30, 1995",29.70M
"March 31, 1995",39.40M
"Dec. 31, 1994",42.80M
"Sept. 30, 1994",43.30M
"June 30, 1994",33.80M
"March 31, 1994",35.10M
"Dec. 31, 1993",37.30M
"Sept. 30, 1993",35.40M
"June 30, 1993",42.80M
"March 31, 1993",55.30M
"Dec. 31, 1992",47.70M
"Sept. 30, 1992",51.30M
"June 30, 1992",43.90M
"March 31, 1992",26.50M
"Dec. 31, 1991",34.60M
"Sept. 30, 1991",31.50M
"June 30, 1991",39.90M
"March 31, 1991",41.00M
"Dec. 31, 1990",40.40M
"Sept. 30, 1990",35.80M
"June 30, 1990",31.40M
"March 31, 1990",28.20M
"Dec. 31, 1989",22.10M
"Sept. 30, 1989",17.10M
"June 30, 1989",16.10M
"March 31, 1989",12.00M
"Dec. 31, 1988",8.00M
"Sept. 30, 1988",-75.60M
"June 30, 1988",-79.60M
"March 31, 1988",-79.30M
"Dec. 31, 1987",-80.90M
"Sept. 30, 1987",-16.10M
"June 30, 1987",-14.50M
"March 31, 1987",-13.80M
"Dec. 31, 1986",-10.80M
"Sept. 30, 1986",-2.30M
"June 30, 1986",0.50M
"March 31, 1986",4.40M
"Dec. 31, 1985",7.90M
"Sept. 30, 1985",21.60M
"June 30, 1985",22.10M
"March 31, 1985",21.70M
"Dec. 31, 1984",21.30M
