date,sales_est_0q
"March 18, 2020",1.457B
"March 16, 2020",1.457B
"March 13, 2020",1.536B
"March 10, 2020",1.536B
"March 9, 2020",1.528B
"March 3, 2020",1.616B
"March 2, 2020",1.612B
"Feb. 28, 2020",1.637B
"Feb. 27, 2020",1.639B
"Feb. 3, 2020",1.641B
"Jan. 28, 2020",1.645B
"Jan. 27, 2020",1.649B
"Jan. 24, 2020",1.651B
"Jan. 22, 2020",1.647B
"Jan. 21, 2020",1.649B
"Jan. 14, 2020",1.651B
"Jan. 13, 2020",1.638B
"Jan. 8, 2020",1.628B
"Jan. 6, 2020",1.629B
"Dec. 31, 2019",1.608B
"Dec. 25, 2019",1.568B
"Dec. 23, 2019",1.568B
"Dec. 20, 2019",1.571B
"Dec. 17, 2019",1.565B
"Dec. 9, 2019",1.565B
"Dec. 3, 2019",1.568B
"Nov. 21, 2019",1.565B
"Nov. 19, 2019",1.556B
"Nov. 15, 2019",1.562B
"Nov. 13, 2019",1.563B
"Nov. 7, 2019",1.559B
"Nov. 4, 2019",1.571B
"Nov. 1, 2019",1.591B
"Oct. 31, 2019",1.599B
"Oct. 28, 2019",1.591B
"Oct. 24, 2019",1.590B
"Oct. 21, 2019",1.591B
"Oct. 20, 2019",1.610B
"Oct. 18, 2019",1.612B
"Oct. 17, 2019",1.633B
"Oct. 16, 2019",1.633B
"Oct. 15, 2019",1.652B
"Oct. 14, 2019",1.653B
"Oct. 10, 2019",1.659B
"Oct. 8, 2019",1.683B
"Oct. 4, 2019",1.677B
"Sept. 30, 2019",1.438B
"Sept. 23, 2019",1.502B
"Sept. 16, 2019",1.500B
"Sept. 6, 2019",1.505B
"Aug. 30, 2019",1.496B
"Aug. 22, 2019",1.505B
"Aug. 16, 2019",1.511B
"Aug. 15, 2019",1.516B
"Aug. 11, 2019",1.515B
"Aug. 5, 2019",1.518B
"Aug. 2, 2019",1.526B
"Aug. 1, 2019",1.544B
"July 31, 2019",1.600B
"July 23, 2019",1.618B
"July 22, 2019",1.621B
"July 19, 2019",1.649B
"July 18, 2019",1.645B
"July 15, 2019",1.679B
"July 12, 2019",1.674B
"July 11, 2019",1.693B
"July 10, 2019",1.695B
"June 30, 2019",1.588B
"June 14, 2019",1.667B
"June 11, 2019",1.666B
"May 30, 2019",1.670B
"May 28, 2019",1.683B
"May 23, 2019",1.685B
"May 17, 2019",1.684B
"May 15, 2019",1.700B
"May 14, 2019",1.694B
"May 13, 2019",1.701B
"May 10, 2019",1.700B
"May 7, 2019",1.700B
"May 6, 2019",1.692B
"May 3, 2019",1.713B
"May 2, 2019",1.684B
"April 29, 2019",1.702B
"April 24, 2019",1.710B
"April 22, 2019",1.712B
"April 18, 2019",1.715B
"April 17, 2019",1.709B
"April 16, 2019",1.712B
"April 15, 2019",1.674B
"April 11, 2019",1.674B
"April 5, 2019",1.657B
"April 4, 2019",1.635B
"March 31, 2019",1.635B
"March 27, 2019",1.625B
"March 22, 2019",1.625B
"March 19, 2019",1.608B
"March 18, 2019",1.612B
"March 11, 2019",1.612B
"March 8, 2019",1.637B
"March 6, 2019",1.637B
"March 5, 2019",1.548B
"March 4, 2019",1.583B
"Feb. 28, 2019",1.649B
"Feb. 20, 2019",1.644B
"Feb. 15, 2019",1.644B
"Feb. 8, 2019",1.643B
"Jan. 30, 2019",1.635B
"Jan. 29, 2019",1.655B
"Jan. 28, 2019",1.675B
"Jan. 18, 2019",1.667B
"Jan. 15, 2019",1.689B
"Jan. 9, 2019",1.693B
"Jan. 7, 2019",1.762B
"Jan. 2, 2019",1.894B
