date,cash_on_hand
"Dec. 31, 2019",247.00M
"Sept. 30, 2019",163.00M
"June 30, 2019",549.00M
"March 31, 2019",327.00M
"Dec. 31, 2018",714.00M
"Sept. 30, 2018",593.00M
"June 30, 2018",972.00M
"March 31, 2018",1.077B
"Dec. 31, 2017",1.668B
"Sept. 30, 2017",1.846B
"June 30, 2017",1.667B
"March 31, 2017",1.521B
"Dec. 31, 2016",1.377B
"Sept. 30, 2016",1.23B
"June 30, 2016",1.201B
"March 31, 2016",1.004B
"Dec. 31, 2015",1.467B
"Sept. 30, 2015",1.655B
"June 30, 2015",2.95B
"March 31, 2015",229.00M
"Dec. 31, 2014",769.00M
"Sept. 30, 2014",510.00M
"June 30, 2014",524.00M
"March 31, 2014",1.643B
"Dec. 31, 2013",1.906B
"Sept. 30, 2013",1.251B
"June 30, 2013",184.00M
"March 31, 2013",248.00M
"Dec. 31, 2012",160.00M
"Sept. 30, 2012",318.00M
"June 30, 2012",361.00M
"March 31, 2012",245.00M
"Dec. 31, 2011",295.00M
"Sept. 30, 2011",586.00M
"June 30, 2011",1.107B
"March 31, 2011",356.00M
"Dec. 31, 2010",134.00M
"Sept. 30, 2010",1.211B
"June 30, 2010",1.805B
"March 31, 2010",2.126B
"Dec. 31, 2009",2.048B
"Sept. 30, 2009",1.357B
"June 30, 2009",771.56M
"March 31, 2009",1.379B
"Dec. 31, 2008",1.973B
"Sept. 30, 2008",1.645B
"June 30, 2008",1.008B
"March 31, 2008",383.04M
"Dec. 31, 2007",125.82M
"Sept. 30, 2007",111.42M
"June 30, 2007",188.64M
"March 31, 2007",116.47M
"Dec. 31, 2006",140.52M
"Sept. 30, 2006",160.92M
"June 30, 2006",41.93M
"March 31, 2006",504.02M
"Dec. 31, 2005",228.86M
"Sept. 30, 2005",96.68M
"June 30, 2005",79.26M
"March 31, 2005",121.35M
"Dec. 31, 2004",111.09M
"Sept. 30, 2004",105.52M
"June 30, 2004",97.48M
"March 31, 2004",61.15M
"Dec. 31, 2003",33.50M
"Sept. 30, 2003",42.64M
"June 30, 2003",41.00M
"March 31, 2003",39.96M
"Dec. 31, 2002",51.89M
"Sept. 30, 2002",252.28M
"June 30, 2002",217.34M
"March 31, 2002",119.44M
"Dec. 31, 2001",138.58M
"Sept. 30, 2001",67.85M
"June 30, 2001",129.32M
"March 31, 2001",106.84M
"Dec. 31, 2000",37.17M
"Sept. 30, 2000",27.28M
"June 30, 2000",19.00M
"March 31, 2000",24.51M
"Dec. 31, 1999",13.17M
"Sept. 30, 1999",16.70M
"June 30, 1999",22.40M
"March 31, 1999",19.10M
"Dec. 31, 1998",14.50M
"Sept. 30, 1998",59.30M
"June 30, 1998",88.90M
"March 31, 1998",119.90M
"Dec. 31, 1997",9.70M
"Sept. 30, 1997",25.60M
"June 30, 1997",14.20M
"March 31, 1997",19.90M
"Dec. 31, 1996",13.20M
"Sept. 30, 1996",13.20M
"June 30, 1996",16.20M
"March 31, 1996",19.60M
"Dec. 31, 1995",13.60M
"Sept. 30, 1995",16.50M
"June 30, 1995",17.30M
"March 31, 1995",5.20M
"Dec. 31, 1994",15.10M
"Sept. 30, 1994",13.10M
"June 30, 1994",16.70M
"March 31, 1994",17.30M
"Dec. 31, 1993",17.10M
"Sept. 30, 1993",10.90M
"June 30, 1993",14.00M
"March 31, 1993",73.40M
"Dec. 31, 1992",26.10M
"Sept. 30, 1992",15.60M
"June 30, 1992",11.60M
"March 31, 1992",5.30M
"Dec. 31, 1991",6.40M
"Sept. 30, 1991",28.50M
"June 30, 1991",105.40M
"March 31, 1991",73.10M
"Dec. 31, 1990",85.20M
"Sept. 30, 1990",57.90M
"June 30, 1990",55.70M
"March 31, 1990",56.90M
"Dec. 31, 1989",75.20M
"Dec. 31, 1988",34.90M
"Dec. 31, 1987",53.30M
"Dec. 31, 1986",17.70M
"Dec. 31, 1985",29.10M
"Dec. 31, 1984",29.70M
