date,revenue_per_employee_annual
"Dec. 31, 2019",1.919M
"Dec. 31, 2018",2.169M
"Dec. 31, 2017",1.662M
"Dec. 31, 2016",1.415M
"Dec. 31, 2015",1.478M
"Dec. 31, 2014",2.486M
"Dec. 31, 2013",2.610M
"Dec. 31, 2012",2.914M
"Dec. 31, 2011",3.449M
"Dec. 31, 2010",3.084M
"Dec. 31, 2009",2.430M
"Dec. 31, 2008",3.461M
"Dec. 31, 2007",2.987M
"Dec. 31, 2006",2.711M
"Dec. 31, 2005",2.784M
"Dec. 31, 2004",2.135M
"Dec. 31, 2003",1.944M
"Dec. 31, 2002",1.322M
"Dec. 31, 2001",1.605M
"Dec. 31, 2000",1.535M
"Dec. 31, 1999",846164.6
"Dec. 31, 1998",592266.4
"Dec. 31, 1997",928588.3
"Dec. 31, 1996",768201.5
"Dec. 31, 1995",632981.9
"Dec. 31, 1994",519613.5
"Dec. 31, 1993",506783.4
"Dec. 31, 1992",492262.9
"Dec. 31, 1991",465926.9
"Dec. 31, 1990",398542.3
