date,historical_monthly_var_1_all
"Feb. 29, 2020",24.16%
"Jan. 31, 2020",24.17%
"Dec. 31, 2019",24.17%
"Nov. 30, 2019",24.18%
"Oct. 31, 2019",24.18%
"Sept. 30, 2019",24.18%
"Aug. 31, 2019",24.19%
"July 31, 2019",24.17%
"June 30, 2019",24.18%
"May 31, 2019",24.18%
"April 30, 2019",24.19%
"March 31, 2019",24.19%
"Feb. 28, 2019",24.20%
"Jan. 31, 2019",24.20%
"Dec. 31, 2018",24.16%
"Nov. 30, 2018",23.89%
"Oct. 31, 2018",23.74%
"Sept. 30, 2018",23.74%
"Aug. 31, 2018",23.75%
"July 31, 2018",23.75%
"June 30, 2018",23.76%
"May 31, 2018",23.76%
"April 30, 2018",23.76%
"March 31, 2018",23.77%
"Feb. 28, 2018",23.77%
"Jan. 31, 2018",23.71%
"Dec. 31, 2017",23.72%
"Nov. 30, 2017",23.72%
"Oct. 31, 2017",23.72%
"Sept. 30, 2017",23.72%
"Aug. 31, 2017",23.72%
"July 31, 2017",23.72%
"June 30, 2017",23.72%
"May 31, 2017",23.72%
"April 30, 2017",23.73%
"March 31, 2017",23.73%
"Feb. 28, 2017",23.73%
"Jan. 31, 2017",23.73%
"Dec. 31, 2016",23.74%
"Nov. 30, 2016",23.74%
"Oct. 31, 2016",23.74%
"Sept. 30, 2016",23.75%
"Aug. 31, 2016",23.75%
"July 31, 2016",23.76%
"June 30, 2016",23.76%
"May 31, 2016",23.76%
"April 30, 2016",23.77%
"March 31, 2016",23.77%
"Feb. 29, 2016",23.77%
"Jan. 31, 2016",23.78%
"Dec. 31, 2015",23.80%
"Nov. 30, 2015",23.82%
"Oct. 31, 2015",23.84%
"Sept. 30, 2015",23.86%
"Aug. 31, 2015",23.87%
"July 31, 2015",23.88%
"June 30, 2015",23.89%
"May 31, 2015",23.90%
"April 30, 2015",23.91%
"March 31, 2015",23.91%
"Feb. 28, 2015",23.91%
"Jan. 31, 2015",23.91%
"Dec. 31, 2014",23.91%
"Nov. 30, 2014",23.79%
"Oct. 31, 2014",23.80%
"Sept. 30, 2014",23.72%
"Aug. 31, 2014",23.73%
"July 31, 2014",23.73%
"June 30, 2014",23.73%
"May 31, 2014",23.73%
"April 30, 2014",23.73%
"March 31, 2014",23.74%
"Feb. 28, 2014",23.74%
"Jan. 31, 2014",23.74%
"Dec. 31, 2013",23.75%
"Nov. 30, 2013",23.75%
"Oct. 31, 2013",23.76%
"Sept. 30, 2013",23.76%
"Aug. 31, 2013",23.77%
"July 31, 2013",23.77%
"June 30, 2013",23.77%
"May 31, 2013",23.78%
"April 30, 2013",23.80%
"March 31, 2013",23.82%
"Feb. 28, 2013",23.84%
"Jan. 31, 2013",23.85%
"Dec. 31, 2012",23.87%
"Nov. 30, 2012",23.88%
"Oct. 31, 2012",23.89%
"Sept. 30, 2012",23.90%
"Aug. 31, 2012",23.91%
"July 31, 2012",23.91%
"June 30, 2012",23.91%
"May 31, 2012",23.91%
"April 30, 2012",23.91%
"March 31, 2012",23.91%
"Feb. 29, 2012",23.93%
"Jan. 31, 2012",23.95%
"Dec. 31, 2011",23.96%
"Nov. 30, 2011",23.98%
"Oct. 31, 2011",23.99%
"Sept. 30, 2011",23.99%
"Aug. 31, 2011",23.99%
"July 31, 2011",23.97%
"June 30, 2011",23.99%
"May 31, 2011",23.99%
"April 30, 2011",23.99%
"March 31, 2011",24.00%
"Feb. 28, 2011",24.00%
"Jan. 31, 2011",24.02%
"Dec. 31, 2010",24.05%
"Nov. 30, 2010",24.08%
"Oct. 31, 2010",24.12%
"Sept. 30, 2010",24.15%
"Aug. 31, 2010",24.16%
"July 31, 2010",24.17%
"June 30, 2010",24.18%
"May 31, 2010",24.19%
"April 30, 2010",24.20%
"March 31, 2010",24.20%
"Feb. 28, 2010",24.20%
"Jan. 31, 2010",24.21%
"Dec. 31, 2009",24.21%
"Nov. 30, 2009",24.22%
"Oct. 31, 2009",24.22%
"Sept. 30, 2009",24.23%
"Aug. 31, 2009",24.24%
"July 31, 2009",24.25%
"June 30, 2009",24.27%
"May 31, 2009",24.29%
"April 30, 2009",24.31%
"March 31, 2009",24.33%
"Feb. 28, 2009",23.92%
"Jan. 31, 2009",23.93%
"Dec. 31, 2008",23.95%
"Nov. 30, 2008",23.97%
"Oct. 31, 2008",23.91%
"Sept. 30, 2008",23.09%
"Aug. 31, 2008",23.11%
"July 31, 2008",23.13%
"June 30, 2008",23.07%
"May 31, 2008",23.08%
"April 30, 2008",23.10%
"March 31, 2008",23.12%
"Feb. 29, 2008",23.14%
"Jan. 31, 2008",23.15%
"Dec. 31, 2007",23.17%
"Nov. 30, 2007",23.18%
"Oct. 31, 2007",23.19%
"Sept. 30, 2007",23.20%
"Aug. 31, 2007",23.21%
"July 31, 2007",23.21%
"June 30, 2007",23.21%
"May 31, 2007",23.21%
"April 30, 2007",23.21%
"March 31, 2007",23.24%
"Feb. 28, 2007",23.27%
"Jan. 31, 2007",23.30%
"Dec. 31, 2006",23.34%
"Nov. 30, 2006",23.38%
"Oct. 31, 2006",23.38%
"Sept. 30, 2006",23.38%
"Aug. 31, 2006",23.38%
"July 31, 2006",23.38%
"June 30, 2006",23.40%
"May 31, 2006",23.42%
"April 30, 2006",23.45%
"March 31, 2006",23.48%
"Feb. 28, 2006",23.51%
"Jan. 31, 2006",23.52%
"Dec. 31, 2005",23.52%
"Nov. 30, 2005",23.53%
"Oct. 31, 2005",23.53%
"Sept. 30, 2005",23.54%
"Aug. 31, 2005",23.56%
"July 31, 2005",23.58%
"June 30, 2005",23.60%
"May 31, 2005",23.62%
"April 30, 2005",23.63%
"March 31, 2005",23.64%
"Feb. 28, 2005",23.66%
"Jan. 31, 2005",23.67%
"Dec. 31, 2004",23.68%
"Nov. 30, 2004",23.68%
"Oct. 31, 2004",23.69%
"Sept. 30, 2004",23.70%
"Aug. 31, 2004",23.71%
"July 31, 2004",23.72%
"June 30, 2004",23.72%
"May 31, 2004",23.72%
"April 30, 2004",23.72%
"March 31, 2004",23.72%
"Feb. 29, 2004",23.72%
"Jan. 31, 2004",23.72%
"Dec. 31, 2003",23.72%
"Nov. 30, 2003",23.73%
"Oct. 31, 2003",23.73%
"Sept. 30, 2003",23.73%
"Aug. 31, 2003",23.73%
"July 31, 2003",23.74%
"June 30, 2003",23.74%
"May 31, 2003",23.74%
"April 30, 2003",23.75%
"March 31, 2003",23.75%
"Feb. 28, 2003",23.76%
"Jan. 31, 2003",23.76%
"Dec. 31, 2002",23.76%
"Nov. 30, 2002",23.77%
"Oct. 31, 2002",23.77%
"Sept. 30, 2002",23.77%
"Aug. 31, 2002",23.78%
"July 31, 2002",23.80%
"June 30, 2002",23.82%
"May 31, 2002",23.84%
"April 30, 2002",23.86%
"March 31, 2002",23.87%
"Feb. 28, 2002",23.88%
"Jan. 31, 2002",23.89%
"Dec. 31, 2001",23.90%
"Nov. 30, 2001",23.91%
"Oct. 31, 2001",23.91%
"Sept. 30, 2001",23.91%
"Aug. 31, 2001",23.91%
"July 31, 2001",23.91%
"June 30, 2001",23.92%
"May 31, 2001",23.93%
"April 30, 2001",23.95%
"March 31, 2001",23.97%
"Feb. 28, 2001",23.99%
"Jan. 31, 2001",23.99%
"Dec. 31, 2000",23.99%
"Nov. 30, 2000",24.00%
"Oct. 31, 2000",24.00%
"Sept. 30, 2000",24.02%
"Aug. 31, 2000",24.06%
"July 31, 2000",24.11%
"June 30, 2000",24.15%
"May 31, 2000",24.20%
"April 30, 2000",24.22%
"March 31, 2000",24.22%
"Feb. 29, 2000",24.23%
"Jan. 31, 2000",24.24%
"Dec. 31, 1999",24.25%
"Nov. 30, 1999",24.30%
"Oct. 31, 1999",24.35%
"Sept. 30, 1999",24.40%
"Aug. 31, 1999",24.45%
"July 31, 1999",24.47%
"June 30, 1999",24.47%
"May 31, 1999",24.47%
"April 30, 1999",24.47%
"March 31, 1999",24.47%
"Feb. 28, 1999",24.47%
"Jan. 31, 1999",24.34%
"Dec. 31, 1998",24.39%
"Nov. 30, 1998",24.18%
"Oct. 31, 1998",24.21%
"Sept. 30, 1998",24.22%
"Aug. 31, 1998",24.23%
"July 31, 1998",24.23%
"June 30, 1998",24.24%
"May 31, 1998",24.28%
"April 30, 1998",24.33%
"March 31, 1998",24.38%
"Feb. 28, 1998",24.43%
"Jan. 31, 1998",24.47%
"Dec. 31, 1997",24.47%
"Nov. 30, 1997",24.47%
"Oct. 31, 1997",24.47%
"Sept. 30, 1997",24.47%
"Aug. 31, 1997",24.47%
"July 31, 1997",24.48%
"June 30, 1997",24.48%
"May 31, 1997",24.49%
"April 30, 1997",24.49%
"March 31, 1997",24.49%
"Feb. 28, 1997",24.49%
"Jan. 31, 1997",24.49%
"Dec. 31, 1996",24.49%
"Nov. 30, 1996",24.50%
"Oct. 31, 1996",24.50%
"Sept. 30, 1996",24.51%
"Aug. 31, 1996",24.52%
"July 31, 1996",24.53%
"June 30, 1996",24.54%
"May 31, 1996",24.55%
"April 30, 1996",24.56%
"March 31, 1996",24.57%
"Feb. 29, 1996",24.59%
"Jan. 31, 1996",24.60%
"Dec. 31, 1995",24.62%
"Nov. 30, 1995",24.64%
"Oct. 31, 1995",24.66%
"Sept. 30, 1995",24.67%
"Aug. 31, 1995",24.67%
"July 31, 1995",24.67%
"June 30, 1995",24.67%
"May 31, 1995",24.68%
"April 30, 1995",24.75%
"March 31, 1995",24.81%
"Feb. 28, 1995",24.89%
"Jan. 31, 1995",24.95%
"Dec. 31, 1994",25.01%
"Nov. 30, 1994",25.07%
"Oct. 31, 1994",25.13%
"Sept. 30, 1994",25.18%
"Aug. 31, 1994",25.24%
"July 31, 1994",25.25%
"June 30, 1994",25.25%
"May 31, 1994",25.25%
"April 30, 1994",25.25%
"March 31, 1994",25.27%
"Feb. 28, 1994",25.33%
"Jan. 31, 1994",25.38%
"Dec. 31, 1993",25.44%
"Nov. 30, 1993",25.50%
"Oct. 31, 1993",25.53%
"Sept. 30, 1993",25.55%
"Aug. 31, 1993",25.57%
"July 31, 1993",25.59%
"June 30, 1993",25.61%
"May 31, 1993",25.71%
"April 30, 1993",25.80%
"March 31, 1993",25.90%
"Feb. 28, 1993",26.01%
"Jan. 31, 1993",26.07%
"Dec. 31, 1992",26.09%
"Nov. 30, 1992",26.10%
"Oct. 31, 1992",26.12%
"Sept. 30, 1992",26.14%
"Aug. 31, 1992",26.15%
"July 31, 1992",26.17%
"June 30, 1992",26.19%
"May 31, 1992",26.21%
"April 30, 1992",26.23%
"March 31, 1992",26.31%
"Feb. 29, 1992",26.39%
"Jan. 31, 1992",26.47%
"Dec. 31, 1991",26.55%
"Nov. 30, 1991",26.59%
"Oct. 31, 1991",26.59%
"Sept. 30, 1991",26.59%
"Aug. 31, 1991",26.59%
"July 31, 1991",26.59%
"June 30, 1991",26.63%
"May 31, 1991",26.66%
"April 30, 1991",26.70%
"March 31, 1991",26.74%
"Feb. 28, 1991",26.77%
"Jan. 31, 1991",26.80%
"Dec. 31, 1990",26.83%
"Nov. 30, 1990",26.86%
"Oct. 31, 1990",26.89%
"Sept. 30, 1990",26.91%
"Aug. 31, 1990",26.93%
"July 31, 1990",26.96%
"June 30, 1990",26.98%
"May 31, 1990",27.01%
"April 30, 1990",27.04%
"March 31, 1990",27.07%
"Feb. 28, 1990",27.10%
"Jan. 31, 1990",27.13%
"Dec. 31, 1989",27.15%
"Nov. 30, 1989",27.15%
"Oct. 31, 1989",27.16%
"Sept. 30, 1989",27.16%
"Aug. 31, 1989",27.16%
"July 31, 1989",27.17%
"June 30, 1989",27.18%
"May 31, 1989",27.19%
"April 30, 1989",27.20%
"March 31, 1989",27.21%
"Feb. 28, 1989",27.22%
"Jan. 31, 1989",27.24%
"Dec. 31, 1988",27.25%
"Nov. 30, 1988",27.27%
"Oct. 31, 1988",27.27%
"Sept. 30, 1988",27.27%
"Aug. 31, 1988",27.27%
"July 31, 1988",27.27%
"June 30, 1988",27.28%
"May 31, 1988",27.30%
"April 30, 1988",27.32%
"March 31, 1988",27.35%
"Feb. 29, 1988",27.37%
"Jan. 31, 1988",27.43%
"Dec. 31, 1987",27.51%
"Nov. 30, 1987",27.61%
"Oct. 31, 1987",26.59%
"Sept. 30, 1987",25.61%
"Aug. 31, 1987",25.71%
"July 31, 1987",25.80%
"June 30, 1987",25.91%
"May 31, 1987",26.01%
"April 30, 1987",26.07%
"March 31, 1987",26.09%
"Feb. 28, 1987",26.10%
"Jan. 31, 1987",26.12%
"Dec. 31, 1986",26.14%
"Nov. 30, 1986",26.15%
"Oct. 31, 1986",26.17%
"Sept. 30, 1986",26.19%
"Aug. 31, 1986",26.21%
"July 31, 1986",26.23%
"June 30, 1986",26.32%
"May 31, 1986",26.39%
"April 30, 1986",26.48%
"March 31, 1986",26.56%
"Feb. 28, 1986",26.59%
"Jan. 31, 1986",26.59%
"Dec. 31, 1985",26.59%
"Nov. 30, 1985",26.59%
"Oct. 31, 1985",26.59%
"Sept. 30, 1985",26.62%
"Aug. 31, 1985",26.66%
"July 31, 1985",26.70%
"June 30, 1985",26.74%
"May 31, 1985",26.77%
"April 30, 1985",26.80%
"March 31, 1985",26.83%
"Feb. 28, 1985",26.86%
"Jan. 31, 1985",26.88%
"Dec. 31, 1984",26.91%
"Nov. 30, 1984",26.93%
"Oct. 31, 1984",26.96%
"Sept. 30, 1984",26.98%
"Aug. 31, 1984",27.00%
"July 31, 1984",27.04%
"June 30, 1984",27.07%
"May 31, 1984",27.10%
"April 30, 1984",27.14%
"March 31, 1984",27.15%
"Feb. 29, 1984",27.15%
"Jan. 31, 1984",27.16%
"Dec. 31, 1983",27.16%
"Nov. 30, 1983",27.16%
"Oct. 31, 1983",27.17%
"Sept. 30, 1983",27.18%
"Aug. 31, 1983",27.19%
"July 31, 1983",27.20%
"June 30, 1983",27.21%
"May 31, 1983",27.22%
"April 30, 1983",27.24%
"March 31, 1983",27.25%
"Feb. 28, 1983",27.27%
"Jan. 31, 1983",27.27%
"Dec. 31, 1982",27.27%
"Nov. 30, 1982",27.27%
"Oct. 31, 1982",27.27%
"Sept. 30, 1982",27.29%
"Aug. 31, 1982",27.41%
"July 31, 1982",27.52%
"June 30, 1982",27.63%
"May 31, 1982",27.74%
"April 30, 1982",27.81%
"March 31, 1982",27.86%
"Feb. 28, 1982",27.91%
"Jan. 31, 1982",27.95%
"Dec. 31, 1981",27.77%
"Nov. 30, 1981",27.86%
"Oct. 31, 1981",27.95%
"Sept. 30, 1981",28.03%
"Aug. 31, 1981",27.27%
"July 31, 1981",27.31%
"June 30, 1981",27.43%
"May 31, 1981",27.54%
"April 30, 1981",27.65%
"March 31, 1981",27.76%
"Feb. 28, 1981",27.87%
"Jan. 31, 1981",27.97%
"Dec. 31, 1980",28.08%
"Nov. 30, 1980",28.20%
"Oct. 31, 1980",28.29%
"Sept. 30, 1980",28.31%
"Aug. 31, 1980",28.34%
"July 31, 1980",28.37%
"June 30, 1980",28.40%
"May 31, 1980",28.43%
"April 30, 1980",28.46%
"March 31, 1980",27.09%
"Feb. 29, 1980",26.12%
"Jan. 31, 1980",26.14%
"Dec. 31, 1979",26.16%
