date,total_employee_number
"Dec. 31, 2019",3163
"Dec. 31, 2018",3420
"Dec. 31, 2017",3356
"Dec. 31, 2016",3727
"Dec. 31, 2015",3860
"Dec. 31, 2014",4950
"Dec. 31, 2013",5342
"Dec. 31, 2012",5976
"Dec. 31, 2011",5299
"Dec. 31, 2010",4449
"Dec. 31, 2009",3452
"Sept. 30, 2009",3639
"Dec. 31, 2008",3639
"Dec. 31, 2007",3521
"Dec. 31, 2006",3150
"Dec. 31, 2005",2806
"Dec. 31, 2004",2642
"Dec. 31, 2003",2353
"Dec. 31, 2002",1958
"Dec. 31, 2001",1915
"Dec. 31, 2000",1546
"Dec. 31, 1999",1429
"Dec. 31, 1998",1281
"Dec. 31, 1997",1287
"Dec. 31, 1996",1256
"Dec. 31, 1995",1285
"Dec. 31, 1994",1086
"Dec. 31, 1993",984
"Dec. 31, 1992",844
"Dec. 31, 1991",875
"Dec. 31, 1990",657
"Dec. 31, 1989",715
