date,kz_index
"Dec. 31, 2018",1.142
"Dec. 31, 2017",1.278
"Dec. 31, 2016",
"Dec. 31, 2015",
"Dec. 31, 2014",
"Dec. 31, 2013",
"Dec. 31, 2012",
"Dec. 31, 2011",0.4603
"Dec. 31, 2010",0.7506
"Dec. 31, 2009",
"Dec. 31, 2008",0.5909
"Dec. 31, 2007",0.7091
"Dec. 31, 2006",0.5456
"Dec. 31, 2005",0.4333
"Dec. 31, 2004",0.6663
"Dec. 31, 2003",0.7238
"Dec. 31, 2002",
"Dec. 31, 2001",0.9941
"Dec. 31, 2000",1.117
"Dec. 31, 1999",1.114
"Dec. 31, 1998",
"Dec. 31, 1997",1.568
"Dec. 31, 1996",1.431
"Dec. 31, 1995",1.545
"Dec. 31, 1994",1.346
"Dec. 31, 1993",0.9973
"Dec. 31, 1992",1.432
"Dec. 31, 1991",1.205
"Dec. 31, 1990",0.3672
"Dec. 31, 1989",0.8698
"Dec. 31, 1988",2.163
"Dec. 31, 1987",
"Dec. 31, 1986",2.008
"Dec. 31, 1985",1.152
