date,days_payables_outstanding
"Dec. 31, 2019",53.01
"Sept. 30, 2019",51.82
"June 30, 2019",55.79
"March 31, 2019",55.75
"Dec. 31, 2018",59.56
"Sept. 30, 2018",59.96
"June 30, 2018",62.11
"March 31, 2018",61.18
"Dec. 31, 2017",61.10
"Sept. 30, 2017",54.40
"June 30, 2017",52.46
"March 31, 2017",55.36
"Dec. 31, 2016",51.79
"Sept. 30, 2016",47.21
"June 30, 2016",47.86
"March 31, 2016",50.00
"Dec. 31, 2015",47.95
"Sept. 30, 2015",44.05
"June 30, 2015",61.65
"March 31, 2015",11.51
"Dec. 31, 2014",-1920.81
"Sept. 30, 2014",38.70
"June 30, 2014",65.16
"March 31, 2014",81.53
"Dec. 31, 2013",82.22
"Sept. 30, 2013",44.42
"June 30, 2013",51.11
"March 31, 2013",50.75
"Dec. 31, 2012",51.36
"Sept. 30, 2012",34.05
"June 30, 2012",33.99
"March 31, 2012",39.37
"Dec. 31, 2011",43.41
"Sept. 30, 2011",49.58
"June 30, 2011",781.28
"March 31, 2011",732.17
"Dec. 31, 2010",12.08
"Sept. 30, 2010",784.49
"June 30, 2010",864.43
"March 31, 2010",95.78
"Dec. 31, 2009",1074.18
"Sept. 30, 2009",8775.08
"June 30, 2009",72.73
"March 31, 2009",94.06
"Dec. 31, 2008",99.74
"Sept. 30, 2008",134.42
"June 30, 2008",155.02
"March 31, 2008",846.04
"Dec. 31, 2007",113.86
"Sept. 30, 2007",123.77
"June 30, 2007",117.89
"March 31, 2007",123.33
"Dec. 31, 2006",133.15
"Sept. 30, 2006",137.25
"June 30, 2006",158.85
"March 31, 2006",188.60
"Dec. 31, 2005",212.23
"Sept. 30, 2005",191.44
"June 30, 2005",179.23
"March 31, 2005",186.00
"Dec. 31, 2004",154.88
"Sept. 30, 2004",163.35
"June 30, 2004",147.84
"March 31, 2004",129.83
"Dec. 31, 2003",132.99
"Sept. 30, 2003",115.64
"June 30, 2003",129.92
"March 31, 2003",160.65
"Dec. 31, 2002",157.89
"Sept. 30, 2002",167.25
"June 30, 2002",149.54
"March 31, 2002",141.56
"Dec. 31, 2001",205.74
"Sept. 30, 2001",227.25
"June 30, 2001",294.06
"March 31, 2001",269.14
"Dec. 31, 2000",679.15
"Sept. 30, 2000",216.64
"June 30, 2000",238.46
"March 31, 2000",182.10
"Dec. 31, 1999",-202.74
"Sept. 30, 1999",125.92
"June 30, 1999",167.71
"March 31, 1999",132.21
"Dec. 31, 1998",-183.89
"Sept. 30, 1998",150.76
"June 30, 1998",164.92
"March 31, 1998",161.24
"Dec. 31, 1997",123.66
"Sept. 30, 1997",119.62
"June 30, 1997",142.40
"March 31, 1997",128.45
"Dec. 31, 1996",140.38
"Sept. 30, 1996",157.48
"June 30, 1996",149.82
"March 31, 1996",140.34
"Dec. 31, 1995",140.92
"Sept. 30, 1995",138.51
"June 30, 1995",98.36
"March 31, 1995",113.42
"Dec. 31, 1994",182.03
"Sept. 30, 1994",199.19
"June 30, 1994",206.47
"March 31, 1994",238.26
"Dec. 31, 1993",161.89
"Sept. 30, 1993",179.15
"June 30, 1993",218.65
"March 31, 1993",219.70
"Dec. 31, 1992",208.31
"Sept. 30, 1992",207.47
"June 30, 1992",212.51
"March 31, 1992",212.16
"Dec. 31, 1991",227.20
"Sept. 30, 1991",174.52
"June 30, 1991",436.50
"March 31, 1991",509.78
"Dec. 31, 1990",252.09
"Sept. 30, 1990",456.25
"June 30, 1990",414.88
"March 31, 1990",380.57
