date,return_on_invested_capital
"Dec. 31, 2019",-22.00%
"Sept. 30, 2019",-5.57%
"June 30, 2019",-4.13%
"March 31, 2019",-0.89%
"Dec. 31, 2018",0.23%
"Sept. 30, 2018",5.11%
"June 30, 2018",5.03%
"March 31, 2018",7.32%
"Dec. 31, 2017",7.82%
"Sept. 30, 2017",4.02%
"June 30, 2017",-0.02%
"March 31, 2017",-5.20%
"Dec. 31, 2016",-8.70%
"Sept. 30, 2016",-30.70%
"June 30, 2016",-45.66%
"March 31, 2016",-41.06%
"Dec. 31, 2015",-48.32%
"Sept. 30, 2015",-52.12%
"June 30, 2015",-38.26%
"March 31, 2015",-31.78%
"Dec. 31, 2014",-19.19%
"Sept. 30, 2014",-0.93%
"June 30, 2014",2.73%
"March 31, 2014",3.91%
"Dec. 31, 2013",5.01%
"Sept. 30, 2013",6.20%
"June 30, 2013",5.99%
"March 31, 2013",4.60%
"Dec. 31, 2012",4.98%
"Sept. 30, 2012",6.56%
"June 30, 2012",9.07%
"March 31, 2012",12.01%
"Dec. 31, 2011",13.35%
"Sept. 30, 2011",12.45%
"June 30, 2011",12.74%
"March 31, 2011",12.46%
"Dec. 31, 2010",12.00%
"Sept. 30, 2010",12.82%
"June 30, 2010",12.26%
"March 31, 2010",10.60%
"Dec. 31, 2009",-1.39%
"Sept. 30, 2009",-18.30%
"June 30, 2009",-14.69%
"March 31, 2009",-9.87%
"Dec. 31, 2008",3.40%
"Sept. 30, 2008",23.02%
"June 30, 2008",20.97%
"March 31, 2008",17.24%
"Dec. 31, 2007",15.01%
"Sept. 30, 2007",12.51%
"June 30, 2007",13.32%
"March 31, 2007",14.78%
"Dec. 31, 2006",17.03%
"Sept. 30, 2006",20.19%
"June 30, 2006",21.92%
"March 31, 2006",22.30%
"Dec. 31, 2005",22.52%
"Sept. 30, 2005",20.95%
"June 30, 2005",19.51%
"March 31, 2005",18.50%
"Dec. 31, 2004",17.17%
"Sept. 30, 2004",15.25%
"June 30, 2004",14.24%
"March 31, 2004",13.18%
"Dec. 31, 2003",13.73%
"Sept. 30, 2003",13.38%
"June 30, 2003",12.30%
"March 31, 2003",11.47%
"Dec. 31, 2002",7.89%
"Sept. 30, 2002",6.42%
"June 30, 2002",6.56%
"March 31, 2002",7.43%
"Dec. 31, 2001",10.54%
"Sept. 30, 2001",13.76%
"June 30, 2001",15.49%
"March 31, 2001",15.65%
"Dec. 31, 2000",13.79%
"Sept. 30, 2000",11.82%
"June 30, 2000",9.59%
"March 31, 2000",7.72%
"Dec. 31, 1999",5.25%
"Sept. 30, 1999",-1.56%
"June 30, 1999",-3.65%
"March 31, 1999",-4.53%
"Dec. 31, 1998",-3.96%
"Sept. 30, 1998",2.34%
"June 30, 1998",3.26%
"March 31, 1998",3.92%
"Dec. 31, 1997",5.27%
"Sept. 30, 1997",5.67%
"June 30, 1997",5.77%
"March 31, 1997",6.03%
"Dec. 31, 1996",4.85%
"Sept. 30, 1996",3.30%
"June 30, 1996",2.46%
"March 31, 1996",1.48%
"Dec. 31, 1995",1.11%
"Sept. 30, 1995",1.43%
"June 30, 1995",1.79%
"March 31, 1995",2.63%
"Dec. 31, 1994",3.19%
"Sept. 30, 1994",3.36%
"June 30, 1994",2.78%
"March 31, 1994",3.04%
"Dec. 31, 1993",3.45%
"Sept. 30, 1993",3.51%
"June 30, 1993",4.50%
"March 31, 1993",5.86%
"Dec. 31, 1992",5.14%
"Sept. 30, 1992",5.45%
"June 30, 1992",4.98%
"March 31, 1992",3.25%
"Dec. 31, 1991",4.67%
"Sept. 30, 1991",4.70%
"June 30, 1991",6.87%
"March 31, 1991",7.18%
"Dec. 31, 1990",7.20%
"Sept. 30, 1990",6.45%
"June 30, 1990",5.74%
