date,ebitda_ttm
"Dec. 31, 2019",65.00M
"Sept. 30, 2019",2.671B
"June 30, 2019",2.966B
"March 31, 2019",3.629B
"Dec. 31, 2018",3.76B
"Sept. 30, 2018",4.324B
"June 30, 2018",3.959B
"March 31, 2018",3.429B
"Dec. 31, 2017",3.604B
"Sept. 30, 2017",3.265B
"June 30, 2017",2.358B
"March 31, 2017",2.167B
"Dec. 31, 2016",1.352B
"Sept. 30, 2016",-3.685B
"June 30, 2016",-6.912B
"March 31, 2016",-7.472B
"Dec. 31, 2015",-7.025B
"Sept. 30, 2015",-11.05B
"June 30, 2015",-5.19B
"March 31, 2015",-2.907B
"Dec. 31, 2014",-1.091B
"Sept. 30, 2014",8.888B
"June 30, 2014",9.098B
"March 31, 2014",9.934B
"Dec. 31, 2013",10.02B
"Sept. 30, 2013",11.32B
"June 30, 2013",11.57B
"March 31, 2013",11.30B
"Dec. 31, 2012",11.90B
"Sept. 30, 2012",12.22B
"June 30, 2012",12.48B
"March 31, 2012",12.90B
"Dec. 31, 2011",12.47B
"Sept. 30, 2011",11.56B
"June 30, 2011",10.55B
"March 31, 2011",9.52B
"Dec. 31, 2010",8.515B
"Sept. 30, 2010",8.071B
"June 30, 2010",7.448B
"March 31, 2010",6.691B
"Dec. 31, 2009",5.795B
"Sept. 30, 2009",5.236B
"June 30, 2009",6.135B
"March 31, 2009",7.727B
"Dec. 31, 2008",9.061B
"Sept. 30, 2008",10.03B
"June 30, 2008",9.428B
"March 31, 2008",8.206B
"Dec. 31, 2007",7.299B
"Sept. 30, 2007",6.430B
"June 30, 2007",6.086B
"March 31, 2007",5.819B
"Dec. 31, 2006",5.822B
"Sept. 30, 2006",6.095B
"June 30, 2006",6.137B
"March 31, 2006",5.965B
"Dec. 31, 2005",5.807B
"Sept. 30, 2005",5.397B
"June 30, 2005",4.931B
"March 31, 2005",4.537B
"Dec. 31, 2004",4.121B
"Sept. 30, 2004",3.716B
"June 30, 2004",3.441B
"March 31, 2004",3.270B
"Dec. 31, 2003",3.171B
"Sept. 30, 2003",2.933B
"June 30, 2003",2.595B
"March 31, 2003",2.293B
"Dec. 31, 2002",1.893B
"Sept. 30, 2002",1.718B
"June 30, 2002",1.748B
"March 31, 2002",1.916B
"Dec. 31, 2001",2.211B
"Sept. 30, 2001",2.436B
"June 30, 2001",2.452B
"March 31, 2001",2.197B
"Dec. 31, 2000",1.894B
"Sept. 30, 2000",1.603B
"June 30, 2000",1.342B
"March 31, 2000",1.125B
"Dec. 31, 1999",869.88M
"Sept. 30, 1999",664.96M
"June 30, 1999",519.36M
"March 31, 1999",467.06M
"Dec. 31, 1998",508.76M
"Sept. 30, 1998",595.70M
"June 30, 1998",646.70M
"March 31, 1998",668.40M
"Dec. 31, 1997",714.40M
"Sept. 30, 1997",704.00M
"June 30, 1997",680.10M
"March 31, 1997",657.80M
"Dec. 31, 1996",575.80M
"Sept. 30, 1996",499.90M
"June 30, 1996",453.00M
"March 31, 1996",440.10M
"Dec. 31, 1995",412.50M
"Sept. 30, 1995",387.80M
"June 30, 1995",372.80M
"March 31, 1995",334.30M
"Dec. 31, 1994",320.00M
"Sept. 30, 1994",288.30M
"June 30, 1994",274.20M
"March 31, 1994",262.70M
"Dec. 31, 1993",257.90M
"Sept. 30, 1993",276.30M
"June 30, 1993",268.30M
"March 31, 1993",258.10M
"Dec. 31, 1992",241.40M
"Sept. 30, 1992",236.10M
"June 30, 1992",225.00M
"March 31, 1992",204.60M
"Dec. 31, 1991",203.20M
"Sept. 30, 1991",180.70M
"June 30, 1991",174.00M
"March 31, 1991",174.90M
"Dec. 31, 1990",174.30M
"Sept. 30, 1990",-20.00M
"June 30, 1990",-4.30M
"March 31, 1990",16.80M
"Dec. 31, 1989",30.50M
"Sept. 30, 1989",113.60M
"June 30, 1989",82.00M
"March 31, 1989",52.00M
"Dec. 31, 1988",21.40M
"Sept. 30, 1988",-118.90M
"June 30, 1988",-122.50M
"March 31, 1988",-123.80M
"Dec. 31, 1987",-128.60M
"Sept. 30, 1987",-25.90M
"June 30, 1987",-6.70M
"March 31, 1987",-12.70M
"Dec. 31, 1986",-5.10M
"Sept. 30, 1986",19.30M
"June 30, 1986",3.20M
"March 31, 1986",14.00M
"Dec. 31, 1985",15.10M
"Sept. 30, 1985",51.50M
"June 30, 1985",49.50M
"March 31, 1985",46.20M
"Dec. 31, 1984",40.70M
