date,cash_dividend_payout_ratio
"Dec. 31, 2019",-400.0%
"Sept. 30, 2019",-132.7%
"June 30, 2019",-219.1%
"March 31, 2019",-293.1%
"Dec. 31, 2018",-300.8%
"Sept. 30, 2018",-193.9%
"June 30, 2018",-79.38%
"March 31, 2018",-70.90%
"Dec. 31, 2017",-114.5%
"Sept. 30, 2017",408.6%
"June 30, 2017",72.66%
"March 31, 2017",50.60%
"Dec. 31, 2016",78.79%
"Sept. 30, 2016",-68.23%
"June 30, 2016",-38.55%
"March 31, 2016",-28.29%
"Dec. 31, 2015",-17.61%
"Sept. 30, 2015",-11.62%
"June 30, 2015",-9.37%
"March 31, 2015",-10.20%
"Dec. 31, 2014",-12.14%
"Sept. 30, 2014",-146.9%
"June 30, 2014",143.5%
"March 31, 2014",3.53K%
"Dec. 31, 2013",129.0%
"Sept. 30, 2013",-33.61%
"June 30, 2013",-20.56%
"March 31, 2013",-29.81%
"Dec. 31, 2012",-34.58%
"Sept. 30, 2012",84.07%
"June 30, 2012",14.33%
"March 31, 2012",11.66%
"Dec. 31, 2011",10.64%
"Sept. 30, 2011",-5.92%
"June 30, 2011",-5.28%
"March 31, 2011",-4.63%
"Dec. 31, 2010",-4.00%
"Sept. 30, 2010",9.34%
"June 30, 2010",8.56%
"March 31, 2010",20.59%
"Dec. 31, 2009",50.85%
"Sept. 30, 2009",-31.08%
"June 30, 2009",-25.71%
"March 31, 2009",125.5%
"Dec. 31, 2008",19.27%
"Sept. 30, 2008",10.63%
"June 30, 2008",13.39%
"March 31, 2008",15.10%
"Dec. 31, 2007",23.40%
"Sept. 30, 2007",-131.3%
"June 30, 2007",-135.9%
"March 31, 2007",74.38%
"Dec. 31, 2006",89.27%
"Sept. 30, 2006",19.90%
"June 30, 2006",14.55%
"March 31, 2006",33.41%
"Dec. 31, 2005",19.04%
"Sept. 30, 2005",19.74%
"June 30, 2005",17.23%
"March 31, 2005",15.21%
"Dec. 31, 2004",11.66%
"Sept. 30, 2004",10.65%
"June 30, 2004",8.94%
"March 31, 2004",6.90%
"Dec. 31, 2003",6.56%
"Sept. 30, 2003",6.49%
"June 30, 2003",10.34%
"March 31, 2003",11.99%
"Dec. 31, 2002",20.06%
"Sept. 30, 2002",31.12%
"June 30, 2002",32.21%
"March 31, 2002",93.53%
"Dec. 31, 2001",13.29%
"Sept. 30, 2001",6.04%
"June 30, 2001",5.19%
"March 31, 2001",6.01%
"Dec. 31, 2000",10.20%
"Sept. 30, 2000",3.85%
"June 30, 2000",18.22%
"March 31, 2000",15.80%
"Dec. 31, 1999",90.22%
"Sept. 30, 1999",-4.11%
"June 30, 1999",-16.20%
"March 31, 1999",-9.31%
"Dec. 31, 1998",-12.37%
"Sept. 30, 1998",-4.48%
"June 30, 1998",-26.18%
"March 31, 1998",-21.83%
"Dec. 31, 1997",-312.3%
"Sept. 30, 1997",6.30%
"June 30, 1997",-13.67%
"March 31, 1997",-32.40%
"Dec. 31, 1996",-15.44%
"Sept. 30, 1996",-18.69%
"June 30, 1996",-5.20%
"March 31, 1996",-6.91%
"Dec. 31, 1995",-2.31%
"Sept. 30, 1995",-3.20%
"June 30, 1995",-7.29%
"March 31, 1995",-4.12%
"Dec. 31, 1994",10.99%
"Sept. 30, 1994",-6.08%
"June 30, 1994",-7.79%
"March 31, 1994",-6.61%
"Dec. 31, 1993",-6.95%
"Sept. 30, 1993",-29.35%
"June 30, 1993",-20.83%
"March 31, 1993",61.50%
"Dec. 31, 1992",-103.1%
"Sept. 30, 1992",22.74%
"June 30, 1992",-2.80%
"March 31, 1992",-2.83%
"Dec. 31, 1991",-3.06%
"Sept. 30, 1991",-3.35%
"June 30, 1991",6.14%
"March 31, 1991",7.25%
"Dec. 31, 1990",8.20%
