date,liabilities
"Dec. 31, 2019",13.64B
"Sept. 30, 2019",13.54B
"June 30, 2019",13.65B
"March 31, 2019",13.14B
"Dec. 31, 2018",12.77B
"Sept. 30, 2018",12.92B
"June 30, 2018",12.92B
"March 31, 2018",12.92B
"Dec. 31, 2017",13.13B
"Sept. 30, 2017",13.46B
"June 30, 2017",14.34B
"March 31, 2017",14.79B
"Dec. 31, 2016",14.84B
"Sept. 30, 2016",15.20B
"June 30, 2016",15.65B
"March 31, 2016",14.12B
"Dec. 31, 2015",16.01B
"Sept. 30, 2015",15.84B
"June 30, 2015",17.56B
"March 31, 2015",25.24B
"Dec. 31, 2014",27.82B
"Sept. 30, 2014",28.00B
"June 30, 2014",26.28B
"March 31, 2014",25.94B
"Dec. 31, 2013",26.24B
"Sept. 30, 2013",27.26B
"June 30, 2013",30.63B
"March 31, 2013",29.80B
"Dec. 31, 2012",29.41B
"Sept. 30, 2012",28.10B
"June 30, 2012",26.54B
"March 31, 2012",23.52B
"Dec. 31, 2011",23.06B
"Sept. 30, 2011",19.58B
"June 30, 2011",19.86B
"March 31, 2011",19.67B
"Dec. 31, 2010",19.05B
"Sept. 30, 2010",14.98B
"June 30, 2010",12.76B
"March 31, 2010",12.47B
"Dec. 31, 2009",12.41B
"Sept. 30, 2009",11.87B
"June 30, 2009",11.44B
"March 31, 2009",11.55B
"Dec. 31, 2008",12.68B
"Sept. 30, 2008",14.23B
"June 30, 2008",15.36B
"March 31, 2008",13.74B
"Dec. 31, 2007",13.26B
"Sept. 30, 2007",12.98B
"June 30, 2007",12.83B
"March 31, 2007",12.61B
"Dec. 31, 2006",11.12B
"Sept. 30, 2006",10.79B
"June 30, 2006",10.08B
"March 31, 2006",8.743B
"Dec. 31, 2005",8.731B
"Sept. 30, 2005",8.140B
"June 30, 2005",7.684B
"March 31, 2005",7.633B
"Dec. 31, 2004",7.298B
"Sept. 30, 2004",6.951B
"June 30, 2004",5.976B
"March 31, 2004",5.913B
"Dec. 31, 2003",5.883B
"Sept. 30, 2003",5.943B
"June 30, 2003",5.897B
"March 31, 2003",5.069B
"Dec. 31, 2002",4.536B
"Sept. 30, 2002",4.488B
"June 30, 2002",4.464B
"March 31, 2002",4.476B
"Dec. 31, 2001",4.074B
"Sept. 30, 2001",4.228B
"June 30, 2001",4.625B
"March 31, 2001",4.824B
"Dec. 31, 2000",3.727B
"Sept. 30, 2000",3.252B
"June 30, 2000",3.318B
"March 31, 2000",2.963B
"Dec. 31, 1999",2.833B
"Sept. 30, 1999",2.362B
"June 30, 1999",2.388B
"March 31, 1999",2.296B
"Dec. 31, 1998",2.194B
"Sept. 30, 1998",2.182B
"June 30, 1998",2.279B
"March 31, 1998",2.242B
"Dec. 31, 1997",2.409B
"Sept. 30, 1997",2.110B
"June 30, 1997",2.011B
"March 31, 1997",1.926B
"Dec. 31, 1996",1.914B
"Sept. 30, 1996",1.822B
"June 30, 1996",1.732B
"March 31, 1996",1.641B
"Dec. 31, 1995",1.590B
"Sept. 30, 1995",1.545B
"June 30, 1995",1.664B
"March 31, 1995",1.604B
"Dec. 31, 1994",1.063B
"Sept. 30, 1994",907.90M
"June 30, 1994",861.70M
"March 31, 1994",826.30M
"Dec. 31, 1993",806.50M
"Sept. 30, 1993",732.70M
"June 30, 1993",645.30M
"March 31, 1993",658.70M
"Dec. 31, 1992",743.50M
"Sept. 30, 1992",691.40M
"June 30, 1992",723.20M
"March 31, 1992",750.20M
"Dec. 31, 1991",769.40M
"Sept. 30, 1991",833.40M
"June 30, 1991",406.90M
"March 31, 1991",416.20M
"Dec. 31, 1990",442.80M
"Sept. 30, 1990",420.10M
"June 30, 1990",387.10M
"March 31, 1990",396.50M
"Dec. 31, 1989",414.10M
"Dec. 31, 1988",494.80M
"Dec. 31, 1987",378.50M
"Dec. 31, 1986",521.50M
"Dec. 31, 1985",310.40M
"Dec. 31, 1984",261.80M
