date,accruals
"Dec. 31, 2019",-3.738B
"Sept. 30, 2019",-787.00M
"June 30, 2019",-1.212B
"March 31, 2019",-645.00M
"Dec. 31, 2018",-1.424B
"Sept. 30, 2018",-925.00M
"June 30, 2018",-918.00M
"March 31, 2018",-470.00M
"Dec. 31, 2017",-212.00M
"Sept. 30, 2017",-491.00M
"June 30, 2017",-179.00M
"March 31, 2017",-242.00M
"Dec. 31, 2016",-978.00M
"Sept. 30, 2016",-1.258B
"June 30, 2016",-988.00M
"March 31, 2016",-611.00M
"Dec. 31, 2015",-4.189B
"Sept. 30, 2015",-4.854B
"June 30, 2015",-1.992B
"March 31, 2015",-5.301B
"Dec. 31, 2014",-9.20B
"Sept. 30, 2014",-3.226B
"June 30, 2014",-1.834B
"March 31, 2014",-2.057B
"Dec. 31, 2013",-2.303B
"Sept. 30, 2013",-1.672B
"June 30, 2013",-1.724B
"March 31, 2013",-1.904B
"Dec. 31, 2012",-1.414B
"Sept. 30, 2012",-1.443B
"June 30, 2012",-2.436B
"March 31, 2012",-1.21B
"Dec. 31, 2011",-1.593B
"Sept. 30, 2011",-1.445B
"June 30, 2011",-1.486B
"March 31, 2011",-845.00M
"Dec. 31, 2010",-1.237B
"Sept. 30, 2010",-937.00M
"June 30, 2010",-1.071B
"March 31, 2010",-449.00M
"Dec. 31, 2009",-959.32M
"Sept. 30, 2009",-870.73M
"June 30, 2009",-378.79M
"March 31, 2009",-2.300B
"Dec. 31, 2008",-3.982B
"Sept. 30, 2008",-1.100B
"June 30, 2008",-484.28M
"March 31, 2008",-786.89M
"Dec. 31, 2007",-727.44M
"Sept. 30, 2007",-814.12M
"June 30, 2007",-752.91M
"March 31, 2007",-570.61M
"Dec. 31, 2006",-393.05M
"Sept. 30, 2006",-526.64M
"June 30, 2006",-458.40M
"March 31, 2006",-382.36M
"Dec. 31, 2005",-383.95M
"Sept. 30, 2005",-643.92M
"June 30, 2005",-404.98M
"March 31, 2005",-275.69M
"Dec. 31, 2004",-402.55M
"Sept. 30, 2004",-591.01M
"June 30, 2004",-263.19M
"March 31, 2004",-306.01M
"Dec. 31, 2003",-365.18M
"Sept. 30, 2003",-577.98M
"June 30, 2003",-441.74M
"March 31, 2003",-199.11M
"Dec. 31, 2002",-190.63M
"Sept. 30, 2002",-238.66M
"June 30, 2002",-272.51M
"March 31, 2002",-124.59M
"Dec. 31, 2001",-306.63M
"Sept. 30, 2001",-302.57M
"June 30, 2001",-241.79M
"March 31, 2001",-360.34M
"Dec. 31, 2000",-323.03M
"Sept. 30, 2000",-207.70M
"June 30, 2000",-160.77M
"March 31, 2000",-125.94M
"Dec. 31, 1999",-151.34M
"Sept. 30, 1999",-152.67M
"June 30, 1999",-85.56M
"March 31, 1999",-47.80M
"Dec. 31, 1998",-249.29M
"Sept. 30, 1998",-147.20M
"June 30, 1998",-115.90M
"March 31, 1998",-88.50M
"Dec. 31, 1997",-138.60M
"Sept. 30, 1997",-227.00M
"June 30, 1997",-69.40M
"March 31, 1997",-133.90M
"Dec. 31, 1996",-95.50M
"Sept. 30, 1996",-99.60M
"June 30, 1996",-121.60M
"March 31, 1996",-52.40M
"Dec. 31, 1995",-123.30M
"Sept. 30, 1995",-52.10M
"June 30, 1995",-77.00M
"March 31, 1995",-57.70M
"Dec. 31, 1994",-106.20M
"Sept. 30, 1994",-87.20M
"June 30, 1994",-52.40M
"March 31, 1994",-47.00M
"Dec. 31, 1993",-69.60M
"Sept. 30, 1993",-61.30M
"June 30, 1993",-54.90M
"March 31, 1993",-2.00M
"Dec. 31, 1992",-63.60M
"Sept. 30, 1992",-41.40M
"June 30, 1992",-32.30M
"March 31, 1992",-9.40M
"Dec. 31, 1991",-26.20M
"Sept. 30, 1991",-61.40M
"June 30, 1991",-26.10M
"March 31, 1991",-8.30M
"Dec. 31, 1990",-64.70M
"Sept. 30, 1990",-31.50M
"June 30, 1990",-25.50M
"March 31, 1990",-27.30M
