date,net_income_annual_cs_rev
"Dec. 31, 2019",-55.66%
"Dec. 31, 2018",0.54%
"Dec. 31, 2017",22.15%
"Dec. 31, 2016",-26.18%
"Dec. 31, 2015",-159.0%
"Dec. 31, 2014",-65.34%
"Dec. 31, 2013",15.11%
"Dec. 31, 2012",12.18%
"Dec. 31, 2011",27.27%
"Dec. 31, 2010",24.89%
"Dec. 31, 2009",-3.31%
"Dec. 31, 2008",5.75%
"Dec. 31, 2007",28.23%
"Dec. 31, 2006",31.61%
"Dec. 31, 2005",34.59%
"Dec. 31, 2004",31.29%
"Dec. 31, 2003",26.77%
"Dec. 31, 2002",21.66%
"Dec. 31, 2001",26.05%
"Dec. 31, 2000",31.22%
"Dec. 31, 1999",17.52%
"Dec. 31, 1998",-17.01%
"Dec. 31, 1997",13.12%
"Dec. 31, 1996",12.44%
"Dec. 31, 1995",2.69%
"Dec. 31, 1994",7.96%
"Dec. 31, 1993",8.05%
"Dec. 31, 1992",11.30%
"Dec. 31, 1991",9.69%
"Dec. 31, 1990",14.74%
"Dec. 31, 1989",8.95%
"Dec. 31, 1988",5.65%
"Dec. 31, 1987",-80.50%
"Dec. 31, 1986",-6.35%
"Dec. 31, 1985",6.15%
"Dec. 31, 1984",18.43%
