date,cash_investing_ttm
"Dec. 31, 2019",-3.446B
"Sept. 30, 2019",-3.887B
"June 30, 2019",-3.862B
"March 31, 2019",-3.992B
"Dec. 31, 2018",-3.944B
"Sept. 30, 2018",-3.633B
"June 30, 2018",-2.801B
"March 31, 2018",-2.213B
"Dec. 31, 2017",-1.416B
"Sept. 30, 2017",-921.00M
"June 30, 2017",-1.223B
"March 31, 2017",-1.198B
"Dec. 31, 2016",-1.66B
"Sept. 30, 2016",-1.625B
"June 30, 2016",-2.156B
"March 31, 2016",2.646B
"Dec. 31, 2015",1.083B
"Sept. 30, 2015",-103.00M
"June 30, 2015",-1.626B
"March 31, 2015",-8.559B
"Dec. 31, 2014",-8.39B
"Sept. 30, 2014",-9.723B
"June 30, 2014",-6.243B
"March 31, 2014",-6.473B
"Dec. 31, 2013",-7.116B
"Sept. 30, 2013",-7.198B
"June 30, 2013",-11.20B
"March 31, 2013",-13.37B
"Dec. 31, 2012",-13.42B
"Sept. 30, 2012",-13.58B
"June 30, 2012",-12.85B
"March 31, 2012",-9.538B
"Dec. 31, 2011",-8.645B
"Sept. 30, 2011",-8.573B
"June 30, 2011",-13.56B
"March 31, 2011",-14.10B
"Dec. 31, 2010",-13.40B
"Sept. 30, 2010",-11.19B
"June 30, 2010",-4.722B
"March 31, 2010",-3.213B
"Dec. 31, 2009",-3.247B
"Sept. 30, 2009",-4.817B
"June 30, 2009",-5.669B
"March 31, 2009",-6.212B
"Dec. 31, 2008",-6.535B
"Sept. 30, 2008",-5.347B
"June 30, 2008",-5.061B
"March 31, 2008",-5.122B
"Dec. 31, 2007",-5.946B
"Sept. 30, 2007",-5.921B
"June 30, 2007",-5.770B
"March 31, 2007",-7.118B
"Dec. 31, 2006",-5.776B
"Sept. 30, 2006",-5.687B
"June 30, 2006",-5.495B
"March 31, 2006",-3.860B
"Dec. 31, 2005",-3.732B
"Sept. 30, 2005",-3.520B
"June 30, 2005",-4.070B
"March 31, 2005",-3.690B
"Dec. 31, 2004",-3.411B
"Sept. 30, 2004",-3.059B
"June 30, 2004",-2.076B
"March 31, 2004",-2.554B
"Dec. 31, 2003",-2.959B
"Sept. 30, 2003",-2.993B
"June 30, 2003",-2.734B
"March 31, 2003",-1.889B
"Dec. 31, 2002",-1.236B
"Sept. 30, 2002",-1.079B
"June 30, 2002",-1.378B
"March 31, 2002",-1.443B
"Dec. 31, 2001",-2.314B
"Sept. 30, 2001",-2.799B
"June 30, 2001",-2.775B
"March 31, 2001",-3.058B
"Dec. 31, 2000",-2.229B
"Sept. 30, 2000",-2.101B
"June 30, 2000",-1.627B
"March 31, 2000",-1.822B
"Dec. 31, 1999",-1.770B
"Sept. 30, 1999",-1.274B
"June 30, 1999",-1.285B
"March 31, 1999",-702.02M
"Dec. 31, 1998",-512.12M
"Sept. 30, 1998",-813.20M
"June 30, 1998",-896.80M
"March 31, 1998",-910.10M
"Dec. 31, 1997",-1.066B
"Sept. 30, 1997",-722.70M
"June 30, 1997",-724.50M
"March 31, 1997",-682.00M
"Dec. 31, 1996",-618.20M
"Sept. 30, 1996",-615.10M
"June 30, 1996",-524.50M
"March 31, 1996",-385.30M
"Dec. 31, 1995",-870.00M
"Sept. 30, 1995",-957.90M
"June 30, 1995",-971.70M
"March 31, 1995",-1.036B
"Dec. 31, 1994",-519.70M
"Sept. 30, 1994",-417.70M
"June 30, 1994",-509.40M
"March 31, 1994",-520.10M
"Dec. 31, 1993",-466.60M
"Sept. 30, 1993",-441.40M
"June 30, 1993",-235.90M
"March 31, 1993",-122.80M
"Dec. 31, 1992",-118.00M
"Sept. 30, 1992",-14.70M
"June 30, 1992",-507.90M
"March 31, 1992",-509.40M
"Dec. 31, 1991",-503.70M
"Sept. 30, 1991",-557.30M
"June 30, 1991",-115.70M
"March 31, 1991",-159.90M
"Dec. 31, 1990",-172.90M
