date,max_drawdown_all
"Feb. 29, 2020",85.19%
"Jan. 31, 2020",85.19%
"Dec. 31, 2019",85.19%
"Nov. 30, 2019",84.12%
"Oct. 31, 2019",84.12%
"Sept. 30, 2019",84.12%
"Aug. 31, 2019",84.12%
"July 31, 2019",81.43%
"June 30, 2019",80.26%
"May 31, 2019",80.26%
"April 30, 2019",80.26%
"March 31, 2019",80.26%
"Feb. 28, 2019",80.26%
"Jan. 31, 2019",80.26%
"Dec. 31, 2018",80.26%
"Nov. 30, 2018",75.23%
"Oct. 31, 2018",75.23%
"Sept. 30, 2018",75.23%
"Aug. 31, 2018",75.23%
"July 31, 2018",75.23%
"June 30, 2018",75.23%
"May 31, 2018",75.23%
"April 30, 2018",75.23%
"March 31, 2018",75.23%
"Feb. 28, 2018",75.23%
"Jan. 31, 2018",75.23%
"Dec. 31, 2017",75.23%
"Nov. 30, 2017",75.23%
"Oct. 31, 2017",75.23%
"Sept. 30, 2017",75.23%
"Aug. 31, 2017",75.23%
"July 31, 2017",75.23%
"June 30, 2017",75.23%
"May 31, 2017",75.23%
"April 30, 2017",75.23%
"March 31, 2017",75.23%
"Feb. 28, 2017",75.23%
"Jan. 31, 2017",75.23%
"Dec. 31, 2016",75.23%
"Nov. 30, 2016",75.23%
"Oct. 31, 2016",75.23%
"Sept. 30, 2016",75.23%
"Aug. 31, 2016",75.23%
"July 31, 2016",75.23%
"June 30, 2016",75.23%
"May 31, 2016",75.23%
"April 30, 2016",75.23%
"March 31, 2016",75.23%
"Feb. 29, 2016",75.23%
"Jan. 31, 2016",75.23%
"Dec. 31, 2015",75.23%
"Nov. 30, 2015",75.23%
"Oct. 31, 2015",75.23%
"Sept. 30, 2015",75.23%
"Aug. 31, 2015",75.23%
"July 31, 2015",75.23%
"June 30, 2015",75.23%
"May 31, 2015",75.23%
"April 30, 2015",75.23%
"March 31, 2015",75.23%
"Feb. 28, 2015",75.23%
"Jan. 31, 2015",75.23%
"Dec. 31, 2014",75.23%
"Nov. 30, 2014",75.23%
"Oct. 31, 2014",75.23%
"Sept. 30, 2014",75.23%
"Aug. 31, 2014",75.23%
"July 31, 2014",75.23%
"June 30, 2014",75.23%
"May 31, 2014",75.23%
"April 30, 2014",75.23%
"March 31, 2014",75.23%
"Feb. 28, 2014",75.23%
"Jan. 31, 2014",75.23%
"Dec. 31, 2013",75.23%
"Nov. 30, 2013",75.23%
"Oct. 31, 2013",75.23%
"Sept. 30, 2013",75.23%
"Aug. 31, 2013",75.23%
"July 31, 2013",75.23%
"June 30, 2013",75.23%
"May 31, 2013",75.23%
"April 30, 2013",75.23%
"March 31, 2013",75.23%
"Feb. 28, 2013",75.23%
"Jan. 31, 2013",75.23%
"Dec. 31, 2012",75.23%
"Nov. 30, 2012",75.23%
"Oct. 31, 2012",75.23%
"Sept. 30, 2012",75.23%
"Aug. 31, 2012",75.23%
"July 31, 2012",75.23%
"June 30, 2012",75.23%
"May 31, 2012",75.23%
"April 30, 2012",75.23%
"March 31, 2012",75.23%
"Feb. 29, 2012",75.23%
"Jan. 31, 2012",75.23%
"Dec. 31, 2011",75.23%
"Nov. 30, 2011",75.23%
"Oct. 31, 2011",75.23%
"Sept. 30, 2011",75.23%
"Aug. 31, 2011",75.23%
"July 31, 2011",75.23%
"June 30, 2011",75.23%
"May 31, 2011",75.23%
"April 30, 2011",75.23%
"March 31, 2011",75.23%
"Feb. 28, 2011",75.23%
"Jan. 31, 2011",75.23%
"Dec. 31, 2010",75.23%
"Nov. 30, 2010",75.23%
"Oct. 31, 2010",75.23%
"Sept. 30, 2010",75.23%
"Aug. 31, 2010",75.23%
"July 31, 2010",75.23%
"June 30, 2010",75.23%
"May 31, 2010",75.23%
"April 30, 2010",75.23%
"March 31, 2010",75.23%
"Feb. 28, 2010",75.23%
"Jan. 31, 2010",75.23%
"Dec. 31, 2009",75.23%
"Nov. 30, 2009",75.23%
"Oct. 31, 2009",75.23%
"Sept. 30, 2009",75.23%
"Aug. 31, 2009",75.23%
"July 31, 2009",75.23%
"June 30, 2009",75.23%
"May 31, 2009",75.23%
"April 30, 2009",75.23%
"March 31, 2009",75.23%
"Feb. 28, 2009",75.23%
"Jan. 31, 2009",75.23%
"Dec. 31, 2008",75.23%
"Nov. 30, 2008",75.23%
"Oct. 31, 2008",75.23%
"Sept. 30, 2008",75.23%
"Aug. 31, 2008",75.23%
"July 31, 2008",75.23%
"June 30, 2008",75.23%
"May 31, 2008",75.23%
