date,return_on_assets
"Dec. 31, 2019",-16.79%
"Sept. 30, 2019",-4.32%
"June 30, 2019",-3.23%
"March 31, 2019",-0.70%
"Dec. 31, 2018",0.18%
"Sept. 30, 2018",4.01%
"June 30, 2018",3.90%
"March 31, 2018",5.58%
"Dec. 31, 2017",5.85%
"Sept. 30, 2017",2.95%
"June 30, 2017",-0.02%
"March 31, 2017",-3.72%
"Dec. 31, 2016",-6.21%
"Sept. 30, 2016",-22.10%
"June 30, 2016",-33.58%
"March 31, 2016",-30.30%
"Dec. 31, 2015",-35.37%
"Sept. 30, 2015",-38.09%
"June 30, 2015",-27.88%
"March 31, 2015",-23.01%
"Dec. 31, 2014",-13.89%
"Sept. 30, 2014",-0.68%
"June 30, 2014",1.99%
"March 31, 2014",2.84%
"Dec. 31, 2013",3.63%
"Sept. 30, 2013",4.47%
"June 30, 2013",4.31%
"March 31, 2013",3.29%
"Dec. 31, 2012",3.55%
"Sept. 30, 2012",4.69%
"June 30, 2012",6.52%
"March 31, 2012",8.70%
"Dec. 31, 2011",9.78%
"Sept. 30, 2011",9.31%
"June 30, 2011",9.55%
"March 31, 2011",9.36%
"Dec. 31, 2010",9.01%
"Sept. 30, 2010",9.63%
"June 30, 2010",9.16%
"March 31, 2010",7.93%
"Dec. 31, 2009",-1.04%
"Sept. 30, 2009",-13.43%
"June 30, 2009",-10.45%
"March 31, 2009",-6.88%
"Dec. 31, 2008",2.33%
"Sept. 30, 2008",15.67%
"June 30, 2008",14.33%
"March 31, 2008",12.01%
"Dec. 31, 2007",10.53%
"Sept. 30, 2007",8.81%
"June 30, 2007",9.35%
"March 31, 2007",10.30%
"Dec. 31, 2006",11.72%
"Sept. 30, 2006",13.76%
"June 30, 2006",14.91%
"March 31, 2006",15.09%
"Dec. 31, 2005",15.30%
"Sept. 30, 2005",14.45%
"June 30, 2005",13.64%
"March 31, 2005",13.00%
"Dec. 31, 2004",12.17%
"Sept. 30, 2004",10.89%
"June 30, 2004",10.13%
"March 31, 2004",9.38%
"Dec. 31, 2003",9.86%
"Sept. 30, 2003",9.69%
"June 30, 2003",8.99%
"March 31, 2003",8.52%
"Dec. 31, 2002",6.06%
"Sept. 30, 2002",4.98%
"June 30, 2002",5.13%
"March 31, 2002",5.83%
"Dec. 31, 2001",8.35%
"Sept. 30, 2001",10.82%
"June 30, 2001",12.27%
"March 31, 2001",12.53%
"Dec. 31, 2000",11.24%
"Sept. 30, 2000",9.69%
"June 30, 2000",7.90%
"March 31, 2000",6.35%
"Dec. 31, 1999",4.29%
"Sept. 30, 1999",-1.27%
"June 30, 1999",-2.94%
"March 31, 1999",-3.62%
"Dec. 31, 1998",-3.14%
"Sept. 30, 1998",1.85%
"June 30, 1998",2.60%
"March 31, 1998",3.13%
"Dec. 31, 1997",4.21%
"Sept. 30, 1997",4.58%
"June 30, 1997",4.70%
"March 31, 1997",4.91%
"Dec. 31, 1996",3.96%
"Sept. 30, 1996",2.71%
"June 30, 1996",2.01%
"March 31, 1996",1.22%
"Dec. 31, 1995",0.90%
"Sept. 30, 1995",1.16%
"June 30, 1995",1.45%
"March 31, 1995",2.12%
"Dec. 31, 1994",2.53%
"Sept. 30, 1994",2.67%
"June 30, 1994",2.20%
"March 31, 1994",2.41%
"Dec. 31, 1993",2.71%
"Sept. 30, 1993",2.75%
"June 30, 1993",3.50%
"March 31, 1993",4.59%
"Dec. 31, 1992",4.00%
"Sept. 30, 1992",4.27%
"June 30, 1992",3.88%
"March 31, 1992",2.51%
"Dec. 31, 1991",3.52%
"Sept. 30, 1991",3.49%
"June 30, 1991",4.98%
"March 31, 1991",5.17%
"Dec. 31, 1990",5.16%
"Sept. 30, 1990",4.64%
"June 30, 1990",4.12%
