date,shares_outstanding
"Jan. 31, 2020",377.32M
"Dec. 31, 2019",376.06M
"Oct. 30, 2019",376.04M
"Sept. 30, 2019",376.02M
"July 31, 2019",375.96M
"June 30, 2019",375.96M
"April 30, 2019",375.92M
"March 31, 2019",375.91M
"March 25, 2019",375.91M
"Feb. 28, 2019",375.91M
"Jan. 31, 2019",375.41M
"Dec. 31, 2018",374.70M
"Oct. 31, 2018",379.54M
"Sept. 30, 2018",381.57M
"July 31, 2018",382.49M
"June 30, 2018",382.46M
"May 24, 2018",382.15M
"April 30, 2018",382.15M
"March 31, 2018",382.15M
"March 26, 2018",382.15M
"Feb. 28, 2018",382.15M
"Jan. 31, 2018",381.45M
"Dec. 31, 2017",380.95M
"Oct. 31, 2017",380.94M
"Sept. 30, 2017",380.94M
"July 31, 2017",380.93M
"June 30, 2017",380.93M
"April 30, 2017",380.44M
"March 31, 2017",380.43M
"March 13, 2017",380.37M
"Feb. 28, 2017",380.37M
"Jan. 31, 2017",379.69M
"Dec. 31, 2016",379.44M
"Oct. 31, 2016",379.43M
"Sept. 30, 2016",379.43M
"July 31, 2016",379.42M
"June 30, 2016",379.36M
"April 30, 2016",378.53M
"March 31, 2016",378.53M
"March 14, 2016",378.51M
"Feb. 29, 2016",378.51M
"Jan. 31, 2016",378.30M
"Dec. 31, 2015",378.03M
"Oct. 31, 2015",378.01M
"Sept. 30, 2015",378.02M
"July 31, 2015",377.99M
"June 30, 2015",377.99M
"April 30, 2015",377.09M
"March 31, 2015",376.92M
"March 16, 2015",376.86M
"Feb. 28, 2015",376.86M
"Jan. 31, 2015",376.82M
"Dec. 31, 2014",376.50M
"Oct. 31, 2014",376.48M
"Sept. 30, 2014",376.82M
"July 31, 2014",382.47M
"June 30, 2014",382.33M
"April 30, 2014",385.71M
"March 31, 2014",390.07M
"March 17, 2014",393.78M
"Feb. 28, 2014",393.78M
"Jan. 31, 2014",394.72M
"Dec. 31, 2013",395.77M
"Oct. 31, 2013",399.24M
"Sept. 30, 2013",403.92M
"July 31, 2013",389.42M
"June 30, 2013",389.38M
"April 30, 2013",391.86M
"March 31, 2013",391.84M
"March 18, 2013",391.84M
"Feb. 28, 2013",391.84M
"Jan. 31, 2013",391.76M
"Dec. 31, 2012",391.64M
"Oct. 31, 2012",391.28M
"Sept. 30, 2012",391.27M
"July 31, 2012",391.22M
"June 30, 2012",391.20M
"April 30, 2012",390.83M
"March 31, 2012",384.48M
"March 26, 2012",384.45M
"Feb. 29, 2012",384.45M
"Jan. 31, 2012",384.32M
"Dec. 31, 2011",384.12M
"Oct. 31, 2011",384.06M
"Sept. 30, 2011",384.03M
"July 31, 2011",383.93M
"June 30, 2011",383.84M
"April 30, 2011",383.45M
"March 31, 2011",383.38M
"March 7, 2011",382.85M
"Feb. 28, 2011",382.85M
"Jan. 31, 2011",382.75M
"Dec. 31, 2010",382.39M
"Oct. 31, 2010",364.59M
"Sept. 30, 2010",364.42M
"July 31, 2010",364.28M
"June 30, 2010",337.80M
"April 30, 2010",337.27M
"March 31, 2010",337.13M
"Feb. 28, 2010",336.74M
"Jan. 31, 2010",336.55M
"Dec. 31, 2009",336.44M
"Sept. 30, 2009",336.17M
"June 30, 2009",335.75M
"March 31, 2009",335.19M
"Jan. 31, 2009",334.75M
"Sept. 30, 2008",334.67M
"June 30, 2008",334.45M
"March 31, 2008",333.59M
"Jan. 31, 2008",332.99M
"Dec. 31, 2007",332.93M
"Sept. 30, 2007",332.65M
"June 30, 2007",332.01M
"March 31, 2007",331.16M
"Jan. 31, 2007",330.96M
"Dec. 31, 2006",330.74M
"Sept. 30, 2006",329.41M
"June 30, 2006",329.24M
"March 31, 2006",330.34M
"Feb. 28, 2006",330.31M
"Dec. 31, 2005",330.12M
"Sept. 30, 2005",329.29M
"June 30, 2005",328.85M
"March 31, 2005",328.19M
"Feb. 28, 2005",328.10M
"Dec. 31, 2004",327.46M
"Sept. 30, 2004",326.47M
"June 30, 2004",326.00M
"March 31, 2004",325.23M
"Feb. 29, 2004",325.04M
"Dec. 31, 2003",324.50M
"Oct. 31, 2003",324.08M
"Sept. 30, 2003",323.86M
"June 30, 2003",323.60M
"March 31, 2003",323.20M
"Feb. 28, 2003",323.09M
"Dec. 31, 2002",317.63M
"Sept. 30, 2002",302.33M
"June 30, 2002",301.98M
"March 31, 2002",288.57M
"Feb. 28, 2002",288.19M
"Dec. 31, 2001",287.92M
"Sept. 30, 2001",287.89M
"June 30, 2001",288.70M
"March 31, 2001",289.69M
"Feb. 28, 2001",285.81M
"Sept. 30, 2000",285.31M
"June 30, 2000",263.65M
"March 31, 2000",262.68M
"Feb. 28, 1999",262.51M
"Feb. 26, 1999",225.90M
"Feb. 27, 1998",227.32M
"Sept. 30, 1997",229.84M
"June 30, 1997",229.52M
"March 31, 1997",229.35M
"Feb. 28, 1997",208.38M
"March 31, 1996",196.94M
"Feb. 29, 1996",178.91M
"June 30, 1995",177.67M
"March 31, 1995",156.22M
"Feb. 28, 1995",141.94M
"Dec. 31, 1994",156.21M
"Sept. 30, 1994",156.18M
"June 30, 1994",158.53M
"March 31, 1994",155.62M
"Dec. 31, 1993",155.31M
"Sept. 30, 1993",154.22M
"June 30, 1993",134.22M
"March 31, 1993",134.13M
"Dec. 31, 1992",119.34M
"Sept. 30, 1992",119.33M
"June 30, 1992",119.25M
"March 31, 1992",119.25M
"Dec. 31, 1991",119.13M
"Sept. 30, 1991",119.06M
"June 30, 1991",113.85M
"March 31, 1991",113.64M
"Dec. 31, 1990",113.64M
"Sept. 30, 1990",113.71M
"June 30, 1990",113.41M
"March 31, 1990",113.39M
"Dec. 31, 1989",111.74M
"Sept. 30, 1989",99.63M
"June 30, 1989",83.84M
"March 31, 1989",83.84M
"Dec. 31, 1988",83.80M
"Sept. 30, 1988",53.40M
"June 30, 1988",53.50M
"March 31, 1988",53.27M
"Dec. 31, 1987",51.01M
"Sept. 30, 1987",51.73M
"June 30, 1987",51.69M
"March 31, 1987",51.69M
"Dec. 31, 1986",51.66M
"Sept. 30, 1986",51.96M
"June 30, 1986",51.96M
"March 31, 1986",52.58M
"Dec. 31, 1985",52.15M
"Sept. 30, 1985",52.58M
"June 30, 1985",52.81M
"March 31, 1985",53.40M
"Dec. 31, 1984",53.01M
"Sept. 30, 1984",53.40M
"June 30, 1984",53.40M
"March 31, 1984",53.40M
