date,free_cash_flow
"Dec. 31, 2019",165.00M
"Sept. 30, 2019",-47.00M
"June 30, 2019",53.00M
"March 31, 2019",-265.00M
"Dec. 31, 2018",-25.00M
"Sept. 30, 2018",64.00M
"June 30, 2018",96.00M
"March 31, 2018",-262.00M
"Dec. 31, 2017",-95.00M
"Sept. 30, 2017",-219.00M
"June 30, 2017",40.00M
"March 31, 2017",-58.00M
"Dec. 31, 2016",330.00M
"Sept. 30, 2016",211.00M
"June 30, 2016",266.00M
"March 31, 2016",-326.00M
"Dec. 31, 2015",-705.00M
"Sept. 30, 2015",-213.00M
"June 30, 2015",-92.00M
"March 31, 2015",-1.131B
"Dec. 31, 2014",-1.809B
"Sept. 30, 2014",-1.004B
"June 30, 2014",219.00M
"March 31, 2014",-413.00M
"Dec. 31, 2013",959.00M
"Sept. 30, 2013",-519.00M
"June 30, 2013",-17.00M
"March 31, 2013",-144.00M
"Dec. 31, 2012",-409.00M
"Sept. 30, 2012",-1.152B
"June 30, 2012",561.00M
"March 31, 2012",40.00M
"Dec. 31, 2011",934.00M
"Sept. 30, 2011",656.00M
"June 30, 2011",1.002B
"March 31, 2011",283.00M
"Dec. 31, 2010",-7.074B
"Sept. 30, 2010",524.00M
"June 30, 2010",827.00M
"March 31, 2010",80.00M
"Dec. 31, 2009",773.85M
"Sept. 30, 2009",733.69M
"June 30, 2009",-580.57M
"March 31, 2009",-515.98M
"Dec. 31, 2008",-302.41M
"Sept. 30, 2008",595.53M
"June 30, 2008",387.24M
"March 31, 2008",561.97M
"Dec. 31, 2007",704.53M
"Sept. 30, 2007",129.05M
"June 30, 2007",183.47M
"March 31, 2007",-141.96M
"Dec. 31, 2006",-326.11M
"Sept. 30, 2006",146.72M
"June 30, 2006",550.90M
"March 31, 2006",-198.84M
"Dec. 31, 2005",192.58M
"Sept. 30, 2005",355.34M
"June 30, 2005",22.67M
"March 31, 2005",45.82M
"Dec. 31, 2004",136.53M
"Sept. 30, 2004",397.60M
"June 30, 2004",58.40M
"March 31, 2004",182.50M
"Dec. 31, 2003",147.20M
"Sept. 30, 2003",510.64M
"June 30, 2003",273.96M
"March 31, 2003",179.16M
"Dec. 31, 2002",81.30M
"Sept. 30, 2002",103.88M
"June 30, 2002",197.99M
"March 31, 2002",-39.82M
"Dec. 31, 2001",36.37M
"Sept. 30, 2001",59.96M
"June 30, 2001",16.07M
"March 31, 2001",297.56M
"Dec. 31, 2000",237.08M
"Sept. 30, 2000",160.27M
"June 30, 2000",52.57M
"March 31, 2000",68.94M
"Dec. 31, 1999",854.38M
"Sept. 30, 1999",-692.88M
"June 30, 1999",66.48M
"March 31, 1999",-181.10M
"Dec. 31, 1998",-96.90M
"Sept. 30, 1998",18.10M
"June 30, 1998",-62.50M
"March 31, 1998",-86.70M
"Dec. 31, 1997",-464.30M
"Sept. 30, 1997",513.80M
"June 30, 1997",-79.60M
"March 31, 1997",22.00M
"Dec. 31, 1996",-55.90M
"Sept. 30, 1996",-70.90M
"June 30, 1996",29.80M
"March 31, 1996",-54.60M
"Dec. 31, 1995",-24.70M
"Sept. 30, 1995",-355.90M
"June 30, 1995",145.70M
"March 31, 1995",-582.60M
"Dec. 31, 1994",235.70M
"Sept. 30, 1994",-34.80M
"June 30, 1994",-33.00M
"March 31, 1994",-12.30M
"Dec. 31, 1993",-199.60M
"Sept. 30, 1993",34.50M
"June 30, 1993",-63.00M
"March 31, 1993",13.60M
"Dec. 31, 1992",-32.80M
"Sept. 30, 1992",17.40M
"June 30, 1992",23.10M
"March 31, 1992",-20.40M
"Dec. 31, 1991",37.50M
"Sept. 30, 1991",-504.40M
"June 30, 1991",32.20M
"March 31, 1991",19.20M
"Dec. 31, 1990",77.40M
"Sept. 30, 1990",76.50M
"June 30, 1990",-0.80M
"March 31, 1990",-0.70M
