date,springate_score
"Dec. 31, 2019",-0.9496
"Sept. 30, 2019",0.2701
"June 30, 2019",0.469
"March 31, 2019",0.7357
"Dec. 31, 2018",0.8422
"Sept. 30, 2018",1.096
"June 30, 2018",0.9336
"March 31, 2018",0.7419
"Dec. 31, 2017",0.83
"Sept. 30, 2017",0.7027
"June 30, 2017",0.2883
"March 31, 2017",0.1496
"Dec. 31, 2016",-0.3437
"Sept. 30, 2016",-2.954
"June 30, 2016",-4.292
"March 31, 2016",-3.098
"Dec. 31, 2015",-4.728
"Sept. 30, 2015",-4.818
"June 30, 2015",-3.328
"March 31, 2015",-2.900
"Dec. 31, 2014",-1.083
"Sept. 30, 2014",0.6094
"June 30, 2014",0.7883
"March 31, 2014",0.9164
"Dec. 31, 2013",0.9004
"Sept. 30, 2013",1.124
"June 30, 2013",1.116
"March 31, 2013",0.9851
"Dec. 31, 2012",1.046
"Sept. 30, 2012",1.175
"June 30, 2012",1.470
"March 31, 2012",1.843
"Dec. 31, 2011",2.008
"Sept. 30, 2011",2.078
"June 30, 2011",2.074
"March 31, 2011",2.107
"Dec. 31, 2010",2.089
"Sept. 30, 2010",2.34
"June 30, 2010",2.327
"March 31, 2010",2.125
"Dec. 31, 2009",0.5237
"Sept. 30, 2009",-1.866
"June 30, 2009",-1.296
"March 31, 2009",-0.678
"Dec. 31, 2008",0.6702
"Sept. 30, 2008",2.604
"June 30, 2008",2.376
"March 31, 2008",2.050
