date,asset_utilization
"Dec. 31, 2019",0.2284
"Sept. 30, 2019",0.2109
"June 30, 2019",0.1935
"March 31, 2019",0.1859
"Dec. 31, 2018",0.1746
"Sept. 30, 2018",0.1102
"June 30, 2018",0.1135
"March 31, 2018",0.1178
"Dec. 31, 2017",0.1281
"Sept. 30, 2017",0.1983
"June 30, 2017",0.1969
"March 31, 2017",0.1856
"Dec. 31, 2016",0.1739
"Sept. 30, 2016",0.1772
"June 30, 2016",0.1781
"March 31, 2016",0.1872
"Dec. 31, 2015",0.1958
"Sept. 30, 2015",0.2162
"June 30, 2015",0.2488
"March 31, 2015",0.2793
"Dec. 31, 2014",0.3022
"Sept. 30, 2014",0.306
"June 30, 2014",0.299
"March 31, 2014",0.297
"Dec. 31, 2013",0.2981
"Sept. 30, 2013",0.0346
"June 30, 2013",0.1108
"March 31, 2013",0.4725
"Dec. 31, 2012",0.8559
"Sept. 30, 2012",0.0088
"June 30, 2012",0.3127
"March 31, 2012",0.3306
"Dec. 31, 2011",0.2875
"Sept. 30, 2011",1.754
"June 30, 2011",1.636
"March 31, 2011",1.600
"Dec. 31, 2010",1.603
"Sept. 30, 2010",1.705
"June 30, 2010",1.725
"March 31, 2010",1.683
"Dec. 31, 2009",1.594
"Sept. 30, 2009",1.506
"June 30, 2009",1.762
"March 31, 2009",2.118
"Dec. 31, 2008",2.406
"Sept. 30, 2008",2.586
"June 30, 2008",2.421
"March 31, 2008",2.242
"Dec. 31, 2007",2.085
"Sept. 30, 2007",1.972
"June 30, 2007",2.016
"March 31, 2007",2.019
"Dec. 31, 2006",2.055
"Sept. 30, 2006",2.077
"June 30, 2006",2.043
"March 31, 2006",2.012
"Dec. 31, 2005",1.986
"Sept. 30, 2005",1.906
"June 30, 2005",1.786
"March 31, 2005",1.697
"Dec. 31, 2004",1.599
"Sept. 30, 2004",1.460
"June 30, 2004",1.319
"March 31, 2004",1.187
"Dec. 31, 2003",1.164
"Sept. 30, 2003",1.142
"June 30, 2003",1.128
"March 31, 2003",1.141
"Dec. 31, 2002",1.047
"Sept. 30, 2002",0.8844
"June 30, 2002",0.9271
"March 31, 2002",1.043
"Dec. 31, 2001",1.197
"Sept. 30, 2001",1.234
"June 30, 2001",1.332
"March 31, 2001",1.336
"Dec. 31, 2000",1.341
"Sept. 30, 2000",1.854
"June 30, 2000",1.672
"March 31, 2000",1.463
"Dec. 31, 1999",1.196
"Sept. 30, 1999",1.064
"June 30, 1999",0.9866
"March 31, 1999",0.9917
"Dec. 31, 1998",1.052
"Sept. 30, 1998",0.8415
"June 30, 1998",0.9049
"March 31, 1998",0.9378
"Dec. 31, 1997",0.9681
"Sept. 30, 1997",0.9988
"June 30, 1997",0.9661
"March 31, 1997",0.9623
"Dec. 31, 1996",0.9268
"Sept. 30, 1996",0.8264
"June 30, 1996",0.7996
"March 31, 1996",0.7679
"Dec. 31, 1995",0.752
"Sept. 30, 1995",0.727
"June 30, 1995",0.7658
"March 31, 1995",0.7686
"Dec. 31, 1994",0.7795
"Sept. 30, 1994",0.7914
"June 30, 1994",0.7741
"March 31, 1994",0.7869
"Dec. 31, 1993",0.8013
"Sept. 30, 1993",0.8619
"June 30, 1993",0.8603
"March 31, 1993",0.8581
"Dec. 31, 1992",0.8271
"Sept. 30, 1992",0.6659
"June 30, 1992",0.6859
"March 31, 1992",0.717
"Dec. 31, 1991",0.7538
"Sept. 30, 1991",0.9205
"June 30, 1991",0.9843
"March 31, 1991",0.9714
"Dec. 31, 1990",0.9597
"Sept. 30, 1990",0.9182
"June 30, 1990",0.8475
"March 31, 1990",0.845
"Dec. 31, 1989",0.8086
