date,sales_est_0q
"March 20, 2020",663.77M
"March 18, 2020",678.21M
"March 17, 2020",680.06M
"March 16, 2020",693.81M
"March 13, 2020",700.89M
"March 12, 2020",706.64M
"March 10, 2020",707.97M
"March 9, 2020",707.97M
"Feb. 26, 2020",713.50M
"Feb. 22, 2020",718.36M
"Feb. 18, 2020",721.87M
"Feb. 3, 2020",721.17M
"Jan. 31, 2020",730.45M
"Jan. 30, 2020",734.28M
"Jan. 28, 2020",750.61M
"Jan. 27, 2020",752.06M
"Jan. 24, 2020",756.60M
"Jan. 23, 2020",740.24M
"Jan. 21, 2020",746.52M
"Jan. 17, 2020",751.62M
"Jan. 16, 2020",759.71M
"Jan. 15, 2020",762.44M
"Jan. 14, 2020",764.88M
"Jan. 13, 2020",756.48M
"Jan. 6, 2020",754.01M
"Jan. 3, 2020",747.01M
"Dec. 31, 2019",760.94M
"Dec. 19, 2019",779.79M
"Dec. 17, 2019",774.89M
"Dec. 6, 2019",775.46M
"Nov. 26, 2019",776.56M
"Nov. 18, 2019",777.99M
"Nov. 15, 2019",773.18M
"Nov. 11, 2019",773.07M
"Nov. 5, 2019",773.20M
"Nov. 4, 2019",776.29M
"Nov. 1, 2019",777.85M
"Oct. 31, 2019",753.31M
"Oct. 27, 2019",740.16M
"Oct. 23, 2019",736.74M
"Oct. 21, 2019",739.49M
"Oct. 18, 2019",742.12M
"Oct. 17, 2019",740.51M
"Oct. 16, 2019",750.89M
"Oct. 15, 2019",761.78M
"Oct. 11, 2019",766.98M
"Oct. 10, 2019",766.82M
"Oct. 7, 2019",772.82M
"Oct. 4, 2019",769.24M
"Oct. 1, 2019",771.59M
"Sept. 30, 2019",701.64M
"Sept. 9, 2019",732.04M
"Sept. 6, 2019",732.62M
"Sept. 5, 2019",733.52M
"Aug. 19, 2019",737.17M
"Aug. 16, 2019",739.25M
"Aug. 12, 2019",738.25M
"Aug. 9, 2019",761.10M
"Aug. 8, 2019",737.56M
"July 29, 2019",751.99M
"July 23, 2019",758.34M
"July 22, 2019",761.94M
"July 17, 2019",775.16M
"July 16, 2019",780.37M
"July 15, 2019",777.48M
"July 10, 2019",778.38M
"July 8, 2019",778.72M
"June 30, 2019",612.71M
"June 28, 2019",592.42M
"June 27, 2019",587.91M
"June 20, 2019",584.28M
"June 3, 2019",587.41M
"May 28, 2019",584.18M
"May 17, 2019",585.07M
"May 16, 2019",597.69M
"May 15, 2019",605.45M
"May 3, 2019",605.95M
"May 2, 2019",631.63M
"April 29, 2019",611.13M
"April 26, 2019",606.12M
"April 25, 2019",603.35M
"April 24, 2019",597.35M
"April 23, 2019",601.74M
"April 18, 2019",605.13M
"April 17, 2019",602.20M
"April 16, 2019",596.38M
"April 15, 2019",569.65M
"April 3, 2019",571.05M
"April 2, 2019",571.05M
"March 31, 2019",557.15M
"March 29, 2019",528.00M
"March 28, 2019",528.00M
"March 25, 2019",535.87M
"March 22, 2019",741.64M
"March 21, 2019",736.31M
"March 19, 2019",727.34M
"March 18, 2019",715.34M
"March 6, 2019",713.78M
"Feb. 13, 2019",713.78M
"Feb. 11, 2019",715.28M
"Feb. 8, 2019",701.23M
"Feb. 4, 2019",709.88M
"Feb. 1, 2019",719.85M
"Jan. 31, 2019",693.83M
"Jan. 29, 2019",691.07M
"Jan. 28, 2019",722.97M
"Jan. 24, 2019",719.28M
"Jan. 23, 2019",719.89M
"Jan. 16, 2019",720.66M
"Jan. 9, 2019",745.45M
"Jan. 7, 2019",770.59M
"Dec. 31, 2018",640.19M
"Dec. 21, 2018",690.37M
"Dec. 17, 2018",692.42M
"Dec. 15, 2018",687.56M
"Dec. 10, 2018",681.98M
"Dec. 7, 2018",700.98M
"Dec. 5, 2018",696.10M
"Dec. 4, 2018",697.50M
"Nov. 26, 2018",698.94M
"Nov. 20, 2018",697.56M
"Nov. 16, 2018",700.68M
"Nov. 13, 2018",709.11M
"Nov. 9, 2018",708.68M
"Nov. 8, 2018",707.46M
"Oct. 23, 2018",707.00M
"Oct. 18, 2018",694.71M
"Oct. 17, 2018",694.71M
"Oct. 16, 2018",674.97M
"Oct. 15, 2018",675.64M
"Oct. 13, 2018",679.31M
