date,return_on_invested_capital
"Dec. 31, 2019",13.08%
"Sept. 30, 2019",15.40%
"June 30, 2019",3.95%
"March 31, 2019",3.57%
"Dec. 31, 2018",5.31%
"Sept. 30, 2018",0.27%
"June 30, 2018",-1.80%
"March 31, 2018",-2.60%
"Dec. 31, 2017",-3.98%
"Sept. 30, 2017",-1.12%
"June 30, 2017",-0.50%
"March 31, 2017",-0.23%
"Dec. 31, 2016",-3.40%
"Sept. 30, 2016",-9.50%
"June 30, 2016",-26.34%
"March 31, 2016",-25.40%
"Dec. 31, 2015",-22.15%
"Sept. 30, 2015",-11.83%
"June 30, 2015",4.58%
"March 31, 2015",6.26%
"Dec. 31, 2014",7.61%
"Sept. 30, 2014",5.09%
"June 30, 2014",5.44%
"March 31, 2014",7.82%
"Dec. 31, 2013",9.67%
"Sept. 30, 2013",10.52%
"June 30, 2013",10.27%
"March 31, 2013",9.74%
"Dec. 31, 2012",9.48%
"Sept. 30, 2012",6.95%
"June 30, 2012",8.82%
"March 31, 2012",9.09%
"Dec. 31, 2011",8.98%
"Sept. 30, 2011",11.84%
"June 30, 2011",9.90%
"March 31, 2011",10.04%
"Dec. 31, 2010",8.99%
"Sept. 30, 2010",10.91%
"June 30, 2010",10.90%
"March 31, 2010",9.84%
"Dec. 31, 2009",10.48%
"Sept. 30, 2009",8.32%
"June 30, 2009",13.70%
"March 31, 2009",20.30%
"Dec. 31, 2008",23.97%
"Sept. 30, 2008",25.69%
"June 30, 2008",21.37%
"March 31, 2008",17.08%
"Dec. 31, 2007",13.22%
"Sept. 30, 2007",11.91%
"June 30, 2007",13.18%
"March 31, 2007",13.32%
"Dec. 31, 2006",14.12%
"Sept. 30, 2006",16.32%
"June 30, 2006",17.42%
"March 31, 2006",22.05%
"Dec. 31, 2005",23.01%
"Sept. 30, 2005",23.09%
"June 30, 2005",20.52%
"March 31, 2005",21.27%
"Dec. 31, 2004",21.21%
"Sept. 30, 2004",19.26%
"June 30, 2004",18.47%
"March 31, 2004",10.31%
"Dec. 31, 2003",10.36%
"Sept. 30, 2003",10.78%
"June 30, 2003",10.13%
"March 31, 2003",8.02%
"Dec. 31, 2002",4.80%
"Sept. 30, 2002",3.71%
"June 30, 2002",4.07%
"March 31, 2002",11.53%
"Dec. 31, 2001",16.87%
"Sept. 30, 2001",21.22%
"June 30, 2001",25.16%
"March 31, 2001",21.44%
"Dec. 31, 2000",18.90%
"Sept. 30, 2000",17.62%
"June 30, 2000",15.27%
"March 31, 2000",11.57%
"Dec. 31, 1999",8.49%
"Sept. 30, 1999",-0.07%
"June 30, 1999",-3.15%
"March 31, 1999",-2.71%
"Dec. 31, 1998",-1.09%
"Sept. 30, 1998",5.92%
"June 30, 1998",8.49%
"March 31, 1998",9.05%
"Dec. 31, 1997",10.38%
"Sept. 30, 1997",11.14%
"June 30, 1997",11.08%
"March 31, 1997",11.39%
"Dec. 31, 1996",10.76%
"Sept. 30, 1996",-5.27%
"June 30, 1996",-7.84%
"March 31, 1996",-8.22%
"Dec. 31, 1995",-8.43%
"Sept. 30, 1995",4.42%
"June 30, 1995",6.57%
"March 31, 1995",7.29%
"Dec. 31, 1994",8.14%
"Sept. 30, 1994",8.56%
"June 30, 1994",7.28%
"March 31, 1994",6.93%
"Dec. 31, 1993",8.19%
"Sept. 30, 1993",9.09%
"June 30, 1993",8.82%
"March 31, 1993",9.68%
"Dec. 31, 1992",8.16%
"Sept. 30, 1992",7.45%
"June 30, 1992",9.18%
"March 31, 1992",-0.89%
"Dec. 31, 1991",-0.80%
"Sept. 30, 1991",-1.39%
"June 30, 1991",-1.87%
"March 31, 1991",8.23%
"Dec. 31, 1990",7.77%
"Sept. 30, 1990",8.03%
"June 30, 1990",5.38%
"March 31, 1990",4.51%
"Dec. 31, 1989",3.76%
