date,revenues_ttm
"Dec. 31, 2019",2.744B
"Sept. 30, 2019",2.463B
"June 30, 2019",2.188B
"March 31, 2019",1.969B
"Dec. 31, 2018",1.775B
"Sept. 30, 2018",1.101B
"June 30, 2018",1.137B
"March 31, 2018",1.187B
"Dec. 31, 2017",1.300B
"Sept. 30, 2017",2.034B
"June 30, 2017",2.009B
"March 31, 2017",1.943B
"Dec. 31, 2016",1.863B
"Sept. 30, 2016",1.980B
"June 30, 2016",2.160B
"March 31, 2016",2.467B
"Dec. 31, 2015",2.787B
"Sept. 30, 2015",3.352B
"June 30, 2015",4.118B
"March 31, 2015",4.757B
"Dec. 31, 2014",5.289B
"Sept. 30, 2014",5.402B
"June 30, 2014",5.337B
"March 31, 2014",5.295B
"Dec. 31, 2013",5.313B
"Sept. 30, 2013",609.88M
"June 30, 2013",1.899B
"March 31, 2013",7.730B
"Dec. 31, 2012",13.38B
"Sept. 30, 2012",134.38M
"June 30, 2012",4.699B
"March 31, 2012",4.960B
"Dec. 31, 2011",4.272B
"Sept. 30, 2011",26.38B
"June 30, 2011",24.36B
"March 31, 2011",22.55B
"Dec. 31, 2010",21.46B
"Sept. 30, 2010",21.71B
"June 30, 2010",21.69B
"March 31, 2010",20.66B
"Dec. 31, 2009",18.92B
"Sept. 30, 2009",17.60B
"June 30, 2009",20.58B
"March 31, 2009",24.37B
"Dec. 31, 2008",27.43B
"Sept. 30, 2008",28.65B
"June 30, 2008",25.25B
"March 31, 2008",21.52B
"Dec. 31, 2007",18.44B
"Sept. 30, 2007",16.18B
"June 30, 2007",15.56B
"March 31, 2007",14.74B
"Dec. 31, 2006",14.31B
"Sept. 30, 2006",13.94B
"June 30, 2006",13.10B
"March 31, 2006",12.26B
"Dec. 31, 2005",11.68B
"Sept. 30, 2005",10.92B
"June 30, 2005",9.899B
"March 31, 2005",9.054B
"Dec. 31, 2004",8.288B
"Sept. 30, 2004",7.319B
"June 30, 2004",6.321B
"March 31, 2004",5.438B
"Dec. 31, 2003",5.113B
"Sept. 30, 2003",4.801B
"June 30, 2003",4.554B
"March 31, 2003",4.365B
"Dec. 31, 2002",3.798B
"Sept. 30, 2002",3.109B
"June 30, 2002",3.176B
"March 31, 2002",3.438B
"Dec. 31, 2001",3.872B
"Sept. 30, 2001",3.867B
"June 30, 2001",3.999B
"March 31, 2001",3.795B
"Dec. 31, 2000",3.626B
"Sept. 30, 2000",4.727B
"June 30, 2000",4.112B
"March 31, 2000",3.470B
"Dec. 31, 1999",2.752B
"Sept. 30, 1999",2.408B
"June 30, 1999",2.208B
"March 31, 1999",2.206B
"Dec. 31, 1998",2.342B
"Sept. 30, 1998",1.884B
"June 30, 1998",2.007B
"March 31, 1998",2.066B
"Dec. 31, 1997",2.133B
"Sept. 30, 1997",2.214B
"June 30, 1997",2.137B
"March 31, 1997",2.130B
"Dec. 31, 1996",2.044B
"Sept. 30, 1996",1.835B
"June 30, 1996",1.777B
"March 31, 1996",1.725B
"Dec. 31, 1995",1.711B
"Sept. 30, 1995",1.676B
"June 30, 1995",1.749B
"March 31, 1995",1.736B
"Dec. 31, 1994",1.738B
"Sept. 30, 1994",1.725B
"June 30, 1994",1.652B
"March 31, 1994",1.648B
"Dec. 31, 1993",1.637B
"Sept. 30, 1993",1.724B
"June 30, 1993",1.709B
"March 31, 1993",1.688B
"Dec. 31, 1992",1.656B
"Sept. 30, 1992",1.364B
"June 30, 1992",1.429B
"March 31, 1992",1.496B
"Dec. 31, 1991",1.601B
"Sept. 30, 1991",1.956B
"June 30, 1991",2.064B
"March 31, 1991",2.024B
"Dec. 31, 1990",2.013B
"Sept. 30, 1990",1.898B
"June 30, 1990",1.728B
"March 31, 1990",1.726B
"Dec. 31, 1989",1.653B
"Sept. 30, 1989",1.592B
"June 30, 1989",1.567B
"March 31, 1989",1.503B
"Dec. 31, 1988",1.474B
"Sept. 30, 1988",1.454B
"June 30, 1988",1.500B
"March 31, 1988",1.497B
"Dec. 31, 1987",1.474B
"Sept. 30, 1987",1.457B
"June 30, 1987",1.357B
"March 31, 1987",1.316B
"Dec. 31, 1986",1.310B
"Sept. 30, 1986",1.490B
"June 30, 1986",1.738B
"March 31, 1986",1.983B
"Dec. 31, 1985",2.151B
"Sept. 30, 1985",2.182B
"June 30, 1985",2.167B
"March 31, 1985",2.072B
"Dec. 31, 1984",2.124B
