date,shares_outstanding
"Jan. 31, 2020",153.17M
"Dec. 31, 2019",152.94M
"Oct. 4, 2019",152.90M
"Sept. 30, 2019",157.23M
"July 31, 2019",162.25M
"June 30, 2019",162.25M
"April 30, 2019",173.63M
"March 31, 2019",173.63M
"March 11, 2019",173.62M
"Jan. 31, 2019",173.06M
"Dec. 31, 2018",173.06M
"Oct. 31, 2018",173.06M
"Oct. 15, 2018",173.06M
"Sept. 30, 2018",173.05M
"July 31, 2018",173.05M
"June 30, 2018",173.05M
"April 30, 2018",173.04M
"March 31, 2018",173.04M
"March 12, 2018",173.04M
"Jan. 31, 2018",172.57M
"Dec. 31, 2017",172.57M
"Oct. 31, 2017",172.57M
"Sept. 30, 2017",172.57M
"July 31, 2017",172.57M
"June 30, 2017",172.57M
"March 31, 2017",172.55M
"March 13, 2017",172.54M
"Jan. 31, 2017",172.40M
"Dec. 31, 2016",172.20M
"Sept. 30, 2016",172.20M
"June 30, 2016",172.20M
"March 31, 2016",172.20M
"March 14, 2016",172.19M
"Jan. 31, 2016",172.03M
"Dec. 31, 2015",172.03M
"Sept. 30, 2015",172.02M
"June 30, 2015",172.75M
"March 31, 2015",177.97M
"March 16, 2015",177.97M
"Jan. 31, 2015",177.50M
"Dec. 31, 2014",177.50M
"Sept. 30, 2014",177.49M
"June 30, 2014",177.57M
"March 31, 2014",179.45M
"March 10, 2014",179.44M
"Jan. 31, 2014",183.18M
"Dec. 31, 2013",183.41M
"Sept. 30, 2013",186.98M
"June 30, 2013",186.89M
"March 31, 2013",190.97M
"March 11, 2013",190.96M
"Jan. 31, 2013",190.67M
"Dec. 31, 2012",190.64M
"Sept. 30, 2012",194.34M
"June 30, 2012",194.26M
"March 31, 2012",194.17M
"March 12, 2012",194.15M
"Jan. 31, 2012",193.88M
"Dec. 31, 2011",193.72M
"Sept. 30, 2011",193.52M
"June 30, 2011",193.51M
"March 31, 2011",193.43M
"March 14, 2011",193.41M
"Jan. 31, 2011",192.85M
"Dec. 31, 2010",193.29M
"Sept. 30, 2010",192.37M
"June 30, 2010",191.79M
"March 31, 2010",191.48M
"March 15, 2010",191.30M
"Jan. 31, 2010",191.14M
"Dec. 31, 2009",191.12M
"Sept. 30, 2009",190.93M
"June 30, 2009",190.82M
"March 31, 2009",190.79M
"Jan. 31, 2009",190.74M
"Sept. 30, 2008",190.48M
"June 30, 2008",190.43M
"March 31, 2008",189.98M
"Jan. 31, 2008",189.73M
"Dec. 31, 2007",189.71M
"Sept. 30, 2007",189.26M
"June 30, 2007",188.50M
"March 31, 2007",188.13M
"Jan. 31, 2007",187.64M
"Dec. 31, 2006",187.57M
"Sept. 30, 2006",187.06M
"June 30, 2006",186.84M
"March 31, 2006",186.64M
"Jan. 31, 2006",186.57M
"Dec. 31, 2005",185.95M
"Sept. 30, 2005",185.53M
"June 30, 2005",184.43M
"March 31, 2005",184.43M
"Jan. 31, 2005",184.07M
"Dec. 31, 2004",184.07M
"Sept. 30, 2004",184.02M
"June 30, 2004",184.01M
"March 31, 2004",183.95M
"Jan. 31, 2004",183.76M
"Dec. 31, 2003",183.74M
"Sept. 30, 2003",183.71M
"June 30, 2003",183.68M
"March 31, 2003",183.57M
"Jan. 31, 2003",183.40M
"Dec. 31, 2002",183.40M
"Sept. 30, 2002",183.28M
"June 30, 2002",183.26M
"March 31, 2002",182.89M
"Jan. 31, 2002",181.44M
"Dec. 31, 2001",181.32M
"Sept. 30, 2001",181.24M
"June 30, 2001",181.20M
"March 31, 2001",180.30M
"Jan. 31, 2001",180.19M
"Sept. 30, 2000",180.21M
"June 30, 2000",180.12M
"March 31, 2000",180.05M
"Jan. 31, 2000",180.06M
"Dec. 31, 1999",179.99M
"Sept. 30, 1999",179.90M
"June 30, 1999",179.86M
"March 31, 1999",179.84M
"Jan. 29, 1999",179.81M
"Dec. 31, 1998",179.80M
"Sept. 30, 1998",179.86M
"June 30, 1998",179.84M
"March 31, 1998",179.83M
"Feb. 27, 1998",179.83M
"Sept. 30, 1997",179.55M
"June 30, 1997",179.51M
"March 31, 1997",179.50M
"Feb. 28, 1997",179.50M
"Dec. 31, 1996",179.45M
"Sept. 30, 1996",179.47M
"June 30, 1996",179.45M
"March 31, 1996",179.41M
"Feb. 29, 1996",179.41M
"Dec. 31, 1995",179.33M
"Sept. 30, 1995",179.34M
"June 30, 1995",179.33M
"March 31, 1995",179.33M
"Feb. 28, 1995",179.33M
"Dec. 31, 1994",179.33M
"Sept. 30, 1994",179.34M
"June 30, 1994",179.32M
"March 31, 1994",179.31M
"Feb. 28, 1994",179.23M
"Dec. 31, 1993",179.23M
"Sept. 30, 1993",179.23M
"June 30, 1993",179.22M
"March 31, 1993",179.20M
"Dec. 31, 1992",179.38M
"Sept. 30, 1992",179.38M
"June 30, 1992",179.74M
"March 31, 1992",179.87M
"Dec. 31, 1991",179.86M
"Sept. 30, 1991",179.86M
"June 30, 1991",179.72M
"March 31, 1991",135.59M
"Dec. 31, 1990",135.59M
"Sept. 30, 1990",135.59M
"June 30, 1990",135.57M
"March 31, 1990",135.56M
"Dec. 31, 1989",135.55M
"Sept. 30, 1989",135.54M
"June 30, 1989",135.50M
"March 31, 1989",135.47M
"Dec. 31, 1988",135.47M
"Sept. 30, 1988",135.47M
"June 30, 1988",135.47M
"March 31, 1988",134.50M
"Dec. 31, 1987",135.47M
"Sept. 30, 1987",134.49M
"June 30, 1987",134.44M
"March 31, 1987",134.36M
"Dec. 31, 1986",150.97M
"Sept. 30, 1986",134.36M
"June 30, 1986",134.36M
"March 31, 1986",134.36M
"Dec. 31, 1985",138.07M
"Sept. 30, 1985",141.58M
"June 30, 1985",143.40M
"March 31, 1985",146.32M
"Dec. 31, 1984",145.77M
"Sept. 30, 1984",146.32M
"June 30, 1984",146.28M
"March 31, 1984",146.28M
