date,gross_profit_margin
"Dec. 31, 2019",31.66%
"Sept. 30, 2019",36.94%
"June 30, 2019",37.87%
"March 31, 2019",38.85%
"Dec. 31, 2018",36.01%
"Sept. 30, 2018",40.85%
"June 30, 2018",36.27%
"March 31, 2018",31.48%
"Dec. 31, 2017",95.16%
"Sept. 30, 2017",30.28%
"June 30, 2017",27.51%
"March 31, 2017",29.61%
"Dec. 31, 2016",28.98%
"Sept. 30, 2016",22.77%
"June 30, 2016",-0.13%
"March 31, 2016",-3.77%
"Dec. 31, 2015",25.01%
"Sept. 30, 2015",7.22%
"June 30, 2015",12.21%
"March 31, 2015",4.77%
"Dec. 31, 2014",32.06%
"Sept. 30, 2014",46.56%
"June 30, 2014",45.15%
"March 31, 2014",48.60%
"Dec. 31, 2013",38.46%
"Sept. 30, 2013",52.20%
"June 30, 2013",51.87%
"March 31, 2013",46.08%
"Dec. 31, 2012",12.68%
"Sept. 30, 2012",33.82%
"June 30, 2012",16.87%
"March 31, 2012",15.92%
"Dec. 31, 2011",-4.81%
"Sept. 30, 2011",12.39%
"June 30, 2011",13.14%
"March 31, 2011",13.48%
"Dec. 31, 2010",26.59%
"Sept. 30, 2010",13.65%
"June 30, 2010",15.71%
"March 31, 2010",14.20%
"Dec. 31, 2009",19.74%
"Sept. 30, 2009",12.18%
"June 30, 2009",12.57%
"March 31, 2009",12.07%
"Dec. 31, 2008",65.22%
"Sept. 30, 2008",14.14%
"June 30, 2008",14.38%
"March 31, 2008",13.76%
"Dec. 31, 2007",9.99%
"Sept. 30, 2007",10.51%
"June 30, 2007",13.43%
"March 31, 2007",10.46%
"Dec. 31, 2006",10.03%
"Sept. 30, 2006",13.47%
"June 30, 2006",12.93%
"March 31, 2006",13.10%
"Dec. 31, 2005",7.38%
"Sept. 30, 2005",15.87%
"June 30, 2005",24.30%
"March 31, 2005",14.55%
"Dec. 31, 2004",12.53%
"Sept. 30, 2004",13.78%
"June 30, 2004",18.30%
"March 31, 2004",15.27%
"Dec. 31, 2003",7.52%
"Sept. 30, 2003",16.69%
"June 30, 2003",16.68%
"March 31, 2003",18.11%
"Dec. 31, 2002",7.21%
"Sept. 30, 2002",14.00%
"June 30, 2002",14.96%
"March 31, 2002",13.31%
"Dec. 31, 2001",46.51%
"Sept. 30, 2001",14.23%
"June 30, 2001",25.68%
"March 31, 2001",20.03%
"Dec. 31, 2000",72.57%
"Sept. 30, 2000",18.59%
"June 30, 2000",17.13%
"March 31, 2000",14.80%
"Dec. 31, 1999",12.58%
"Sept. 30, 1999",25.09%
"June 30, 1999",23.15%
"March 31, 1999",19.54%
"Dec. 31, 1998",7.22%
"Sept. 30, 1998",20.04%
"June 30, 1998",23.34%
"March 31, 1998",21.58%
"Dec. 31, 1997",26.26%
"Sept. 30, 1997",26.30%
"June 30, 1997",26.21%
"March 31, 1997",28.88%
"Dec. 31, 1996",25.09%
"Sept. 30, 1996",20.82%
"June 30, 1996",20.99%
"March 31, 1996",25.42%
"Dec. 31, 1995",20.78%
"Sept. 30, 1995",18.53%
"June 30, 1995",26.09%
"March 31, 1995",23.54%
"Dec. 31, 1994",10.17%
"Sept. 30, 1994",27.72%
"June 30, 1994",25.90%
"March 31, 1994",30.26%
"Dec. 31, 1993",17.48%
"Sept. 30, 1993",22.14%
"June 30, 1993",23.50%
"March 31, 1993",20.95%
"Dec. 31, 1992",26.86%
"Sept. 30, 1992",10.50%
"June 30, 1992",21.44%
"March 31, 1992",19.21%
"Dec. 31, 1991",-11.14%
"Sept. 30, 1991",26.85%
"June 30, 1991",19.01%
"March 31, 1991",26.16%
"Dec. 31, 1990",11.18%
"Sept. 30, 1990",29.42%
"June 30, 1990",33.10%
"March 31, 1990",28.11%
"Dec. 31, 1989",35.82%
"Sept. 30, 1989",25.10%
