date,return_on_assets
"Dec. 31, 2019",9.57%
"Sept. 30, 2019",11.35%
"June 30, 2019",2.92%
"March 31, 2019",2.67%
"Dec. 31, 2018",4.04%
"Sept. 30, 2018",0.21%
"June 30, 2018",-1.39%
"March 31, 2018",-2.00%
"Dec. 31, 2017",-3.07%
"Sept. 30, 2017",-0.87%
"June 30, 2017",-0.38%
"March 31, 2017",-0.18%
"Dec. 31, 2016",-2.58%
"Sept. 30, 2016",-7.15%
"June 30, 2016",-19.61%
"March 31, 2016",-18.63%
"Dec. 31, 2015",-15.96%
"Sept. 30, 2015",-8.44%
"June 30, 2015",3.22%
"March 31, 2015",4.32%
"Dec. 31, 2014",5.17%
"Sept. 30, 2014",3.43%
"June 30, 2014",3.61%
"March 31, 2014",5.15%
"Dec. 31, 2013",6.30%
"Sept. 30, 2013",6.84%
"June 30, 2013",6.70%
"March 31, 2013",6.37%
"Dec. 31, 2012",6.21%
"Sept. 30, 2012",4.58%
"June 30, 2012",5.84%
"March 31, 2012",5.96%
"Dec. 31, 2011",5.87%
"Sept. 30, 2011",7.72%
"June 30, 2011",6.43%
"March 31, 2011",6.51%
"Dec. 31, 2010",5.96%
"Sept. 30, 2010",7.40%
"June 30, 2010",7.38%
"March 31, 2010",6.64%
"Dec. 31, 2009",7.06%
"Sept. 30, 2009",5.53%
"June 30, 2009",8.92%
"March 31, 2009",13.05%
"Dec. 31, 2008",15.26%
"Sept. 30, 2008",16.42%
"June 30, 2008",13.75%
"March 31, 2008",11.09%
"Dec. 31, 2007",8.67%
"Sept. 30, 2007",7.91%
"June 30, 2007",8.72%
"March 31, 2007",8.75%
"Dec. 31, 2006",9.26%
"Sept. 30, 2006",10.59%
"June 30, 2006",11.19%
"March 31, 2006",13.94%
"Dec. 31, 2005",14.39%
"Sept. 30, 2005",14.42%
"June 30, 2005",12.89%
"March 31, 2005",13.42%
"Dec. 31, 2004",13.53%
"Sept. 30, 2004",12.48%
"June 30, 2004",12.01%
"March 31, 2004",6.67%
"Dec. 31, 2003",6.70%
"Sept. 30, 2003",6.97%
"June 30, 2003",6.49%
"March 31, 2003",5.13%
"Dec. 31, 2002",3.07%
"Sept. 30, 2002",2.35%
"June 30, 2002",2.54%
"March 31, 2002",7.15%
"Dec. 31, 2001",10.23%
"Sept. 30, 2001",12.62%
"June 30, 2001",14.78%
"March 31, 2001",12.47%
"Dec. 31, 2000",10.98%
"Sept. 30, 2000",10.32%
"June 30, 2000",9.11%
"March 31, 2000",7.03%
"Dec. 31, 1999",5.20%
"Sept. 30, 1999",-0.04%
"June 30, 1999",-1.93%
"March 31, 1999",-1.65%
"Dec. 31, 1998",-0.65%
"Sept. 30, 1998",3.51%
"June 30, 1998",5.04%
"March 31, 1998",5.32%
"Dec. 31, 1997",6.01%
"Sept. 30, 1997",6.50%
"June 30, 1997",6.51%
"March 31, 1997",6.53%
"Dec. 31, 1996",6.25%
"Sept. 30, 1996",-3.08%
"June 30, 1996",-4.64%
"March 31, 1996",-4.92%
"Dec. 31, 1995",-5.21%
"Sept. 30, 1995",2.70%
"June 30, 1995",4.03%
"March 31, 1995",4.38%
"Dec. 31, 1994",4.78%
"Sept. 30, 1994",4.98%
"June 30, 1994",4.29%
"March 31, 1994",4.14%
"Dec. 31, 1993",5.00%
"Sept. 30, 1993",5.66%
"June 30, 1993",5.54%
"March 31, 1993",6.17%
"Dec. 31, 1992",5.27%
"Sept. 30, 1992",4.89%
"June 30, 1992",6.08%
"March 31, 1992",-0.59%
"Dec. 31, 1991",-0.52%
"Sept. 30, 1991",-0.90%
"June 30, 1991",-1.20%
"March 31, 1991",5.21%
"Dec. 31, 1990",4.86%
"Sept. 30, 1990",5.07%
"June 30, 1990",3.42%
"March 31, 1990",2.84%
"Dec. 31, 1989",2.28%
