date,net_income_annual_cs_rev
"Dec. 31, 2019",40.81%
"Dec. 31, 2018",22.76%
"Dec. 31, 2017",-23.98%
"Dec. 31, 2016",-14.81%
"Dec. 31, 2015",-81.48%
"Dec. 31, 2014",17.12%
"Dec. 31, 2013",21.15%
"Dec. 31, 2012",21.07%
"Dec. 31, 2011",20.67%
"Dec. 31, 2010",3.97%
"Dec. 31, 2009",4.43%
"Dec. 31, 2008",6.34%
"Dec. 31, 2007",4.16%
"Dec. 31, 2006",4.51%
"Dec. 31, 2005",7.25%
"Dec. 31, 2004",8.45%
"Dec. 31, 2003",5.70%
"Dec. 31, 2002",2.94%
"Dec. 31, 2001",8.56%
"Dec. 31, 2000",8.18%
"Dec. 31, 1999",4.35%
"Dec. 31, 1998",-0.61%
"Dec. 31, 1997",6.21%
"Dec. 31, 1996",6.86%
"Dec. 31, 1995",-6.93%
"Dec. 31, 1994",6.13%
"Dec. 31, 1993",6.24%
"Dec. 31, 1992",6.47%
"Dec. 31, 1991",-0.70%
"Dec. 31, 1990",5.06%
"Dec. 31, 1989",2.82%
"Dec. 31, 1988",2.63%
"Dec. 31, 1987",-2.96%
"Dec. 31, 1986",-14.86%
"Dec. 31, 1985",3.68%
"Dec. 31, 1984",4.52%
