date,enterprise_value
"March 19, 2020",3.687B
"March 18, 2020",3.551B
"March 17, 2020",3.684B
"March 16, 2020",3.839B
"March 13, 2020",3.998B
"March 12, 2020",3.817B
"March 11, 2020",3.983B
"March 10, 2020",4.263B
"March 9, 2020",4.231B
"March 6, 2020",5.263B
"March 5, 2020",5.615B
"March 4, 2020",5.741B
"March 3, 2020",5.707B
"March 2, 2020",5.753B
"Feb. 28, 2020",5.721B
"Feb. 27, 2020",5.560B
"Feb. 26, 2020",5.718B
"Feb. 25, 2020",5.883B
"Feb. 24, 2020",6.058B
"Feb. 21, 2020",6.203B
"Feb. 20, 2020",6.257B
"Feb. 19, 2020",6.259B
"Feb. 18, 2020",6.257B
"Feb. 14, 2020",6.213B
"Feb. 13, 2020",6.260B
"Feb. 12, 2020",6.297B
"Feb. 11, 2020",6.182B
"Feb. 10, 2020",6.133B
"Feb. 7, 2020",6.196B
"Feb. 6, 2020",6.257B
"Feb. 5, 2020",6.294B
"Feb. 4, 2020",6.138B
"Feb. 3, 2020",6.092B
"Jan. 31, 2020",6.044B
"Jan. 30, 2020",6.079B
"Jan. 29, 2020",6.282B
"Jan. 28, 2020",6.391B
"Jan. 27, 2020",6.357B
"Jan. 24, 2020",6.474B
"Jan. 23, 2020",6.536B
"Jan. 22, 2020",6.604B
"Jan. 21, 2020",6.588B
"Jan. 17, 2020",6.708B
"Jan. 16, 2020",6.859B
"Jan. 15, 2020",7.098B
"Jan. 14, 2020",7.116B
"Jan. 13, 2020",7.009B
"Jan. 10, 2020",6.984B
"Jan. 9, 2020",7.021B
"Jan. 8, 2020",6.977B
"Jan. 7, 2020",7.073B
"Jan. 6, 2020",7.027B
"Jan. 3, 2020",7.010B
"Jan. 2, 2020",6.894B
"Dec. 31, 2019",6.932B
"Dec. 30, 2019",6.719B
"Dec. 27, 2019",6.748B
"Dec. 26, 2019",6.750B
"Dec. 24, 2019",6.755B
"Dec. 23, 2019",6.762B
"Dec. 20, 2019",6.635B
"Dec. 19, 2019",6.589B
"Dec. 18, 2019",6.588B
"Dec. 17, 2019",6.589B
"Dec. 16, 2019",6.557B
"Dec. 13, 2019",6.522B
"Dec. 12, 2019",6.660B
"Dec. 11, 2019",6.496B
"Dec. 10, 2019",6.501B
"Dec. 9, 2019",6.513B
"Dec. 6, 2019",6.430B
"Dec. 5, 2019",6.328B
"Dec. 4, 2019",6.383B
"Dec. 3, 2019",6.262B
"Dec. 2, 2019",6.281B
"Nov. 29, 2019",6.212B
"Nov. 27, 2019",6.326B
"Nov. 26, 2019",6.323B
"Nov. 25, 2019",6.375B
"Nov. 22, 2019",6.443B
"Nov. 21, 2019",6.388B
"Nov. 20, 2019",6.337B
"Nov. 19, 2019",6.236B
"Nov. 18, 2019",6.322B
"Nov. 15, 2019",6.414B
"Nov. 14, 2019",6.337B
"Nov. 13, 2019",6.352B
"Nov. 12, 2019",6.409B
"Nov. 11, 2019",6.427B
"Nov. 8, 2019",6.479B
"Nov. 7, 2019",6.513B
"Nov. 6, 2019",6.314B
"Nov. 5, 2019",6.381B
"Nov. 4, 2019",6.334B
"Nov. 1, 2019",6.059B
"Oct. 31, 2019",5.848B
"Oct. 30, 2019",5.677B
"Oct. 29, 2019",5.716B
"Oct. 28, 2019",5.706B
"Oct. 25, 2019",5.722B
"Oct. 24, 2019",5.696B
"Oct. 23, 2019",5.767B
"Oct. 22, 2019",5.677B
"Oct. 21, 2019",5.608B
"Oct. 18, 2019",5.547B
"Oct. 17, 2019",5.586B
"Oct. 16, 2019",5.620B
"Oct. 15, 2019",5.707B
"Oct. 14, 2019",5.745B
"Oct. 11, 2019",5.745B
"Oct. 10, 2019",5.687B
"Oct. 9, 2019",5.644B
"Oct. 8, 2019",5.599B
"Oct. 7, 2019",5.777B
"Oct. 4, 2019",5.897B
"Oct. 3, 2019",6.137B
"Oct. 2, 2019",6.057B
"Oct. 1, 2019",6.102B
"Sept. 30, 2019",6.170B
"Sept. 27, 2019",8.280B
"Sept. 26, 2019",8.259B
"Sept. 25, 2019",8.287B
