date,cash_investing_ttm
"Dec. 31, 2019",-514.17M
"Sept. 30, 2019",-1.257B
"June 30, 2019",-3.186B
"March 31, 2019",-1.919B
"Dec. 31, 2018",-1.896B
"Sept. 30, 2018",-1.160B
"June 30, 2018",-1.101B
"March 31, 2018",-885.50M
"Dec. 31, 2017",-831.99M
"Sept. 30, 2017",-670.39M
"June 30, 2017",-600.99M
"March 31, 2017",233.05M
"Dec. 31, 2016",286.09M
"Sept. 30, 2016",88.84M
"June 30, 2016",-333.37M
"March 31, 2016",-1.740B
"Dec. 31, 2015",-1.917B
"Sept. 30, 2015",-776.31M
"June 30, 2015",-1.198B
"March 31, 2015",-1.487B
"Dec. 31, 2014",-2.118B
"Sept. 30, 2014",-3.906B
"June 30, 2014",-3.936B
"March 31, 2014",-3.799B
"Dec. 31, 2013",-3.731B
"Sept. 30, 2013",-3.833B
"June 30, 2013",-3.747B
"March 31, 2013",-3.726B
"Dec. 31, 2012",-3.317B
"Sept. 30, 2012",-2.500B
"June 30, 2012",-1.745B
"March 31, 2012",-1.777B
"Dec. 31, 2011",-1.614B
"Sept. 30, 2011",-2.086B
"June 30, 2011",-2.349B
"March 31, 2011",-2.037B
"Dec. 31, 2010",-2.329B
"Sept. 30, 2010",-2.042B
"June 30, 2010",-2.340B
"March 31, 2010",-2.350B
"Dec. 31, 2009",-2.332B
"Sept. 30, 2009",-2.339B
"June 30, 2009",-2.397B
"March 31, 2009",-2.539B
"Dec. 31, 2008",-2.323B
"Sept. 30, 2008",-2.810B
"June 30, 2008",-2.520B
"March 31, 2008",-2.420B
"Dec. 31, 2007",-2.287B
"Sept. 30, 2007",-1.648B
"June 30, 2007",-1.398B
"March 31, 2007",-1.194B
"Dec. 31, 2006",-1.191B
"Sept. 30, 2006",-1.254B
"June 30, 2006",-1.266B
"March 31, 2006",-1.108B
"Dec. 31, 2005",-1.066B
"Sept. 30, 2005",-919.18M
"June 30, 2005",-934.15M
"March 31, 2005",183.69M
"Dec. 31, 2004",249.71M
"Sept. 30, 2004",284.35M
"June 30, 2004",382.76M
"March 31, 2004",-816.61M
"Dec. 31, 2003",-816.75M
"Sept. 30, 2003",-890.19M
"June 30, 2003",-855.33M
"March 31, 2003",-821.03M
"Dec. 31, 2002",-822.92M
"Sept. 30, 2002",-773.60M
"June 30, 2002",-794.52M
"March 31, 2002",-641.59M
"Dec. 31, 2001",-641.94M
"Sept. 30, 2001",-688.00M
"June 30, 2001",-621.21M
"March 31, 2001",-673.00M
"Dec. 31, 2000",-618.71M
"Sept. 30, 2000",-425.92M
"June 30, 2000",-368.40M
"March 31, 2000",-351.49M
"Dec. 31, 1999",-322.10M
"Sept. 30, 1999",-320.90M
"June 30, 1999",-350.10M
"March 31, 1999",-348.20M
"Dec. 31, 1998",-357.50M
"Sept. 30, 1998",-394.10M
"June 30, 1998",-394.10M
"March 31, 1998",-413.80M
"Dec. 31, 1997",-423.60M
"Sept. 30, 1997",-455.70M
"June 30, 1997",-427.70M
"March 31, 1997",-404.20M
"Dec. 31, 1996",-381.10M
"Sept. 30, 1996",-341.30M
"June 30, 1996",-344.10M
"March 31, 1996",-313.20M
"Dec. 31, 1995",-298.30M
"Sept. 30, 1995",-325.70M
"June 30, 1995",-344.90M
"March 31, 1995",-393.50M
"Dec. 31, 1994",-409.40M
"Sept. 30, 1994",-485.40M
"June 30, 1994",-490.00M
"March 31, 1994",-568.40M
"Dec. 31, 1993",-562.00M
"Sept. 30, 1993",-404.30M
"June 30, 1993",-379.60M
"March 31, 1993",-247.60M
"Dec. 31, 1992",127.00M
"Sept. 30, 1992",96.00M
"June 30, 1992",117.80M
"March 31, 1992",109.30M
"Dec. 31, 1991",-231.20M
"Sept. 30, 1991",-222.60M
"June 30, 1991",-172.90M
"March 31, 1991",-115.90M
"Dec. 31, 1990",-119.70M
