date,accruals
"Dec. 31, 2019",-407.02M
"Sept. 30, 2019",516.84M
"June 30, 2019",-99.02M
"March 31, 2019",-423.95M
"Dec. 31, 2018",-81.16M
"Sept. 30, 2018",-546.08M
"June 30, 2018",159.50M
"March 31, 2018",-277.41M
"Dec. 31, 2017",-608.57M
"Sept. 30, 2017",-293.23M
"June 30, 2017",-303.52M
"March 31, 2017",-247.05M
"Dec. 31, 2016",-381.54M
"Sept. 30, 2016",-180.79M
"June 30, 2016",-70.01M
"March 31, 2016",-244.43M
"Dec. 31, 2015",-663.83M
"Sept. 30, 2015",-2.057B
"June 30, 2015",-234.62M
"March 31, 2015",-483.43M
"Dec. 31, 2014",-383.52M
"Sept. 30, 2014",-544.93M
"June 30, 2014",-663.15M
"March 31, 2014",-511.87M
"Dec. 31, 2013",-884.55M
"Sept. 30, 2013",-724.70M
"June 30, 2013",-345.24M
"March 31, 2013",-560.53M
"Dec. 31, 2012",-796.37M
"Sept. 30, 2012",-527.43M
"June 30, 2012",-60.68M
"March 31, 2012",-700.94M
"Dec. 31, 2011",-382.57M
"Sept. 30, 2011",-552.69M
"June 30, 2011",-83.43M
"March 31, 2011",-254.00M
"Dec. 31, 2010",-753.61M
"Sept. 30, 2010",-550.31M
"June 30, 2010",-346.06M
"March 31, 2010",-680.51M
"Dec. 31, 2009",-359.30M
"Sept. 30, 2009",-485.09M
"June 30, 2009",26.30M
"March 31, 2009",-208.92M
"Dec. 31, 2008",-315.88M
"Sept. 30, 2008",-503.66M
"June 30, 2008",-442.85M
"March 31, 2008",-37.54M
"Dec. 31, 2007",-619.28M
"Sept. 30, 2007",-32.18M
"June 30, 2007",-201.06M
"March 31, 2007",-121.37M
"Dec. 31, 2006",-262.69M
"Sept. 30, 2006",-216.22M
"June 30, 2006",222.13M
"March 31, 2006",-74.02M
"Dec. 31, 2005",-300.98M
"Sept. 30, 2005",-86.40M
"June 30, 2005",102.05M
"March 31, 2005",-93.47M
"Dec. 31, 2004",-91.90M
"Sept. 30, 2004",-196.76M
"June 30, 2004",100.59M
"March 31, 2004",-207.64M
"Dec. 31, 2003",-50.33M
"Sept. 30, 2003",-135.42M
"June 30, 2003",-46.90M
"March 31, 2003",-125.43M
"Dec. 31, 2002",-207.52M
"Sept. 30, 2002",-59.31M
"June 30, 2002",-124.33M
"March 31, 2002",-30.18M
"Dec. 31, 2001",-80.00M
"Sept. 30, 2001",-133.29M
"June 30, 2001",44.10M
"March 31, 2001",-135.62M
"Dec. 31, 2000",-114.48M
"Sept. 30, 2000",-118.44M
"June 30, 2000",-98.13M
"March 31, 2000",-119.87M
"Dec. 31, 1999",-48.50M
"Sept. 30, 1999",-91.20M
"June 30, 1999",-85.00M
"March 31, 1999",2.70M
"Dec. 31, 1998",-76.90M
"Sept. 30, 1998",-111.20M
"June 30, 1998",-76.10M
"March 31, 1998",-47.80M
"Dec. 31, 1997",-54.90M
"Sept. 30, 1997",-129.00M
"June 30, 1997",-14.20M
"March 31, 1997",-71.30M
"Dec. 31, 1996",-102.40M
"Sept. 30, 1996",-87.30M
"June 30, 1996",-42.00M
"March 31, 1996",-104.70M
"Dec. 31, 1995",-276.90M
"Sept. 30, 1995",-26.80M
"June 30, 1995",-86.00M
"March 31, 1995",-51.80M
"Dec. 31, 1994",-36.30M
"Sept. 30, 1994",-82.10M
"June 30, 1994",8.60M
"March 31, 1994",-120.90M
"Dec. 31, 1993",-127.00M
"Sept. 30, 1993",-59.30M
"June 30, 1993",-78.20M
"March 31, 1993",3.60M
"Dec. 31, 1992",15.60M
"Sept. 30, 1992",-65.30M
"June 30, 1992",-85.60M
"March 31, 1992",-51.50M
"Dec. 31, 1991",-72.10M
"Sept. 30, 1991",-5.40M
"June 30, 1991",-156.10M
"March 31, 1991",-13.40M
"Dec. 31, 1990",-78.90M
"Sept. 30, 1990",-50.70M
"June 30, 1990",-0.40M
"March 31, 1990",-60.50M
