date,free_cash_flow
"Dec. 31, 2019",0.809M
"Sept. 30, 2019",221.49M
"June 30, 2019",-1.410B
"March 31, 2019",193.80M
"Dec. 31, 2018",-823.74M
"Sept. 30, 2018",407.64M
"June 30, 2018",-432.16M
"March 31, 2018",198.60M
"Dec. 31, 2017",118.17M
"Sept. 30, 2017",-47.43M
"June 30, 2017",65.93M
"March 31, 2017",93.88M
"Dec. 31, 2016",172.34M
"Sept. 30, 2016",-12.46M
"June 30, 2016",-321.62M
"March 31, 2016",-164.40M
"Dec. 31, 2015",-497.96M
"Sept. 30, 2015",-79.56M
"June 30, 2015",-448.99M
"March 31, 2015",-354.86M
"Dec. 31, 2014",-114.01M
"Sept. 30, 2014",-175.52M
"June 30, 2014",-51.76M
"March 31, 2014",-329.10M
"Dec. 31, 2013",65.13M
"Sept. 30, 2013",167.90M
"June 30, 2013",-140.61M
"March 31, 2013",-44.28M
"Dec. 31, 2012",-430.05M
"Sept. 30, 2012",-87.92M
"June 30, 2012",-396.77M
"March 31, 2012",429.30M
"Dec. 31, 2011",-316.62M
"Sept. 30, 2011",338.34M
"June 30, 2011",-323.41M
"March 31, 2011",13.99M
"Dec. 31, 2010",290.06M
"Sept. 30, 2010",243.60M
"June 30, 2010",68.51M
"March 31, 2010",297.88M
"Dec. 31, 2009",226.88M
"Sept. 30, 2009",134.25M
"June 30, 2009",-366.61M
"March 31, 2009",-138.74M
"Dec. 31, 2008",-199.95M
"Sept. 30, 2008",538.14M
"June 30, 2008",532.91M
"March 31, 2008",-67.80M
"Dec. 31, 2007",155.65M
"Sept. 30, 2007",-234.33M
"June 30, 2007",-61.81M
"March 31, 2007",-68.30M
"Dec. 31, 2006",30.76M
"Sept. 30, 2006",166.70M
"June 30, 2006",-330.74M
"March 31, 2006",-95.68M
"Dec. 31, 2005",90.43M
"Sept. 30, 2005",12.62M
"June 30, 2005",-71.33M
"March 31, 2005",-52.71M
"Dec. 31, 2004",19.06M
"Sept. 30, 2004",-17.50M
"June 30, 2004",46.65M
"March 31, 2004",110.36M
"Dec. 31, 2003",-54.68M
"Sept. 30, 2003",-83.70M
"June 30, 2003",-107.48M
"March 31, 2003",29.26M
"Dec. 31, 2002",114.37M
"Sept. 30, 2002",-102.12M
"June 30, 2002",-73.12M
"March 31, 2002",-172.14M
"Dec. 31, 2001",-117.03M
"Sept. 30, 2001",-18.86M
"June 30, 2001",-95.71M
"March 31, 2001",53.80M
"Dec. 31, 2000",68.77M
"Sept. 30, 2000",75.67M
"June 30, 2000",58.24M
"March 31, 2000",32.74M
"Dec. 31, 1999",32.90M
"Sept. 30, 1999",45.20M
"June 30, 1999",7.80M
"March 31, 1999",-103.60M
"Dec. 31, 1998",-53.30M
"Sept. 30, 1998",21.10M
"June 30, 1998",3.20M
"March 31, 1998",-38.70M
"Dec. 31, 1997",-45.60M
"Sept. 30, 1997",64.50M
"June 30, 1997",-69.90M
"March 31, 1997",-15.20M
"Dec. 31, 1996",17.00M
"Sept. 30, 1996",21.50M
"June 30, 1996",-20.60M
"March 31, 1996",38.30M
"Dec. 31, 1995",21.70M
"Sept. 30, 1995",-37.10M
"June 30, 1995",49.70M
"March 31, 1995",-7.70M
"Dec. 31, 1994",-68.60M
"Sept. 30, 1994",25.60M
"June 30, 1994",-86.70M
"March 31, 1994",53.40M
"Dec. 31, 1993",-52.90M
"Sept. 30, 1993",-19.00M
"June 30, 1993",-85.70M
"March 31, 1993",-49.60M
"Dec. 31, 1992",-38.60M
"Sept. 30, 1992",10.80M
"June 30, 1992",68.80M
"March 31, 1992",15.70M
"Dec. 31, 1991",38.80M
"Sept. 30, 1991",-2.50M
"June 30, 1991",-9.30M
"March 31, 1991",-14.30M
"Dec. 31, 1990",29.80M
"Sept. 30, 1990",33.00M
"June 30, 1990",-31.60M
"March 31, 1990",23.60M
