date,revenue_per_employee_annual
"Dec. 31, 2019",2.919M
"Dec. 31, 2018",1.616M
"Dec. 31, 2017",1.074M
"Dec. 31, 2016",1.460M
"Dec. 31, 2015",1.877M
"Dec. 31, 2014",2.949M
"Dec. 31, 2013",960702.7
"Dec. 31, 2012",517961.6
"Dec. 31, 2011",479722.8
"Dec. 31, 2010",2.314M
"Dec. 31, 2009",2.273M
"Dec. 31, 2008",3.469M
"Dec. 31, 2007",2.486M
"Dec. 31, 2006",2.113M
"Dec. 31, 2005",1.935M
"Dec. 31, 2004",1.564M
"Dec. 31, 2003",1.174M
"Dec. 31, 2002",974943.4
"Dec. 31, 2001",1.123M
"Dec. 31, 2000",1.380M
"Dec. 31, 1999",1.480M
"Dec. 31, 1998",1.613M
"Dec. 31, 1997",1.594M
"Dec. 31, 1996",1.283M
"Dec. 31, 1995",961078.3
"Dec. 31, 1994",973781.5
"Dec. 31, 1993",911810.6
"Dec. 31, 1992",564693.7
"Dec. 31, 1991",30061.31
"Dec. 31, 1990",37600.88
