date,capex_ttm
"Dec. 31, 2019",2.557B
"Sept. 30, 2019",3.230B
"June 30, 2019",3.112B
"March 31, 2019",1.829B
"Dec. 31, 2018",1.806B
"Sept. 30, 2018",1.001B
"June 30, 2018",1.044B
"March 31, 2018",945.45M
"Dec. 31, 2017",910.03M
"Sept. 30, 2017",851.70M
"June 30, 2017",754.02M
"March 31, 2017",928.55M
"Dec. 31, 2016",926.95M
"Sept. 30, 2016",1.356B
"June 30, 2016",1.721B
"March 31, 2016",1.936B
"Dec. 31, 2015",2.550B
"Sept. 30, 2015",2.848B
"June 30, 2015",3.273B
"March 31, 2015",3.507B
"Dec. 31, 2014",3.679B
"Sept. 30, 2014",3.702B
"June 30, 2014",3.577B
"March 31, 2014",3.621B
"Dec. 31, 2013",3.590B
"Sept. 30, 2013",4.081B
"June 30, 2013",4.081B
"March 31, 2013",3.945B
"Dec. 31, 2012",3.542B
"Sept. 30, 2012",2.742B
"June 30, 2012",2.520B
"March 31, 2012",2.486B
"Dec. 31, 2011",2.433B
"Sept. 30, 2011",2.485B
"June 30, 2011",2.375B
"March 31, 2011",2.206B
"Dec. 31, 2010",2.229B
"Sept. 30, 2010",2.042B
"June 30, 2010",2.072B
"March 31, 2010",2.022B
"Dec. 31, 2009",2.009B
"Sept. 30, 2009",2.201B
"June 30, 2009",2.211B
"March 31, 2009",2.241B
"Dec. 31, 2008",2.237B
"Sept. 30, 2008",2.263B
"June 30, 2008",2.179B
"March 31, 2008",2.163B
"Dec. 31, 2007",1.949B
"Sept. 30, 2007",1.600B
"June 30, 2007",1.407B
"March 31, 2007",1.219B
"Dec. 31, 2006",1.204B
"Sept. 30, 2006",1.249B
"June 30, 2006",1.280B
"March 31, 2006",1.273B
"Dec. 31, 2005",1.246B
"Sept. 30, 2005",1.088B
"June 30, 2005",1.117B
"March 31, 2005",1.002B
"Dec. 31, 2004",938.45M
"Sept. 30, 2004",894.81M
"June 30, 2004",849.67M
"March 31, 2004",881.10M
"Dec. 31, 2003",868.87M
"Sept. 30, 2003",855.98M
"June 30, 2003",766.97M
"March 31, 2003",744.28M
"Dec. 31, 2002",765.86M
"Sept. 30, 2002",840.87M
"June 30, 2002",835.92M
"March 31, 2002",838.71M
"Dec. 31, 2001",813.50M
"Sept. 30, 2001",726.67M
"June 30, 2001",665.67M
"March 31, 2001",564.44M
"Dec. 31, 2000",512.33M
"Sept. 30, 2000",448.46M
"June 30, 2000",412.78M
"March 31, 2000",392.74M
"Dec. 31, 1999",359.40M
"Sept. 30, 1999",353.30M
"June 30, 1999",355.20M
"March 31, 1999",357.40M
"Dec. 31, 1998",365.20M
"Sept. 30, 1998",428.60M
"June 30, 1998",436.30M
"March 31, 1998",452.90M
"Dec. 31, 1997",468.00M
"Sept. 30, 1997",464.50M
"June 30, 1997",465.80M
"March 31, 1997",444.80M
"Dec. 31, 1996",418.10M
"Sept. 30, 1996",381.60M
"June 30, 1996",345.00M
"March 31, 1996",311.20M
"Dec. 31, 1995",296.30M
"Sept. 30, 1995",326.90M
"June 30, 1995",349.20M
"March 31, 1995",397.90M
"Dec. 31, 1994",413.60M
"Sept. 30, 1994",490.60M
"June 30, 1994",495.30M
"March 31, 1994",576.30M
"Dec. 31, 1993",570.20M
"Sept. 30, 1993",424.40M
"June 30, 1993",397.50M
"March 31, 1993",261.60M
"Dec. 31, 1992",235.60M
"Sept. 30, 1992",240.60M
"June 30, 1992",220.50M
"March 31, 1992",230.10M
"Dec. 31, 1991",223.20M
"Sept. 30, 1991",231.00M
"June 30, 1991",234.80M
"March 31, 1991",235.00M
"Dec. 31, 1990",237.60M
"Sept. 30, 1990",170.60M
"June 30, 1990",115.30M
"March 31, 1990",54.80M
