date,three_month_return
"March 19, 2020",-78.14%
"March 18, 2020",-81.63%
"March 17, 2020",-78.22%
"March 16, 2020",-74.04%
"March 13, 2020",-69.65%
"March 12, 2020",-75.25%
"March 11, 2020",-69.84%
"March 10, 2020",-62.53%
"March 9, 2020",-63.49%
"March 6, 2020",-35.11%
"March 5, 2020",-23.60%
"March 4, 2020",-21.34%
"March 3, 2020",-19.62%
"March 2, 2020",-18.76%
"Feb. 28, 2020",-20.66%
"Feb. 27, 2020",-25.08%
"Feb. 26, 2020",-20.68%
"Feb. 25, 2020",-17.32%
"Feb. 24, 2020",-14.15%
"Feb. 21, 2020",-8.94%
"Feb. 20, 2020",-6.21%
"Feb. 19, 2020",-3.50%
"Feb. 18, 2020",-5.82%
"Feb. 14, 2020",-7.43%
"Feb. 13, 2020",-6.52%
"Feb. 12, 2020",-6.95%
"Feb. 11, 2020",-10.48%
"Feb. 10, 2020",-13.00%
"Feb. 7, 2020",-12.13%
"Feb. 6, 2020",-5.62%
"Feb. 5, 2020",-6.34%
"Feb. 4, 2020",-9.41%
"Feb. 3, 2020",-3.36%
"Jan. 31, 2020",1.60%
"Jan. 30, 2020",8.76%
"Jan. 29, 2020",14.06%
"Jan. 28, 2020",18.07%
"Jan. 27, 2020",16.30%
"Jan. 24, 2020",21.18%
"Jan. 23, 2020",20.45%
"Jan. 22, 2020",26.35%
"Jan. 21, 2020",28.80%
"Jan. 17, 2020",33.88%
"Jan. 16, 2020",37.51%
"Jan. 15, 2020",41.45%
"Jan. 14, 2020",40.28%
"Jan. 13, 2020",36.77%
"Jan. 10, 2020",38.61%
"Jan. 9, 2020",41.87%
"Jan. 8, 2020",42.58%
"Jan. 7, 2020",37.43%
"Jan. 6, 2020",30.88%
"Jan. 3, 2020",24.70%
"Jan. 2, 2020",24.12%
"Dec. 31, 2019",21.21%
"Dec. 30, 2019",19.09%
"Dec. 27, 2019",20.82%
"Dec. 26, 2019",21.59%
"Dec. 24, 2019",19.96%
"Dec. 23, 2019",13.67%
"Dec. 20, 2019",11.70%
"Dec. 19, 2019",11.66%
"Dec. 18, 2019",11.37%
"Dec. 17, 2019",9.40%
"Dec. 16, 2019",1.28%
"Dec. 13, 2019",21.55%
"Dec. 12, 2019",27.03%
"Dec. 11, 2019",16.49%
"Dec. 10, 2019",19.37%
"Dec. 9, 2019",21.26%
"Dec. 6, 2019",26.11%
"Dec. 5, 2019",21.71%
"Dec. 4, 2019",28.76%
"Dec. 3, 2019",28.88%
"Dec. 2, 2019",28.69%
"Nov. 29, 2019",24.38%
"Nov. 27, 2019",36.55%
"Nov. 26, 2019",35.12%
"Nov. 25, 2019",34.45%
"Nov. 22, 2019",27.91%
"Nov. 21, 2019",23.20%
"Nov. 20, 2019",20.60%
"Nov. 19, 2019",16.49%
"Nov. 18, 2019",25.09%
"Nov. 15, 2019",31.37%
"Nov. 14, 2019",29.86%
"Nov. 13, 2019",21.41%
"Nov. 12, 2019",25.06%
"Nov. 11, 2019",19.94%
"Nov. 8, 2019",23.43%
"Nov. 7, 2019",15.43%
"Nov. 6, 2019",7.39%
"Nov. 5, 2019",6.82%
"Nov. 4, 2019",4.25%
"Nov. 1, 2019",-4.97%
"Oct. 31, 2019",-14.18%
"Oct. 30, 2019",-17.01%
"Oct. 29, 2019",-11.11%
"Oct. 28, 2019",-11.50%
"Oct. 25, 2019",-11.48%
"Oct. 24, 2019",-13.33%
"Oct. 23, 2019",-9.91%
"Oct. 22, 2019",-11.72%
"Oct. 21, 2019",-11.64%
"Oct. 18, 2019",-12.44%
"Oct. 17, 2019",-13.21%
"Oct. 16, 2019",-15.50%
"Oct. 15, 2019",-16.02%
"Oct. 14, 2019",-15.96%
"Oct. 11, 2019",-15.85%
"Oct. 10, 2019",-21.62%
"Oct. 9, 2019",-21.54%
"Oct. 8, 2019",-22.42%
"Oct. 7, 2019",-18.64%
"Oct. 4, 2019",-14.24%
"Oct. 3, 2019",-10.36%
"Oct. 2, 2019",-11.43%
"Oct. 1, 2019",-13.07%
"Sept. 30, 2019",-10.30%
"Sept. 27, 2019",-9.41%
"Sept. 26, 2019",-11.87%
"Sept. 25, 2019",-9.24%
"Sept. 24, 2019",-10.65%
"Sept. 23, 2019",-6.10%
"Sept. 20, 2019",-7.42%
"Sept. 19, 2019",-5.66%
"Sept. 18, 2019",-4.67%
"Sept. 17, 2019",-0.72%
"Sept. 16, 2019",7.54%
"Sept. 13, 2019",-13.74%
"Sept. 12, 2019",-11.72%
"Sept. 11, 2019",-9.76%
"Sept. 10, 2019",-11.27%
"Sept. 9, 2019",-13.95%
"Sept. 6, 2019",-20.35%
"Sept. 5, 2019",-19.50%
"Sept. 4, 2019",-24.28%
"Sept. 3, 2019",-26.53%
"Aug. 30, 2019",-26.76%
"Aug. 29, 2019",-27.42%
"Aug. 28, 2019",-29.33%
"Aug. 27, 2019",-32.06%
"Aug. 26, 2019",-31.39%
"Aug. 23, 2019",-29.43%
"Aug. 22, 2019",-28.18%
"Aug. 21, 2019",-28.66%
"Aug. 20, 2019",-26.65%
"Aug. 19, 2019",-25.39%
"Aug. 16, 2019",-31.93%
"Aug. 15, 2019",-34.07%
"Aug. 14, 2019",-34.32%
"Aug. 13, 2019",-27.91%
"Aug. 12, 2019",-29.42%
"Aug. 9, 2019",-26.29%
"Aug. 8, 2019",-26.09%
"Aug. 7, 2019",-19.37%
"Aug. 6, 2019",-17.26%
"Aug. 5, 2019",-14.01%
"Aug. 2, 2019",-10.01%
"Aug. 1, 2019",-10.44%
"July 31, 2019",-11.75%
"July 30, 2019",-13.69%
"July 29, 2019",-18.80%
"July 26, 2019",-19.49%
"July 25, 2019",-21.39%
"July 24, 2019",-20.71%
"July 23, 2019",-23.49%
"July 22, 2019",-22.84%
"July 19, 2019",-21.16%
"July 18, 2019",-22.11%
"July 17, 2019",-21.78%
"July 16, 2019",-19.71%
"July 15, 2019",-17.82%
"July 12, 2019",-19.27%
"July 11, 2019",-17.03%
"July 10, 2019",-12.81%
"July 9, 2019",-13.68%
"July 8, 2019",-15.52%
"July 5, 2019",-14.19%
"July 3, 2019",-12.25%
"July 2, 2019",-16.81%
"July 1, 2019",-15.83%
"June 28, 2019",-16.44%
"June 27, 2019",-16.99%
"June 26, 2019",-15.29%
"June 25, 2019",-14.44%
"June 24, 2019",-13.11%
"June 21, 2019",-19.50%
"June 20, 2019",-18.85%
"June 19, 2019",-19.77%
"June 18, 2019",-20.69%
"June 17, 2019",-21.14%
"June 14, 2019",-22.97%
"June 13, 2019",-22.06%
"June 12, 2019",-23.66%
"June 11, 2019",-20.68%
"June 10, 2019",-18.93%
"June 7, 2019",-20.20%
"June 6, 2019",-18.57%
"June 5, 2019",-20.30%
"June 4, 2019",-17.94%
"June 3, 2019",-17.92%
"May 31, 2019",-14.01%
"May 30, 2019",-13.88%
"May 29, 2019",-11.80%
"May 28, 2019",-11.76%
"May 24, 2019",-13.42%
"May 23, 2019",-14.20%
"May 22, 2019",-9.77%
"May 21, 2019",-6.94%
"May 20, 2019",-9.99%
"May 17, 2019",-8.79%
"May 16, 2019",-4.65%
