date,fulmer_h_score
"Dec. 31, 2019",3.819
"Sept. 30, 2019",4.203
"June 30, 2019",3.197
"March 31, 2019",3.420
"Dec. 31, 2018",2.886
"Sept. 30, 2018",
"June 30, 2018",
"March 31, 2018",
"Dec. 31, 2017",
"Sept. 30, 2017",2.691
"June 30, 2017",3.154
"March 31, 2017",2.68
"Dec. 31, 2016",
"Sept. 30, 2016",
"June 30, 2016",
"March 31, 2016",
"Dec. 31, 2015",
"Sept. 30, 2015",
"June 30, 2015",6.315
"March 31, 2015",7.212
"Dec. 31, 2014",6.830
"Sept. 30, 2014",6.124
"June 30, 2014",7.163
"March 31, 2014",
"Dec. 31, 2013",
"Sept. 30, 2013",
"June 30, 2013",7.531
"March 31, 2013",8.084
"Dec. 31, 2012",9.946
"Sept. 30, 2012",
"June 30, 2012",
"March 31, 2012",
"Dec. 31, 2011",
"Sept. 30, 2011",9.340
"June 30, 2011",8.399
"March 31, 2011",9.991
"Dec. 31, 2010",10.22
"Sept. 30, 2010",
"June 30, 2010",
"March 31, 2010",
"Dec. 31, 2009",
"Sept. 30, 2009",7.317
"June 30, 2009",8.134
"March 31, 2009",11.04
"Dec. 31, 2008",10.72
"Sept. 30, 2008",12.25
"June 30, 2008",9.816
"March 31, 2008",8.903
