date,beneish_m_score
"Dec. 31, 2019",-2.766
"Dec. 31, 2018",-1.22
"Dec. 31, 2017",-4.016
"Dec. 31, 2016",-3.056
"Dec. 31, 2015",-2.045
"Dec. 31, 2014",-3.514
"Dec. 31, 2013",-3.624
"Dec. 31, 2012",-2.702
"Dec. 31, 2011",-1.072
"Dec. 31, 2010",-3.515
"Dec. 31, 2009",
"Dec. 31, 2008",-3.215
"Dec. 31, 2007",-2.338
"Dec. 31, 2006",-2.22
"Dec. 31, 2005",-2.508
"Dec. 31, 2004",-2.433
"Dec. 31, 2003",-2.872
"Dec. 31, 2002",-2.139
"Dec. 31, 2001",-3.288
"Dec. 31, 2000",-2.740
"Dec. 31, 1999",-2.612
"Dec. 31, 1998",-3.663
"Dec. 31, 1997",-3.961
"Dec. 31, 1996",-3.065
"Dec. 31, 1995",-3.210
"Dec. 31, 1994",-2.940
"Dec. 31, 1993",-3.968
"Dec. 31, 1992",-4.008
"Dec. 31, 1991",-0.9863
"Dec. 31, 1990",-3.448
