date,net_income_ttm
"Dec. 31, 2019",1.150B
"Sept. 30, 2019",1.325B
"June 30, 2019",329.78M
"March 31, 2019",283.02M
"Dec. 31, 2018",411.09M
"Sept. 30, 2018",20.93M
"June 30, 2018",-138.91M
"March 31, 2018",-202.00M
"Dec. 31, 2017",-311.79M
"Sept. 30, 2017",-88.92M
"June 30, 2017",-39.20M
"March 31, 2017",-18.70M
"Dec. 31, 2016",-275.97M
"Sept. 30, 2016",-799.18M
"June 30, 2016",-2.378B
"March 31, 2016",-2.455B
"Dec. 31, 2015",-2.271B
"Sept. 30, 2015",-1.308B
"June 30, 2015",532.67M
"March 31, 2015",735.92M
"Dec. 31, 2014",905.61M
"Sept. 30, 2014",605.79M
"June 30, 2014",644.90M
"March 31, 2014",918.13M
"Dec. 31, 2013",1.123B
"Sept. 30, 2013",1.207B
"June 30, 2013",1.149B
"March 31, 2013",1.041B
"Dec. 31, 2012",970.88M
"Sept. 30, 2012",698.26M
"June 30, 2012",877.69M
"March 31, 2012",893.87M
"Dec. 31, 2011",872.70M
"Sept. 30, 2011",1.161B
"June 30, 2011",957.42M
"March 31, 2011",918.09M
"Dec. 31, 2010",798.08M
"Sept. 30, 2010",942.88M
"June 30, 2010",928.93M
"March 31, 2010",815.41M
"Dec. 31, 2009",837.62M
"Sept. 30, 2009",646.12M
"June 30, 2009",1.042B
"March 31, 2009",1.502B
"Dec. 31, 2008",1.740B
"Sept. 30, 2008",1.819B
"June 30, 2008",1.434B
"March 31, 2008",1.065B
"Dec. 31, 2007",766.53M
"Sept. 30, 2007",648.78M
"June 30, 2007",673.39M
"March 31, 2007",639.32M
"Dec. 31, 2006",644.67M
"Sept. 30, 2006",710.86M
"June 30, 2006",717.66M
"March 31, 2006",849.28M
"Dec. 31, 2005",846.45M
"Sept. 30, 2005",826.37M
"June 30, 2005",714.15M
"March 31, 2005",716.23M
"Dec. 31, 2004",701.32M
"Sept. 30, 2004",625.50M
"June 30, 2004",575.51M
"March 31, 2004",305.32M
"Dec. 31, 2003",294.20M
"Sept. 30, 2003",293.17M
"June 30, 2003",261.84M
"March 31, 2003",196.09M
"Dec. 31, 2002",111.51M
"Sept. 30, 2002",82.64M
"June 30, 2002",86.96M
"March 31, 2002",235.60M
"Dec. 31, 2001",330.90M
"Sept. 30, 2001",395.40M
"June 30, 2001",443.78M
"March 31, 2001",354.25M
"Dec. 31, 2000",296.83M
"Sept. 30, 2000",263.06M
"June 30, 2000",224.16M
"March 31, 2000",166.81M
"Dec. 31, 1999",119.70M
"Sept. 30, 1999",-1.00M
"June 30, 1999",-43.20M
"March 31, 1999",-36.70M
"Dec. 31, 1998",-14.50M
"Sept. 30, 1998",78.60M
"June 30, 1998",111.90M
"March 31, 1998",117.30M
"Dec. 31, 1997",132.40M
"Sept. 30, 1997",144.00M
"June 30, 1997",144.00M
"March 31, 1997",144.50M
"Dec. 31, 1996",137.90M
"Sept. 30, 1996",-68.40M
"June 30, 1996",-103.10M
"March 31, 1996",-110.60M
"Dec. 31, 1995",-118.60M
"Sept. 30, 1995",62.30M
"June 30, 1995",92.00M
"March 31, 1995",98.90M
"Dec. 31, 1994",106.60M
"Sept. 30, 1994",108.60M
"June 30, 1994",91.50M
"March 31, 1994",86.70M
"Dec. 31, 1993",102.10M
"Sept. 30, 1993",113.20M
"June 30, 1993",110.10M
"March 31, 1993",121.30M
"Dec. 31, 1992",105.50M
"Sept. 30, 1992",100.20M
"June 30, 1992",126.70M
"March 31, 1992",-12.30M
"Dec. 31, 1991",-11.10M
"Sept. 30, 1991",-19.10M
"June 30, 1991",-25.10M
"March 31, 1991",108.50M
"Dec. 31, 1990",101.90M
"Sept. 30, 1990",104.90M
"June 30, 1990",69.80M
"March 31, 1990",58.10M
"Dec. 31, 1989",46.60M
"Sept. 30, 1989",51.40M
"June 30, 1989",59.00M
"March 31, 1989",51.60M
"Dec. 31, 1988",38.80M
"Sept. 30, 1988",-48.50M
"June 30, 1988",-50.80M
"March 31, 1988",-53.10M
"Dec. 31, 1987",-43.60M
"Sept. 30, 1987",-189.80M
"June 30, 1987",-198.10M
"March 31, 1987",-202.60M
"Dec. 31, 1986",-194.80M
"Sept. 30, 1986",30.10M
"June 30, 1986",49.20M
"March 31, 1986",70.40M
"Dec. 31, 1985",79.70M
"Sept. 30, 1985",105.00M
"June 30, 1985",111.70M
"March 31, 1985",111.50M
"Dec. 31, 1984",117.60M
