date,total_employee_number
"Dec. 31, 2019",822
"Dec. 31, 2018",1108
"Dec. 31, 2017",1128
"Dec. 31, 2016",1294
"Dec. 31, 2015",1258
"Dec. 31, 2014",1712
"Dec. 31, 2013",1875
"Dec. 31, 2012",9185
"Dec. 31, 2011",8610
"Dec. 31, 2010",8994
"Dec. 31, 2009",8369
"Dec. 31, 2008",8277
"Dec. 31, 2007",7539
"Dec. 31, 2006",7296
"Dec. 31, 2005",6248
"Dec. 31, 2004",5826
"Dec. 31, 2003",4789
"Dec. 31, 2002",4010
"Dec. 31, 2001",3779
"Dec. 31, 2000",3109
"Dec. 31, 1999",2153
"Dec. 31, 1998",1566
"Dec. 31, 1997",1338
"Dec. 31, 1996",1339
"Dec. 31, 1995",1794
"Dec. 31, 1994",1767
"Dec. 31, 1993",1803
"Dec. 31, 1992",1787
"Dec. 31, 1991",3991
"Dec. 31, 1990",102518
"Dec. 31, 1989",4538
