date,kz_index
"Dec. 31, 2019",0.4308
"Dec. 31, 2018",0.5521
"Dec. 31, 2017",
"Dec. 31, 2016",
"Dec. 31, 2015",
"Dec. 31, 2014",
"Dec. 31, 2013",0.2543
"Dec. 31, 2012",-2.005
"Dec. 31, 2011",
"Dec. 31, 2010",-0.415
"Dec. 31, 2009",
"Dec. 31, 2008",-0.7123
"Dec. 31, 2007",0.0388
"Dec. 31, 2006",-0.2343
"Dec. 31, 2005",-0.309
"Dec. 31, 2004",-0.0654
"Dec. 31, 2003",0.5311
"Dec. 31, 2002",
"Dec. 31, 2001",-0.1109
"Dec. 31, 2000",-0.3894
"Dec. 31, 1999",-0.3152
"Dec. 31, 1998",-0.3995
"Dec. 31, 1997",-1.021
"Dec. 31, 1996",-1.106
"Dec. 31, 1995",
"Dec. 31, 1994",-1.252
"Dec. 31, 1993",-2.294
"Dec. 31, 1992",-2.540
"Dec. 31, 1991",
"Dec. 31, 1990",-0.7936
"Dec. 31, 1989",-0.3516
"Dec. 31, 1988",
"Dec. 31, 1987",0.9253
"Dec. 31, 1986",
"Dec. 31, 1985",0.6176
