date,times_interest_earned
"Dec. 31, 2019",1.748
"Sept. 30, 2019",2.593
"June 30, 2019",2.084
"March 31, 2019",1.525
"Dec. 31, 2018",1.294
"Sept. 30, 2018",-1.024
"June 30, 2018",-1.421
"March 31, 2018",-1.184
"Dec. 31, 2017",-0.4078
"Sept. 30, 2017",0.6066
"June 30, 2017",1.015
"March 31, 2017",0.6629
"Dec. 31, 2016",-3.31
"Sept. 30, 2016",-10.12
"June 30, 2016",-69.23
"March 31, 2016",-52.34
"Dec. 31, 2015",-123.79
"Sept. 30, 2015",
"June 30, 2015",14.56
"March 31, 2015",20.40
"Dec. 31, 2014",18.85
"Sept. 30, 2014",14.71
"June 30, 2014",45.35
"March 31, 2014",
"Dec. 31, 2013",
"Sept. 30, 2013",
"June 30, 2013",44.62
"March 31, 2013",59.75
"Dec. 31, 2012",368.74
"Sept. 30, 2012",
"June 30, 2012",
"March 31, 2012",
"Dec. 31, 2011",
"Sept. 30, 2011",21.77
"June 30, 2011",21.31
"March 31, 2011",18.29
"Dec. 31, 2010",14.54
"Sept. 30, 2010",
"June 30, 2010",
"March 31, 2010",
"Dec. 31, 2009",
"Sept. 30, 2009",13.82
"June 30, 2009",23.51
"March 31, 2009",39.96
"Dec. 31, 2008",28.69
"Sept. 30, 2008",83.00
"June 30, 2008",89.12
"March 31, 2008",130.76
