date,springate_score
"Dec. 31, 2019",0.5363
"Sept. 30, 2019",0.6094
"June 30, 2019",0.5503
"March 31, 2019",0.5394
"Dec. 31, 2018",0.4425
"Sept. 30, 2018",0.0476
"June 30, 2018",-0.056
"March 31, 2018",-0.0195
"Dec. 31, 2017",0.1594
"Sept. 30, 2017",0.4406
"June 30, 2017",0.3844
"March 31, 2017",0.235
"Dec. 31, 2016",-0.1487
"Sept. 30, 2016",-0.5381
"June 30, 2016",-2.217
"March 31, 2016",-1.901
"Dec. 31, 2015",-1.620
"Sept. 30, 2015",
"June 30, 2015",0.3818
"March 31, 2015",0.5355
"Dec. 31, 2014",0.688
"Sept. 30, 2014",0.7081
"June 30, 2014",0.6737
"March 31, 2014",
"Dec. 31, 2013",
"Sept. 30, 2013",
"June 30, 2013",0.6128
"March 31, 2013",0.7968
"Dec. 31, 2012",1.000
"Sept. 30, 2012",
"June 30, 2012",
"March 31, 2012",
"Dec. 31, 2011",
"Sept. 30, 2011",1.478
"June 30, 2011",1.358
"March 31, 2011",1.365
"Dec. 31, 2010",1.369
"Sept. 30, 2010",
"June 30, 2010",
"March 31, 2010",
"Dec. 31, 2009",
"Sept. 30, 2009",1.394
"June 30, 2009",1.825
"March 31, 2009",2.324
"Dec. 31, 2008",2.723
"Sept. 30, 2008",2.874
"June 30, 2008",2.566
"March 31, 2008",2.259
