date,shareholders_equity
"Dec. 31, 2019",5.467B
"Sept. 30, 2019",5.677B
"June 30, 2019",4.740B
"March 31, 2019",4.949B
"Dec. 31, 2018",4.829B
"Sept. 30, 2018",4.767B
"June 30, 2018",4.672B
"March 31, 2018",4.692B
"Dec. 31, 2017",4.620B
"Sept. 30, 2017",4.980B
"June 30, 2017",4.978B
"March 31, 2017",4.958B
"Dec. 31, 2016",4.917B
"Sept. 30, 2016",5.086B
"June 30, 2016",5.172B
"March 31, 2016",5.205B
"Dec. 31, 2015",5.307B
"Sept. 30, 2015",6.028B
"June 30, 2015",7.866B
"March 31, 2015",8.204B
"Dec. 31, 2014",8.573B
"Sept. 30, 2014",8.403B
"June 30, 2014",8.399B
"March 31, 2014",8.304B
"Dec. 31, 2013",8.596B
"Sept. 30, 2013",8.918B
"June 30, 2013",9.134B
"March 31, 2013",9.138B
"Dec. 31, 2012",8.942B
"Sept. 30, 2012",9.617B
"June 30, 2012",9.305B
"March 31, 2012",9.119B
"Dec. 31, 2011",8.778B
"Sept. 30, 2011",8.888B
"June 30, 2011",8.829B
"March 31, 2011",8.531B
"Dec. 31, 2010",8.200B
"March 31, 2010",7.554B
"Dec. 31, 2009",7.346B
"Sept. 30, 2009",6.951B
"June 30, 2009",6.638B
"March 31, 2009",6.340B
"Dec. 31, 2008",6.279B
"Sept. 30, 2008",6.520B
"June 30, 2008",6.066B
"March 31, 2008",5.443B
"Dec. 31, 2007",5.066B
"Sept. 30, 2007",4.881B
"June 30, 2007",4.581B
"March 31, 2007",4.234B
"Dec. 31, 2006",4.121B
"Sept. 30, 2006",4.065B
"June 30, 2006",3.846B
"March 31, 2006",3.566B
"Dec. 31, 2005",3.461B
"Sept. 30, 2005",3.312B
"June 30, 2005",3.038B
"March 31, 2005",2.729B
"Dec. 31, 2004",2.649B
"Sept. 30, 2004",2.490B
"June 30, 2004",2.351B
"March 31, 2004",2.027B
"Dec. 31, 2003",1.951B
"Sept. 30, 2003",1.897B
"June 30, 2003",1.872B
"March 31, 2003",1.714B
"Dec. 31, 2002",1.594B
"Sept. 30, 2002",1.550B
"June 30, 2002",1.571B
"March 31, 2002",1.505B
"Dec. 31, 2001",1.498B
"Sept. 30, 2001",1.494B
"June 30, 2001",1.492B
"March 31, 2001",1.300B
"Dec. 31, 2000",1.260B
"Sept. 30, 2000",1.186B
"June 30, 2000",1.132B
"March 31, 2000",1.085B
"Dec. 31, 1999",1.057B
"Sept. 30, 1999",1.008B
"June 30, 1999",957.90M
"March 31, 1999",954.00M
"Dec. 31, 1998",978.20M
"Sept. 30, 1998",1.063B
"June 30, 1998",1.079B
"March 31, 1998",1.086B
"Dec. 31, 1997",1.079B
"Sept. 30, 1997",1.070B
"June 30, 1997",1.049B
"March 31, 1997",1.031B
"Dec. 31, 1996",1.028B
"Sept. 30, 1996",1.155B
"June 30, 1996",1.125B
"March 31, 1996",1.108B
"Dec. 31, 1995",1.101B
"Sept. 30, 1995",1.288B
"June 30, 1995",1.290B
"March 31, 1995",1.282B
"Dec. 31, 1994",1.271B
"Sept. 30, 1994",1.281B
"June 30, 1994",1.242B
"March 31, 1994",1.220B
"Dec. 31, 1993",1.222B
"Sept. 30, 1993",1.221B
"June 30, 1993",1.222B
"March 31, 1993",1.219B
"Dec. 31, 1992",1.200B
"Sept. 30, 1992",1.206B
"June 30, 1992",1.212B
"March 31, 1992",1.193B
"Dec. 31, 1991",1.201B
"Sept. 30, 1991",1.183B
"June 30, 1991",1.139B
"March 31, 1991",877.30M
"Dec. 31, 1990",873.20M
"Sept. 30, 1990",860.20M
"June 30, 1990",822.00M
"March 31, 1990",784.00M
"Dec. 31, 1989",769.60M
"Sept. 30, 1989",750.30M
"Dec. 31, 1988",761.40M
"Dec. 31, 1987",750.10M
"Dec. 31, 1986",776.70M
"Dec. 31, 1985",1.014B
"Dec. 31, 1984",1.006B
