date,three_year_return
"March 19, 2020",-79.54%
"March 18, 2020",-82.81%
"March 17, 2020",-79.62%
"March 16, 2020",-75.79%
"March 13, 2020",-71.21%
"March 12, 2020",-75.84%
"March 11, 2020",-71.77%
"March 10, 2020",-64.89%
"March 9, 2020",-65.78%
"March 6, 2020",-43.82%
"March 5, 2020",-35.24%
"March 4, 2020",-32.31%
"March 3, 2020",-33.10%
"March 2, 2020",-32.32%
"Feb. 28, 2020",-33.37%
"Feb. 27, 2020",-38.13%
"Feb. 26, 2020",-33.11%
"Feb. 25, 2020",-29.27%
"Feb. 24, 2020",-25.22%
"Feb. 21, 2020",-23.00%
"Feb. 20, 2020",-20.43%
"Feb. 19, 2020",-20.40%
"Feb. 18, 2020",-20.43%
"Feb. 14, 2020",-22.43%
"Feb. 13, 2020",-21.29%
"Feb. 12, 2020",-20.61%
"Feb. 11, 2020",-23.24%
"Feb. 10, 2020",-24.37%
"Feb. 7, 2020",-21.47%
"Feb. 6, 2020",-23.17%
"Feb. 5, 2020",-23.94%
"Feb. 4, 2020",-27.37%
"Feb. 3, 2020",-28.38%
"Jan. 31, 2020",-27.50%
"Jan. 30, 2020",-25.31%
"Jan. 29, 2020",-24.78%
"Jan. 28, 2020",-22.41%
"Jan. 27, 2020",-23.15%
"Jan. 24, 2020",-25.53%
"Jan. 23, 2020",-22.65%
"Jan. 22, 2020",-22.53%
"Jan. 21, 2020",-22.85%
"Jan. 17, 2020",-18.68%
"Jan. 16, 2020",-15.45%
"Jan. 15, 2020",-10.44%
"Jan. 14, 2020",-10.05%
"Jan. 13, 2020",-12.30%
"Jan. 10, 2020",-11.88%
"Jan. 9, 2020",-10.41%
"Jan. 8, 2020",-13.73%
"Jan. 7, 2020",-11.72%
"Jan. 6, 2020",-12.68%
"Jan. 3, 2020",-13.66%
"Jan. 2, 2020",-14.71%
"Dec. 31, 2019",-13.91%
"Dec. 30, 2019",-15.42%
"Dec. 27, 2019",-19.17%
"Dec. 26, 2019",-17.89%
"Dec. 24, 2019",-17.80%
"Dec. 23, 2019",-17.64%
"Dec. 20, 2019",-21.81%
"Dec. 19, 2019",-22.48%
"Dec. 18, 2019",-23.28%
"Dec. 17, 2019",-23.25%
"Dec. 16, 2019",-23.89%
"Dec. 13, 2019",-27.00%
"Dec. 12, 2019",-21.96%
"Dec. 11, 2019",-24.59%
"Dec. 10, 2019",-24.50%
"Dec. 9, 2019",-24.26%
"Dec. 6, 2019",-26.58%
"Dec. 5, 2019",-28.51%
"Dec. 4, 2019",-26.41%
"Dec. 3, 2019",-28.82%
"Dec. 2, 2019",-28.45%
"Nov. 29, 2019",-21.79%
"Nov. 27, 2019",-22.73%
"Nov. 26, 2019",-22.80%
