date,max_drawdown_all
"Feb. 29, 2020",77.00%
"Jan. 31, 2020",77.00%
"Dec. 31, 2019",77.00%
"Nov. 30, 2019",77.00%
"Oct. 31, 2019",77.00%
"Sept. 30, 2019",77.00%
"Aug. 31, 2019",77.00%
"July 31, 2019",77.00%
"June 30, 2019",77.00%
"May 31, 2019",77.00%
"April 30, 2019",77.00%
"March 31, 2019",77.00%
"Feb. 28, 2019",77.00%
"Jan. 31, 2019",77.00%
"Dec. 31, 2018",77.00%
"Nov. 30, 2018",77.00%
"Oct. 31, 2018",77.00%
"Sept. 30, 2018",77.00%
"Aug. 31, 2018",77.00%
"July 31, 2018",77.00%
"June 30, 2018",77.00%
"May 31, 2018",77.00%
"April 30, 2018",77.00%
"March 31, 2018",77.00%
"Feb. 28, 2018",77.00%
"Jan. 31, 2018",77.00%
"Dec. 31, 2017",77.00%
"Nov. 30, 2017",77.00%
"Oct. 31, 2017",77.00%
"Sept. 30, 2017",77.00%
"Aug. 31, 2017",77.00%
"July 31, 2017",77.00%
"June 30, 2017",77.00%
"May 31, 2017",77.00%
"April 30, 2017",77.00%
"March 31, 2017",77.00%
"Feb. 28, 2017",77.00%
"Jan. 31, 2017",77.00%
"Dec. 31, 2016",77.00%
"Nov. 30, 2016",77.00%
"Oct. 31, 2016",77.00%
"Sept. 30, 2016",77.00%
"Aug. 31, 2016",77.00%
"July 31, 2016",77.00%
"June 30, 2016",77.00%
"May 31, 2016",77.00%
"April 30, 2016",77.00%
"March 31, 2016",77.00%
"Feb. 29, 2016",77.00%
"Jan. 31, 2016",77.00%
"Dec. 31, 2015",68.54%
"Nov. 30, 2015",66.14%
"Oct. 31, 2015",66.14%
"Sept. 30, 2015",65.98%
"Aug. 31, 2015",62.95%
"July 31, 2015",62.95%
"June 30, 2015",62.95%
"May 31, 2015",62.95%
"April 30, 2015",62.95%
"March 31, 2015",62.95%
"Feb. 28, 2015",62.95%
"Jan. 31, 2015",62.95%
"Dec. 31, 2014",62.95%
"Nov. 30, 2014",62.95%
"Oct. 31, 2014",62.95%
"Sept. 30, 2014",62.95%
"Aug. 31, 2014",62.95%
"July 31, 2014",62.95%
"June 30, 2014",62.95%
"May 31, 2014",62.95%
"April 30, 2014",62.95%
"March 31, 2014",62.95%
"Feb. 28, 2014",62.95%
"Jan. 31, 2014",62.95%
"Dec. 31, 2013",62.95%
"Nov. 30, 2013",62.95%
"Oct. 31, 2013",62.95%
"Sept. 30, 2013",62.95%
"Aug. 31, 2013",62.95%
"July 31, 2013",62.95%
"June 30, 2013",62.95%
"May 31, 2013",62.95%
"April 30, 2013",62.95%
"March 31, 2013",62.95%
"Feb. 28, 2013",62.95%
"Jan. 31, 2013",62.95%
"Dec. 31, 2012",62.95%
"Nov. 30, 2012",62.95%
"Oct. 31, 2012",62.95%
"Sept. 30, 2012",62.95%
"Aug. 31, 2012",62.95%
"July 31, 2012",62.95%
"June 30, 2012",62.95%
"May 31, 2012",62.95%
"April 30, 2012",62.95%
"March 31, 2012",62.95%
"Feb. 29, 2012",62.95%
"Jan. 31, 2012",62.95%
"Dec. 31, 2011",62.95%
"Nov. 30, 2011",62.95%
"Oct. 31, 2011",62.95%
"Sept. 30, 2011",62.95%
"Aug. 31, 2011",62.95%
"July 31, 2011",62.95%
"June 30, 2011",62.95%
"May 31, 2011",62.95%
"April 30, 2011",62.95%
"March 31, 2011",62.95%
"Feb. 28, 2011",62.95%
"Jan. 31, 2011",62.95%
"Dec. 31, 2010",62.95%
"Nov. 30, 2010",62.95%
"Oct. 31, 2010",62.95%
"Sept. 30, 2010",62.95%
"Aug. 31, 2010",62.95%
"July 31, 2010",62.95%
"June 30, 2010",62.95%
"May 31, 2010",62.95%
"April 30, 2010",62.95%
"March 31, 2010",62.95%
"Feb. 28, 2010",62.95%
"Jan. 31, 2010",62.95%
"Dec. 31, 2009",62.95%
"Nov. 30, 2009",62.95%
"Oct. 31, 2009",62.95%
"Sept. 30, 2009",62.95%
"Aug. 31, 2009",62.95%
"July 31, 2009",62.95%
"June 30, 2009",62.95%
"May 31, 2009",62.95%
"April 30, 2009",62.95%
"March 31, 2009",62.95%
"Feb. 28, 2009",62.95%
"Jan. 31, 2009",62.95%
"Dec. 31, 2008",62.95%
"Nov. 30, 2008",62.95%
"Oct. 31, 2008",60.56%
"Sept. 30, 2008",45.94%
"Aug. 31, 2008",45.94%
"July 31, 2008",45.94%
"June 30, 2008",45.94%
"May 31, 2008",45.94%
"April 30, 2008",45.94%
"March 31, 2008",45.94%
"Feb. 29, 2008",45.94%
"Jan. 31, 2008",45.94%
"Dec. 31, 2007",45.94%
"Nov. 30, 2007",45.94%
"Oct. 31, 2007",45.94%
"Sept. 30, 2007",45.94%
"Aug. 31, 2007",45.94%
"July 31, 2007",45.94%
"June 30, 2007",45.94%
"May 31, 2007",45.94%
"April 30, 2007",45.94%
"March 31, 2007",45.94%
"Feb. 28, 2007",45.94%
"Jan. 31, 2007",45.94%
"Dec. 31, 2006",45.94%
"Nov. 30, 2006",45.94%
