date,cash_dividend_payout_ratio
"Dec. 31, 2019",-82.41%
"Sept. 30, 2019",-63.69%
"June 30, 2019",-60.69%
"March 31, 2019",-59.49%
"Dec. 31, 2018",331.4%
"Sept. 30, 2018",470.6%
"June 30, 2018",227.7%
"March 31, 2018",116.3%
"Dec. 31, 2017",175.2%
"Sept. 30, 2017",113.7%
"June 30, 2017",106.3%
"March 31, 2017",132.1%
"Dec. 31, 2016",75.72%
"Sept. 30, 2016",62.74%
"June 30, 2016",76.28%
"March 31, 2016",67.46%
"Dec. 31, 2015",62.47%
"Sept. 30, 2015",56.20%
"June 30, 2015",50.67%
"March 31, 2015",51.01%
"Dec. 31, 2014",60.89%
"Sept. 30, 2014",53.43%
"June 30, 2014",61.69%
"March 31, 2014",71.75%
"Dec. 31, 2013",59.11%
"Sept. 30, 2013",180.1%
"June 30, 2013",283.7%
"March 31, 2013",-410.7%
"Dec. 31, 2012",-114.4%
"Sept. 30, 2012",-107.5%
"June 30, 2012",-119.5%
"March 31, 2012",-166.5%
"Dec. 31, 2011",1.96K%
"Sept. 30, 2011",108.7%
"June 30, 2011",93.46%
"March 31, 2011",84.04%
"Dec. 31, 2010",92.78%
"Sept. 30, 2010",92.66%
"June 30, 2010",89.62%
"March 31, 2010",65.68%
"Dec. 31, 2009",50.23%
"Sept. 30, 2009",54.17%
"June 30, 2009",36.85%
"March 31, 2009",120.6%
"Dec. 31, 2008",80.95%
"Sept. 30, 2008",72.59%
"June 30, 2008",150.0%
"March 31, 2008",38.36%
"Dec. 31, 2007",37.67%
"Sept. 30, 2007",31.74%
"June 30, 2007",19.08%
"March 31, 2007",30.45%
"Dec. 31, 2006",88.24%
"Sept. 30, 2006",-43.02%
"June 30, 2006",-34.15%
"March 31, 2006",-99.29%
"Dec. 31, 2005",-663.4%
"Sept. 30, 2005",45.76%
"June 30, 2005",400.0%
"March 31, 2005",127.9%
"Dec. 31, 2004",41.88%
"Sept. 30, 2004",50.43%
"June 30, 2004",31.23%
"March 31, 2004",42.07%
"Dec. 31, 2003",49.25%
"Sept. 30, 2003",34.11%
"June 30, 2003",70.39%
"March 31, 2003",49.32%
"Dec. 31, 2002",37.70%
"Sept. 30, 2002",27.86%
"June 30, 2002",40.84%
"March 31, 2002",27.88%
"Dec. 31, 2001",47.84%
"Sept. 30, 2001",107.4%
"June 30, 2001",-116.6%
"March 31, 2001",-95.12%
"Dec. 31, 2000",-113.3%
"Sept. 30, 2000",-526.1%
"June 30, 2000",461.5%
"March 31, 2000",88.25%
"Dec. 31, 1999",50.57%
"Sept. 30, 1999",36.06%
"June 30, 1999",30.05%
"March 31, 1999",26.15%
"Dec. 31, 1998",30.64%
"Sept. 30, 1998",35.55%
"June 30, 1998",34.04%
"March 31, 1998",35.64%
"Dec. 31, 1997",31.74%
"Sept. 30, 1997",25.49%
"June 30, 1997",25.92%
"March 31, 1997",28.11%
"Dec. 31, 1996",28.62%
"Sept. 30, 1996",31.40%
"June 30, 1996",34.79%
"March 31, 1996",33.61%
"Dec. 31, 1995",36.77%
"Sept. 30, 1995",35.00%
"June 30, 1995",32.94%
"March 31, 1995",43.07%
"Dec. 31, 1994",53.71%
