date,times_interest_earned
"Dec. 31, 2019",2.772
"Sept. 30, 2019",2.155
"June 30, 2019",2.559
"March 31, 2019",2.542
"Dec. 31, 2018",6.115
"Sept. 30, 2018",7.469
"June 30, 2018",6.591
"March 31, 2018",6.619
"Dec. 31, 2017",4.208
"Sept. 30, 2017",9.689
"June 30, 2017",9.862
"March 31, 2017",7.732
"Dec. 31, 2016",5.389
"Sept. 30, 2016",3.183
"June 30, 2016",3.316
"March 31, 2016",4.064
"Dec. 31, 2015",4.622
"Sept. 30, 2015",5.054
"June 30, 2015",4.709
"March 31, 2015",4.449
"Dec. 31, 2014",4.159
"Sept. 30, 2014",3.461
"June 30, 2014",3.574
"March 31, 2014",3.694
"Dec. 31, 2013",3.423
"Sept. 30, 2013",3.686
"June 30, 2013",3.322
"March 31, 2013",3.354
"Dec. 31, 2012",3.830
"Sept. 30, 2012",4.134
"June 30, 2012",4.115
"March 31, 2012",4.007
"Dec. 31, 2011",3.646
"Sept. 30, 2011",2.986
"June 30, 2011",3.456
"March 31, 2011",3.268
"Dec. 31, 2010",3.899
"Sept. 30, 2010",4.150
"June 30, 2010",3.982
"March 31, 2010",3.980
"Dec. 31, 2009",3.628
"Sept. 30, 2009",5.170
"June 30, 2009",8.819
"March 31, 2009",16.45
