date,sales_est_0y
"March 19, 2020",19.97B
"March 13, 2020",19.97B
"March 12, 2020",20.03B
"March 4, 2020",20.03B
"Feb. 28, 2020",20.03B
"Feb. 21, 2020",20.00B
"Feb. 19, 2020",19.52B
"Feb. 18, 2020",19.52B
"Feb. 14, 2020",19.73B
"Feb. 11, 2020",19.74B
"Feb. 10, 2020",19.74B
"Jan. 30, 2020",19.74B
"Jan. 28, 2020",19.70B
"Jan. 27, 2020",19.79B
"Jan. 25, 2020",20.11B
"Jan. 24, 2020",20.09B
"Jan. 22, 2020",20.20B
"Jan. 21, 2020",20.18B
"Jan. 17, 2020",20.18B
"Jan. 15, 2020",20.18B
"Jan. 7, 2020",20.18B
"Dec. 31, 2019",19.34B
"Dec. 24, 2019",19.21B
"Dec. 16, 2019",19.19B
"Dec. 13, 2019",19.19B
"Nov. 14, 2019",19.32B
"Nov. 8, 2019",19.28B
"Oct. 29, 2019",19.28B
"Oct. 28, 2019",19.25B
"Oct. 24, 2019",19.26B
"Oct. 23, 2019",19.21B
"Oct. 22, 2019",19.04B
"Oct. 21, 2019",19.16B
"Oct. 17, 2019",19.16B
"Oct. 14, 2019",19.09B
"Sept. 24, 2019",19.12B
"Sept. 13, 2019",19.08B
"Sept. 9, 2019",19.08B
"Aug. 13, 2019",19.07B
"Aug. 9, 2019",19.07B
"July 29, 2019",19.03B
"July 26, 2019",18.81B
"July 25, 2019",19.16B
"July 24, 2019",18.92B
"July 22, 2019",18.99B
"July 18, 2019",18.95B
"July 17, 2019",18.89B
"July 16, 2019",18.89B
"July 15, 2019",18.84B
"July 12, 2019",18.84B
"June 26, 2019",18.77B
"June 25, 2019",18.78B
"June 21, 2019",18.86B
"June 20, 2019",18.94B
"June 14, 2019",18.72B
"June 4, 2019",18.72B
"May 24, 2019",18.82B
"May 16, 2019",18.80B
"May 15, 2019",18.80B
"April 26, 2019",18.80B
"April 25, 2019",18.80B
"April 24, 2019",18.97B
"April 23, 2019",18.91B
"April 22, 2019",18.98B
"April 18, 2019",18.98B
"April 17, 2019",18.98B
"April 15, 2019",18.98B
"April 8, 2019",18.99B
"March 20, 2019",18.80B
"March 13, 2019",18.79B
"Feb. 25, 2019",18.89B
"Feb. 19, 2019",18.97B
"Feb. 12, 2019",18.97B
"Feb. 11, 2019",18.97B
"Feb. 5, 2019",19.03B
"Jan. 31, 2019",19.03B
"Jan. 29, 2019",19.04B
"Jan. 28, 2019",19.04B
"Jan. 25, 2019",16.62B
"Jan. 23, 2019",19.37B
"Jan. 22, 2019",19.29B
"Jan. 18, 2019",19.30B
"Jan. 14, 2019",19.24B
"Jan. 11, 2019",19.24B
"Jan. 8, 2019",19.24B
"Jan. 7, 2019",19.13B
"Jan. 4, 2019",19.16B
"Dec. 31, 2018",17.43B
"Dec. 14, 2018",17.64B
"Dec. 12, 2018",17.64B
"Dec. 10, 2018",17.64B
"Nov. 30, 2018",17.64B
"Nov. 1, 2018",17.71B
"Oct. 31, 2018",17.70B
"Oct. 27, 2018",17.71B
"Oct. 25, 2018",17.48B
"Oct. 24, 2018",17.70B
"Oct. 23, 2018",17.68B
"Oct. 22, 2018",17.72B
"Oct. 18, 2018",17.69B
"Oct. 17, 2018",17.69B
"Oct. 11, 2018",17.69B
"Oct. 9, 2018",17.73B
"Sept. 18, 2018",17.73B
"Sept. 11, 2018",17.72B
"Sept. 6, 2018",17.72B
"Aug. 30, 2018",17.72B
"Aug. 29, 2018",17.75B
"Aug. 13, 2018",17.75B
"July 31, 2018",17.80B
"July 30, 2018",17.59B
"July 27, 2018",17.52B
"July 26, 2018",17.52B
"July 25, 2018",17.29B
"July 24, 2018",17.93B
"July 23, 2018",17.93B
"July 19, 2018",17.93B
"July 18, 2018",17.95B
"July 13, 2018",17.96B
"July 11, 2018",17.96B
"June 13, 2018",17.96B
"May 29, 2018",17.97B
"May 23, 2018",17.95B
"May 21, 2018",17.91B
"May 11, 2018",17.95B
"May 1, 2018",17.84B
"April 30, 2018",17.82B
"April 26, 2018",17.81B
"April 25, 2018",17.55B
"April 22, 2018",18.08B
"April 19, 2018",18.07B
"April 13, 2018",18.05B
"April 10, 2018",18.04B
"March 9, 2018",18.00B
"March 8, 2018",18.00B
"Feb. 28, 2018",18.01B
"Feb. 15, 2018",18.01B
"Feb. 2, 2018",18.00B
"Feb. 1, 2018",18.06B
"Jan. 31, 2018",18.09B
"Jan. 30, 2018",18.06B
"Jan. 29, 2018",17.83B
"Jan. 28, 2018",18.08B
"Jan. 26, 2018",18.21B
"Jan. 24, 2018",18.24B
"Jan. 23, 2018",18.30B
"Jan. 22, 2018",18.47B
"Jan. 18, 2018",18.46B
"Jan. 17, 2018",18.56B
"Jan. 11, 2018",18.55B
"Jan. 10, 2018",18.55B
"Jan. 8, 2018",18.55B
"Jan. 2, 2018",18.55B
