date,return_on_equity
"Dec. 31, 2019",10.65%
"Sept. 30, 2019",9.23%
"June 30, 2019",9.79%
"March 31, 2019",8.58%
"Dec. 31, 2018",20.45%
"Sept. 30, 2018",27.08%
"June 30, 2018",28.08%
"March 31, 2018",29.65%
"Dec. 31, 2017",20.63%
"Sept. 30, 2017",16.59%
"June 30, 2017",16.64%
"March 31, 2017",16.01%
"Dec. 31, 2016",12.43%
"Sept. 30, 2016",10.68%
"June 30, 2016",11.48%
"March 31, 2016",12.59%
"Dec. 31, 2015",12.93%
"Sept. 30, 2015",15.25%
"June 30, 2015",14.74%
"March 31, 2015",14.06%
"Dec. 31, 2014",13.21%
"Sept. 30, 2014",10.51%
"June 30, 2014",10.98%
"March 31, 2014",11.95%
"Dec. 31, 2013",11.31%
"Sept. 30, 2013",12.23%
"June 30, 2013",10.71%
"March 31, 2013",10.88%
"Dec. 31, 2012",12.27%
"Sept. 30, 2012",14.01%
"June 30, 2012",14.14%
"March 31, 2012",14.18%
"Dec. 31, 2011",13.02%
"Sept. 30, 2011",10.40%
"June 30, 2011",12.78%
"March 31, 2011",11.90%
"Dec. 31, 2010",14.29%
"Sept. 30, 2010",15.30%
"June 30, 2010",14.30%
"March 31, 2010",14.28%
"Dec. 31, 2009",13.10%
"Sept. 30, 2009",13.91%
"June 30, 2009",16.49%
"March 31, 2009",15.51%
"Dec. 31, 2008",14.83%
"Sept. 30, 2008",13.43%
"June 30, 2008",11.49%
"March 31, 2008",13.53%
"Dec. 31, 2007",12.77%
"Sept. 30, 2007",13.51%
"June 30, 2007",13.87%
"March 31, 2007",12.46%
"Dec. 31, 2006",13.93%
"Sept. 30, 2006",13.89%
"June 30, 2006",12.14%
"March 31, 2006",12.03%
"Dec. 31, 2005",11.05%
"Sept. 30, 2005",10.83%
"June 30, 2005",10.92%
"March 31, 2005",12.00%
"Dec. 31, 2004",12.39%
"Sept. 30, 2004",12.10%
"June 30, 2004",12.52%
"March 31, 2004",12.52%
"Dec. 31, 2003",13.31%
"Sept. 30, 2003",13.32%
"June 30, 2003",10.78%
"March 31, 2003",11.25%
"Dec. 31, 2002",7.68%
"Sept. 30, 2002",7.60%
"June 30, 2002",10.84%
"March 31, 2002",10.54%
"Dec. 31, 2001",13.48%
"Sept. 30, 2001",12.72%
"June 30, 2001",12.58%
"March 31, 2001",12.47%
"Dec. 31, 2000",12.78%
"Sept. 30, 2000",13.90%
"June 30, 2000",13.74%
"March 31, 2000",11.50%
"Dec. 31, 1999",13.29%
"Sept. 30, 1999",12.90%
"June 30, 1999",13.03%
"March 31, 1999",15.15%
"Dec. 31, 1998",13.34%
"Sept. 30, 1998",13.43%
"June 30, 1998",13.17%
"March 31, 1998",13.10%
"Dec. 31, 1997",13.10%
"Sept. 30, 1997",13.13%
"June 30, 1997",13.11%
"March 31, 1997",12.97%
"Dec. 31, 1996",12.92%
"Sept. 30, 1996",12.80%
"June 30, 1996",12.79%
"March 31, 1996",12.65%
"Dec. 31, 1995",12.90%
"Sept. 30, 1995",13.06%
"June 30, 1995",12.81%
"March 31, 1995",12.59%
"Dec. 31, 1994",12.49%
"Sept. 30, 1994",12.76%
