date,return_on_assets
"Dec. 31, 2019",3.39%
"Sept. 30, 2019",3.00%
"June 30, 2019",3.23%
"March 31, 2019",2.88%
"Dec. 31, 2018",6.77%
"Sept. 30, 2018",8.67%
"June 30, 2018",8.60%
"March 31, 2018",8.70%
"Dec. 31, 2017",5.74%
"Sept. 30, 2017",4.56%
"June 30, 2017",4.57%
"March 31, 2017",4.37%
"Dec. 31, 2016",3.38%
"Sept. 30, 2016",2.92%
"June 30, 2016",3.15%
"March 31, 2016",3.45%
"Dec. 31, 2015",3.54%
"Sept. 30, 2015",4.13%
"June 30, 2015",3.93%
"March 31, 2015",3.69%
"Dec. 31, 2014",3.44%
"Sept. 30, 2014",2.72%
"June 30, 2014",2.83%
"March 31, 2014",3.07%
"Dec. 31, 2013",2.89%
"Sept. 30, 2013",3.11%
"June 30, 2013",2.73%
"March 31, 2013",2.78%
"Dec. 31, 2012",3.15%
"Sept. 30, 2012",3.64%
"June 30, 2012",3.72%
"March 31, 2012",3.77%
"Dec. 31, 2011",3.50%
"Sept. 30, 2011",2.81%
"June 30, 2011",3.46%
"March 31, 2011",3.19%
"Dec. 31, 2010",3.82%
"Sept. 30, 2010",4.07%
"June 30, 2010",3.80%
"March 31, 2010",3.79%
"Dec. 31, 2009",3.48%
"Sept. 30, 2009",3.65%
"June 30, 2009",4.24%
"March 31, 2009",3.97%
"Dec. 31, 2008",3.80%
"Sept. 30, 2008",3.46%
"June 30, 2008",3.01%
"March 31, 2008",3.64%
"Dec. 31, 2007",3.48%
"Sept. 30, 2007",3.70%
"June 30, 2007",3.81%
"March 31, 2007",3.42%
"Dec. 31, 2006",3.76%
"Sept. 30, 2006",3.68%
"June 30, 2006",3.21%
"March 31, 2006",3.20%
"Dec. 31, 2005",2.92%
"Sept. 30, 2005",2.87%
"June 30, 2005",2.93%
"March 31, 2005",3.19%
"Dec. 31, 2004",3.24%
"Sept. 30, 2004",3.19%
"June 30, 2004",3.36%
"March 31, 2004",3.41%
"Dec. 31, 2003",3.67%
"Sept. 30, 2003",3.87%
"June 30, 2003",3.27%
"March 31, 2003",3.52%
"Dec. 31, 2002",2.49%
"Sept. 30, 2002",2.59%
"June 30, 2002",3.71%
"March 31, 2002",3.64%
"Dec. 31, 2001",4.74%
"Sept. 30, 2001",4.56%
"June 30, 2001",4.62%
"March 31, 2001",4.72%
"Dec. 31, 2000",4.94%
"Sept. 30, 2000",5.46%
"June 30, 2000",5.43%
"March 31, 2000",4.62%
"Dec. 31, 1999",5.40%
"Sept. 30, 1999",5.23%
"June 30, 1999",5.26%
"March 31, 1999",6.12%
"Dec. 31, 1998",5.30%
"Sept. 30, 1998",5.21%
"June 30, 1998",5.02%
"March 31, 1998",4.93%
"Dec. 31, 1997",4.90%
"Sept. 30, 1997",4.86%
"June 30, 1997",4.82%
"March 31, 1997",4.74%
"Dec. 31, 1996",4.70%
"Sept. 30, 1996",4.59%
"June 30, 1996",4.49%
"March 31, 1996",4.37%
"Dec. 31, 1995",4.39%
"Sept. 30, 1995",4.37%
"June 30, 1995",4.21%
"March 31, 1995",4.10%
"Dec. 31, 1994",4.04%
"Sept. 30, 1994",4.09%
