date,long_term_debt
"Dec. 31, 2019",37.54B
"Sept. 30, 2019",36.14B
"June 30, 2019",33.95B
"March 31, 2019",29.88B
"Dec. 31, 2018",26.78B
"Sept. 30, 2018",27.05B
"June 30, 2018",28.36B
"March 31, 2018",28.06B
"Dec. 31, 2017",31.41B
"Sept. 30, 2017",30.34B
"June 30, 2017",30.39B
"March 31, 2017",28.54B
"Dec. 31, 2016",27.82B
"Sept. 30, 2016",28.20B
"June 30, 2016",27.00B
"March 31, 2016",27.79B
"Dec. 31, 2015",26.68B
"Sept. 30, 2015",25.60B
"June 30, 2015",25.24B
"March 31, 2015",24.26B
"Dec. 31, 2014",24.04B
"Sept. 30, 2014",24.85B
"June 30, 2014",25.05B
"March 31, 2014",23.82B
"Dec. 31, 2013",23.97B
"Sept. 30, 2013",23.86B
"June 30, 2013",23.51B
"March 31, 2013",22.87B
"Dec. 31, 2012",23.18B
"Sept. 30, 2012",22.71B
"June 30, 2012",21.58B
"March 31, 2012",20.58B
"Dec. 31, 2011",20.81B
"Sept. 30, 2011",20.04B
"June 30, 2011",19.24B
"March 31, 2011",18.29B
"Dec. 31, 2010",18.01B
"Sept. 30, 2010",17.68B
"June 30, 2010",17.17B
"March 31, 2010",16.60B
"Dec. 31, 2009",16.30B
"Sept. 30, 2009",15.60B
"June 30, 2009",15.66B
"March 31, 2009",15.10B
"Dec. 31, 2008",13.83B
"Sept. 30, 2008",12.81B
"June 30, 2008",12.06B
"March 31, 2008",12.30B
"Dec. 31, 2007",11.28B
"Sept. 30, 2007",10.84B
"June 30, 2007",10.32B
"March 31, 2007",9.091B
"Dec. 31, 2006",9.591B
"Sept. 30, 2006",9.631B
"June 30, 2006",8.36B
"March 31, 2006",7.828B
"Dec. 31, 2005",8.039B
"Sept. 30, 2005",7.787B
"June 30, 2005",8.108B
"March 31, 2005",8.501B
"Dec. 31, 2004",8.027B
"Sept. 30, 2004",8.551B
"June 30, 2004",8.526B
"March 31, 2004",8.667B
"Dec. 31, 2003",8.723B
"Sept. 30, 2003",8.331B
"June 30, 2003",6.765B
"March 31, 2003",5.791B
"Dec. 31, 2002",5.79B
"Sept. 30, 2002",5.727B
"June 30, 2002",5.697B
"March 31, 2002",5.333B
"Dec. 31, 2001",4.858B
"Sept. 30, 2001",4.872B
"June 30, 2001",4.474B
"March 31, 2001",3.977B
"Dec. 31, 2000",3.976B
"Sept. 30, 2000",3.48B
"June 30, 2000",3.479B
"March 31, 2000",3.478B
"Dec. 31, 1999",3.478B
"Sept. 30, 1999",3.091B
"June 30, 1999",2.493B
"March 31, 1999",2.207B
"Dec. 31, 1998",2.347B
"Sept. 30, 1998",2.785B
"June 30, 1998",2.862B
"March 31, 1998",2.95B
"Dec. 31, 1997",2.949B
"Sept. 30, 1997",3.079B
"June 30, 1997",3.228B
"March 31, 1997",3.267B
"Dec. 31, 1996",3.144B
"Sept. 30, 1996",3.263B
"June 30, 1996",3.281B
"March 31, 1996",3.377B
"Dec. 31, 1995",3.377B
"Sept. 30, 1995",3.338B
"June 30, 1995",3.464B
"March 31, 1995",3.579B
"Dec. 31, 1994",3.864B
"Sept. 30, 1994",3.909B
"June 30, 1994",3.907B
"March 31, 1994",3.870B
