date,tangible_common_equity_ratio
"Dec. 31, 2019",28.56%
"Sept. 30, 2019",29.49%
"June 30, 2019",29.34%
"March 31, 2019",29.12%
"Dec. 31, 2018",31.87%
"Sept. 30, 2018",34.74%
"June 30, 2018",34.58%
"March 31, 2018",34.69%
"Dec. 31, 2017",27.30%
"Sept. 30, 2017",27.28%
"June 30, 2017",27.91%
"March 31, 2017",27.96%
"Dec. 31, 2016",27.05%
"Sept. 30, 2016",27.21%
"June 30, 2016",27.13%
"March 31, 2016",27.07%
"Dec. 31, 2015",27.37%
"Sept. 30, 2015",27.91%
"June 30, 2015",27.64%
"March 31, 2015",27.01%
"Dec. 31, 2014",26.70%
"Sept. 30, 2014",26.06%
"June 30, 2014",25.74%
"March 31, 2014",25.82%
"Dec. 31, 2013",26.03%
"Sept. 30, 2013",25.92%
"June 30, 2013",25.46%
"March 31, 2013",25.38%
"Dec. 31, 2012",24.94%
"Sept. 30, 2012",25.60%
"June 30, 2012",26.14%
"March 31, 2012",25.71%
"Dec. 31, 2011",26.13%
"Sept. 30, 2011",26.31%
"June 30, 2011",27.32%
"March 31, 2011",27.41%
"Dec. 31, 2010",27.29%
"Sept. 30, 2010",26.83%
"June 30, 2010",26.42%
"March 31, 2010",26.18%
"Dec. 31, 2009",26.76%
"Sept. 30, 2009",27.00%
"June 30, 2009",26.39%
"March 31, 2009",26.49%
"Dec. 31, 2008",26.06%
"Sept. 30, 2008",25.36%
"June 30, 2008",24.26%
"March 31, 2008",25.92%
"Dec. 31, 2007",26.76%
"Sept. 30, 2007",26.83%
"June 30, 2007",27.32%
"March 31, 2007",27.78%
"Dec. 31, 2006",27.72%
"Sept. 30, 2006",27.47%
"June 30, 2006",26.88%
"March 31, 2006",27.23%
"Dec. 31, 2005",25.75%
"Sept. 30, 2005",24.96%
"June 30, 2005",27.54%
"March 31, 2005",27.57%
"Dec. 31, 2004",26.60%
"Sept. 30, 2004",26.05%
"June 30, 2004",26.53%
"March 31, 2004",25.89%
"Dec. 31, 2003",25.87%
"Sept. 30, 2003",27.45%
"June 30, 2003",28.50%
"March 31, 2003",29.01%
"Dec. 31, 2002",27.56%
"Sept. 30, 2002",33.86%
"June 30, 2002",34.42%
"March 31, 2002",33.27%
"Dec. 31, 2001",34.44%
"Sept. 30, 2001",34.45%
"June 30, 2001",34.72%
"March 31, 2001",35.91%
"Dec. 31, 2000",36.56%
"Sept. 30, 2000",38.02%
"June 30, 2000",38.74%
"March 31, 2000",40.36%
"Dec. 31, 1999",39.95%
"Sept. 30, 1999",39.63%
"June 30, 1999",38.74%
"March 31, 1999",42.39%
"Dec. 31, 1998",42.61%
"Sept. 30, 1998",39.89%
"June 30, 1998",38.43%
"March 31, 1998",38.94%
"Dec. 31, 1997",38.92%
"Sept. 30, 1997",37.62%
"June 30, 1997",36.62%
"March 31, 1997",36.29%
"Dec. 31, 1996",37.58%
"Sept. 30, 1996",37.13%
"June 30, 1996",36.17%
"March 31, 1996",35.77%
"Dec. 31, 1995",35.26%
"Sept. 30, 1995",34.86%
"June 30, 1995",33.59%
"March 31, 1995",33.31%
"Dec. 31, 1994",33.26%
"Sept. 30, 1994",32.41%
"June 30, 1994",31.87%
"March 31, 1994",31.91%
