date,ni_per_employee_annual
"Dec. 31, 2019",259037.8
"Dec. 31, 2018",577217.4
"Dec. 31, 2017",611363.6
"Dec. 31, 2016",328361.6
"Dec. 31, 2015",247927.9
"Dec. 31, 2014",183955.2
"Dec. 31, 2013",137266.2
"Dec. 31, 2012",132249.1
"Dec. 31, 2011",131757.5
"Dec. 31, 2010",155379.1
"Dec. 31, 2009",152358.5
"Dec. 31, 2008",154622.6
"Dec. 31, 2007",110252.1
"Dec. 31, 2006",109021.3
"Dec. 31, 2005",89207.92
"Dec. 31, 2004",91428.57
"Dec. 31, 2003",92650.43
"Dec. 31, 2002",45913.41
"Dec. 31, 2001",74988.00
"Dec. 31, 2000",68499.15
"Dec. 31, 1999",67794.96
"Dec. 31, 1998",68337.36
"Dec. 31, 1997",63064.44
"Dec. 31, 1996",54852.92
"Dec. 31, 1995",47672.41
"Dec. 31, 1994",39000.00
"Dec. 31, 1993",28966.22
"Dec. 31, 1992",30875.55
"Dec. 31, 1991",14030.69
"Dec. 31, 1990",-20504.48
