date,kz_index
"Dec. 31, 2019",1.049
"Dec. 31, 2018",
"Dec. 31, 2017",1.178
"Dec. 31, 2016",
"Dec. 31, 2015",1.160
"Dec. 31, 2014",1.332
"Dec. 31, 2013",1.386
"Dec. 31, 2012",
"Dec. 31, 2011",1.237
"Dec. 31, 2010",
"Dec. 31, 2009",
"Dec. 31, 2008",1.140
"Dec. 31, 2007",
"Dec. 31, 2006",1.137
"Dec. 31, 2005",1.102
"Dec. 31, 2004",1.224
"Dec. 31, 2003",1.242
"Dec. 31, 2002",
"Dec. 31, 2001",0.4519
"Dec. 31, 2000",0.3881
"Dec. 31, 1999",
"Dec. 31, 1998",0.0666
"Dec. 31, 1997",0.297
"Dec. 31, 1996",0.3086
"Dec. 31, 1995",0.5601
