date,market_cap
"June 10, 2019",97.43B
"June 7, 2019",97.89B
"June 6, 2019",98.55B
"June 5, 2019",98.01B
"June 4, 2019",95.49B
"June 3, 2019",95.59B
"May 31, 2019",94.93B
"May 30, 2019",95.28B
"May 29, 2019",95.17B
"May 28, 2019",96.35B
"May 24, 2019",97.40B
"May 23, 2019",97.48B
"May 22, 2019",96.71B
"May 21, 2019",95.26B
"May 20, 2019",95.48B
"May 17, 2019",95.30B
"May 16, 2019",94.40B
"May 15, 2019",93.33B
"May 14, 2019",93.34B
"May 13, 2019",93.36B
"May 10, 2019",91.84B
"May 9, 2019",90.33B
"May 8, 2019",89.98B
"May 7, 2019",90.88B
"May 6, 2019",91.43B
"May 3, 2019",92.15B
"May 2, 2019",91.82B
"May 1, 2019",92.56B
"April 30, 2019",93.12B
"April 29, 2019",91.85B
"April 26, 2019",91.82B
"April 25, 2019",91.23B
"April 24, 2019",91.03B
"April 23, 2019",90.90B
"April 22, 2019",91.18B
"April 18, 2019",90.69B
"April 17, 2019",90.83B
"April 16, 2019",90.77B
"April 15, 2019",91.55B
"April 12, 2019",91.40B
"April 11, 2019",91.02B
"April 10, 2019",90.34B
"April 9, 2019",90.86B
"April 8, 2019",90.35B
"April 5, 2019",91.04B
"April 4, 2019",90.23B
"April 3, 2019",90.67B
"April 2, 2019",90.75B
"April 1, 2019",91.23B
"March 29, 2019",92.58B
"March 28, 2019",91.91B
"March 27, 2019",92.87B
"March 26, 2019",93.38B
"March 25, 2019",92.58B
"March 22, 2019",92.73B
"March 21, 2019",91.77B
"March 20, 2019",90.79B
"March 19, 2019",90.13B
"March 18, 2019",91.27B
"March 15, 2019",91.44B
"March 14, 2019",91.32B
"March 13, 2019",91.32B
"March 12, 2019",91.28B
"March 11, 2019",90.61B
"March 8, 2019",90.23B
"March 7, 2019",89.86B
"March 6, 2019",89.69B
"March 5, 2019",90.05B
"March 4, 2019",90.01B
"March 1, 2019",89.69B
"Feb. 28, 2019",89.76B
"Feb. 27, 2019",89.33B
"Feb. 26, 2019",90.01B
"Feb. 25, 2019",89.84B
"Feb. 22, 2019",89.96B
"Feb. 21, 2019",89.21B
"Feb. 20, 2019",88.77B
"Feb. 19, 2019",88.64B
"Feb. 15, 2019",88.00B
"Feb. 14, 2019",87.32B
"Feb. 13, 2019",87.43B
"Feb. 12, 2019",87.63B
"Feb. 11, 2019",87.51B
"Feb. 8, 2019",87.51B
"Feb. 7, 2019",86.72B
"Feb. 6, 2019",85.16B
"Feb. 5, 2019",85.20B
"Feb. 4, 2019",85.16B
"Feb. 1, 2019",85.03B
"Jan. 31, 2019",85.58B
"Jan. 30, 2019",82.98B
"Jan. 29, 2019",82.63B
"Jan. 28, 2019",82.44B
"Jan. 25, 2019",83.27B
"Jan. 24, 2019",86.17B
"Jan. 23, 2019",85.74B
"Jan. 22, 2019",84.79B
"Jan. 18, 2019",84.17B
"Jan. 17, 2019",83.88B
"Jan. 16, 2019",83.50B
"Jan. 15, 2019",83.52B
"Jan. 14, 2019",81.85B
"Jan. 11, 2019",83.99B
"Jan. 10, 2019",83.84B
"Jan. 9, 2019",82.59B
"Jan. 8, 2019",82.95B
"Jan. 7, 2019",82.35B
"Jan. 4, 2019",82.47B
"Jan. 3, 2019",80.98B
"Jan. 2, 2019",81.18B
"Dec. 31, 2018",83.09B
"Dec. 28, 2018",82.55B
"Dec. 27, 2018",82.28B
"Dec. 26, 2018",81.41B
"Dec. 24, 2018",80.33B
"Dec. 21, 2018",83.22B
"Dec. 20, 2018",83.60B
"Dec. 19, 2018",83.41B
"Dec. 18, 2018",84.12B
"Dec. 17, 2018",83.95B
"Dec. 14, 2018",86.62B
"Dec. 13, 2018",87.08B
"Dec. 12, 2018",86.66B
"Dec. 11, 2018",87.45B
"Dec. 10, 2018",87.28B
"Dec. 7, 2018",87.40B
"Dec. 6, 2018",87.30B
"Dec. 4, 2018",87.07B
"Dec. 3, 2018",87.22B
"Nov. 30, 2018",86.85B
"Nov. 29, 2018",84.65B
"Nov. 28, 2018",85.10B
"Nov. 27, 2018",85.07B
"Nov. 26, 2018",84.61B
"Nov. 23, 2018",84.75B
"Nov. 21, 2018",84.20B
"Nov. 20, 2018",85.44B
"Nov. 19, 2018",86.99B
"Nov. 16, 2018",86.22B
"Nov. 15, 2018",85.64B
"Nov. 14, 2018",84.51B
"Nov. 13, 2018",85.39B
"Nov. 12, 2018",85.31B
"Nov. 9, 2018",84.39B
"Nov. 8, 2018",83.14B
"Nov. 7, 2018",82.94B
"Nov. 6, 2018",81.95B
"Nov. 5, 2018",81.59B
"Nov. 2, 2018",80.37B
"Nov. 1, 2018",81.48B
"Oct. 31, 2018",82.45B
"Oct. 30, 2018",82.95B
"Oct. 29, 2018",82.58B
"Oct. 26, 2018",81.20B
"Oct. 25, 2018",82.78B
"Oct. 24, 2018",83.93B
"Oct. 23, 2018",81.55B
"Oct. 22, 2018",82.52B
"Oct. 19, 2018",82.90B
"Oct. 18, 2018",82.00B
"Oct. 17, 2018",81.64B
"Oct. 16, 2018",81.87B
"Oct. 15, 2018",81.08B
"Oct. 12, 2018",80.94B
"Oct. 11, 2018",80.82B
"Oct. 10, 2018",82.57B
"Oct. 9, 2018",83.03B
"Oct. 8, 2018",82.84B
"Oct. 5, 2018",82.38B
"Oct. 4, 2018",80.89B
"Oct. 3, 2018",80.41B
"Oct. 2, 2018",80.94B
"Oct. 1, 2018",79.81B
"Sept. 28, 2018",79.04B
"Sept. 27, 2018",78.09B
"Sept. 26, 2018",77.56B
"Sept. 25, 2018",78.69B
"Sept. 24, 2018",79.61B
"Sept. 21, 2018",80.53B
"Sept. 20, 2018",79.83B
"Sept. 19, 2018",79.78B
"Sept. 18, 2018",81.80B
"Sept. 17, 2018",81.99B
"Sept. 14, 2018",81.89B
"Sept. 13, 2018",82.34B
"Sept. 12, 2018",81.35B
"Sept. 11, 2018",81.19B
"Sept. 10, 2018",81.13B
"Sept. 7, 2018",81.16B
"Sept. 6, 2018",81.97B
"Sept. 5, 2018",80.94B
"Sept. 4, 2018",80.19B
"Aug. 31, 2018",80.22B
"Aug. 30, 2018",80.56B
"Aug. 29, 2018",80.42B
"Aug. 28, 2018",80.44B
"Aug. 27, 2018",80.86B
"Aug. 24, 2018",81.45B
"Aug. 23, 2018",80.94B
"Aug. 22, 2018",80.98B
"Aug. 21, 2018",81.41B
"Aug. 20, 2018",82.20B
"Aug. 17, 2018",82.61B
"Aug. 16, 2018",82.43B
"Aug. 15, 2018",81.48B
"Aug. 14, 2018",81.09B
"Aug. 13, 2018",80.79B
"Aug. 10, 2018",80.61B
"Aug. 9, 2018",80.57B
"Aug. 8, 2018",80.21B
"Aug. 7, 2018",80.47B
"Aug. 6, 2018",80.65B
"Aug. 3, 2018",80.72B
"Aug. 2, 2018",79.91B
"Aug. 1, 2018",79.18B
"July 31, 2018",79.01B
"July 30, 2018",78.39B
"July 27, 2018",78.75B
"July 26, 2018",79.31B
"July 25, 2018",79.11B
"July 24, 2018",80.27B
"July 23, 2018",79.62B
"July 20, 2018",80.16B
"July 19, 2018",80.29B
"July 18, 2018",79.90B
"July 17, 2018",80.27B
"July 16, 2018",79.94B
"July 13, 2018",79.95B
"July 12, 2018",79.46B
"July 11, 2018",79.42B
"July 10, 2018",78.97B
"July 9, 2018",77.97B
"July 6, 2018",80.32B
"July 5, 2018",79.48B
"July 3, 2018",79.49B
"July 2, 2018",79.71B
"June 29, 2018",78.74B
"June 28, 2018",78.64B
"June 27, 2018",79.24B
"June 26, 2018",78.62B
"June 25, 2018",78.45B
"June 22, 2018",77.46B
"June 21, 2018",77.02B
"June 20, 2018",76.70B
"June 19, 2018",76.84B
"June 18, 2018",75.62B
"June 15, 2018",75.21B
"June 14, 2018",74.87B
"June 13, 2018",74.08B
"June 12, 2018",74.21B
"June 11, 2018",73.26B
"June 8, 2018",73.92B
"June 7, 2018",73.72B
"June 6, 2018",73.61B
"June 5, 2018",75.10B
"June 4, 2018",75.98B
"June 1, 2018",76.88B
"May 31, 2018",78.17B
"May 30, 2018",77.91B
"May 29, 2018",77.19B
"May 25, 2018",76.57B
"May 24, 2018",76.00B
"May 23, 2018",75.56B
"May 22, 2018",75.16B
"May 21, 2018",75.53B
"May 18, 2018",73.76B
"May 17, 2018",73.74B
"May 16, 2018",74.10B
"May 15, 2018",74.89B
"May 14, 2018",75.52B
"May 11, 2018",75.78B
"May 10, 2018",75.54B
"May 9, 2018",74.62B
"May 8, 2018",75.39B
"May 7, 2018",77.01B
"May 4, 2018",77.36B
"May 3, 2018",76.87B
"May 2, 2018",77.06B
"May 1, 2018",76.95B
"April 30, 2018",77.27B
"April 27, 2018",77.30B
"April 26, 2018",76.94B
"April 25, 2018",75.59B
"April 24, 2018",76.45B
"April 23, 2018",75.96B
"April 20, 2018",75.80B
"April 19, 2018",76.63B
"April 18, 2018",76.78B
"April 17, 2018",76.95B
"April 16, 2018",76.43B
"April 13, 2018",75.53B
"April 12, 2018",74.99B
"April 11, 2018",75.92B
"April 10, 2018",76.28B
"April 9, 2018",76.43B
"April 6, 2018",76.73B
"April 5, 2018",77.32B
"April 4, 2018",76.53B
"April 3, 2018",76.37B
"April 2, 2018",76.55B
"March 29, 2018",77.00B
"March 28, 2018",76.50B
"March 27, 2018",76.65B
"March 26, 2018",76.10B
"March 23, 2018",75.09B
"March 22, 2018",76.22B
"March 21, 2018",75.36B
"March 20, 2018",75.52B
"March 19, 2018",75.29B
"March 16, 2018",75.82B
"March 15, 2018",74.45B
"March 14, 2018",74.39B
"March 13, 2018",72.82B
"March 12, 2018",72.69B
"March 9, 2018",72.88B
"March 8, 2018",72.65B
"March 7, 2018",72.06B
"March 6, 2018",72.15B
"March 5, 2018",72.98B
"March 2, 2018",71.96B
"March 1, 2018",72.14B
"Feb. 28, 2018",71.63B
"Feb. 27, 2018",71.41B
"Feb. 26, 2018",72.81B
"Feb. 23, 2018",73.57B
"Feb. 22, 2018",71.71B
"Feb. 21, 2018",71.45B
"Feb. 20, 2018",72.41B
"Feb. 16, 2018",73.47B
"Feb. 15, 2018",72.70B
"Feb. 14, 2018",70.66B
"Feb. 13, 2018",71.12B
"Feb. 12, 2018",70.62B
"Feb. 9, 2018",69.72B
"Feb. 8, 2018",68.40B
"Feb. 7, 2018",69.72B
"Feb. 6, 2018",70.41B
"Feb. 5, 2018",72.64B
"Feb. 2, 2018",73.41B
"Feb. 1, 2018",73.60B
"Jan. 31, 2018",74.58B
"Jan. 30, 2018",73.05B
"Jan. 29, 2018",73.33B
"Jan. 26, 2018",74.27B
"Jan. 25, 2018",72.11B
"Jan. 24, 2018",71.05B
"Jan. 23, 2018",71.93B
"Jan. 22, 2018",70.66B
"Jan. 19, 2018",70.73B
"Jan. 18, 2018",71.02B
"Jan. 17, 2018",71.54B
"Jan. 16, 2018",70.90B
"Jan. 12, 2018",70.80B
"Jan. 11, 2018",70.89B
"Jan. 10, 2018",70.93B
"Jan. 9, 2018",71.52B
"Jan. 8, 2018",72.04B
"Jan. 5, 2018",71.46B
"Jan. 4, 2018",71.13B
"Jan. 3, 2018",71.50B
"Jan. 2, 2018",73.05B
"Dec. 29, 2017",73.47B
"Dec. 28, 2017",73.55B
"Dec. 27, 2017",73.05B
"Dec. 26, 2017",72.44B
"Dec. 22, 2017",72.70B
"Dec. 21, 2017",72.67B
"Dec. 20, 2017",72.27B
"Dec. 19, 2017",72.49B
"Dec. 18, 2017",73.55B
"Dec. 15, 2017",74.53B
"Dec. 14, 2017",74.31B
"Dec. 13, 2017",73.60B
"Dec. 12, 2017",73.89B
"Dec. 11, 2017",74.91B
"Dec. 8, 2017",74.81B
"Dec. 7, 2017",74.41B
"Dec. 6, 2017",74.22B
"Dec. 5, 2017",73.21B
"Dec. 4, 2017",73.37B
"Dec. 1, 2017",74.07B
"Nov. 30, 2017",74.34B
"Nov. 29, 2017",74.21B
"Nov. 28, 2017",74.22B
"Nov. 27, 2017",73.85B
"Nov. 24, 2017",73.40B
"Nov. 22, 2017",73.00B
"Nov. 21, 2017",73.48B
"Nov. 20, 2017",73.34B
"Nov. 17, 2017",73.40B
"Nov. 16, 2017",73.99B
"Nov. 15, 2017",74.02B
"Nov. 14, 2017",74.51B
"Nov. 13, 2017",73.75B
"Nov. 10, 2017",72.99B
"Nov. 9, 2017",73.03B
"Nov. 8, 2017",72.87B
"Nov. 7, 2017",73.14B
"Nov. 6, 2017",71.43B
"Nov. 3, 2017",71.81B
"Nov. 2, 2017",70.49B
"Nov. 1, 2017",72.15B
"Oct. 31, 2017",72.94B
"Oct. 30, 2017",73.08B
"Oct. 27, 2017",73.31B
"Oct. 26, 2017",72.15B
"Oct. 25, 2017",72.38B
"Oct. 24, 2017",72.54B
"Oct. 23, 2017",72.62B
"Oct. 20, 2017",72.52B
"Oct. 19, 2017",72.38B
"Oct. 18, 2017",71.75B
"Oct. 17, 2017",71.82B
"Oct. 16, 2017",71.27B
"Oct. 13, 2017",70.82B
"Oct. 12, 2017",70.89B
"Oct. 11, 2017",70.50B
"Oct. 10, 2017",70.10B
"Oct. 9, 2017",69.57B
"Oct. 6, 2017",69.37B
"Oct. 5, 2017",69.51B
"Oct. 4, 2017",69.89B
"Oct. 3, 2017",69.10B
"Oct. 2, 2017",69.03B
"Sept. 29, 2017",68.77B
