date,sustainable_growth_rate
"Dec. 31, 2019",3.84%
"Sept. 30, 2019",2.55%
"June 30, 2019",3.20%
"March 31, 2019",2.11%
"Dec. 31, 2018",13.98%
"Sept. 30, 2018",20.51%
"June 30, 2018",21.34%
"March 31, 2018",22.77%
"Dec. 31, 2017",13.55%
"Sept. 30, 2017",9.49%
"June 30, 2017",9.61%
"March 31, 2017",9.03%
"Dec. 31, 2016",5.53%
"Sept. 30, 2016",3.89%
"June 30, 2016",4.78%
"March 31, 2016",5.99%
"Dec. 31, 2015",6.42%
"Sept. 30, 2015",8.68%
"June 30, 2015",8.08%
"March 31, 2015",7.32%
"Dec. 31, 2014",6.45%
"Sept. 30, 2014",3.73%
"June 30, 2014",4.24%
"March 31, 2014",5.25%
"Dec. 31, 2013",4.65%
"Sept. 30, 2013",5.60%
"June 30, 2013",4.13%
"March 31, 2013",4.35%
"Dec. 31, 2012",5.83%
"Sept. 30, 2012",7.60%
"June 30, 2012",7.80%
"March 31, 2012",7.89%
"Dec. 31, 2011",6.79%
"Sept. 30, 2011",4.26%
"June 30, 2011",6.69%
"March 31, 2011",5.85%
"Dec. 31, 2010",8.28%
"Sept. 30, 2010",9.24%
"June 30, 2010",8.18%
"March 31, 2010",8.12%
"Dec. 31, 2009",6.89%
"Sept. 30, 2009",7.65%
"June 30, 2009",10.12%
"March 31, 2009",9.08%
"Dec. 31, 2008",8.37%
"Sept. 30, 2008",6.98%
"June 30, 2008",5.02%
"March 31, 2008",7.12%
"Dec. 31, 2007",6.41%
"Sept. 30, 2007",7.15%
"June 30, 2007",7.47%
"March 31, 2007",6.04%
"Dec. 31, 2006",7.49%
"Sept. 30, 2006",7.35%
"June 30, 2006",5.55%
"March 31, 2006",5.43%
"Dec. 31, 2005",4.38%
"Sept. 30, 2005",4.17%
"June 30, 2005",4.22%
"March 31, 2005",5.42%
"Dec. 31, 2004",5.93%
"Sept. 30, 2004",1.27%
"June 30, 2004",6.27%
"March 31, 2004",6.21%
"Dec. 31, 2003",6.95%
"Sept. 30, 2003",11.77%
"June 30, 2003",4.31%
"March 31, 2003",3.17%
"Dec. 31, 2002",1.19%
"Sept. 30, 2002",1.18%
"June 30, 2002",1.22%
"March 31, 2002",5.57%
"Dec. 31, 2001",6.98%
"Sept. 30, 2001",6.15%
"June 30, 2001",9.33%
"March 31, 2001",6.15%
"Dec. 31, 2000",6.14%
"Sept. 30, 2000",7.25%
"June 30, 2000",7.02%
"March 31, 2000",4.55%
"Dec. 31, 1999",6.52%
"Sept. 30, 1999",6.10%
"June 30, 1999",6.16%
"March 31, 1999",8.26%
"Dec. 31, 1998",6.41%
"Sept. 30, 1998",6.48%
"June 30, 1998",6.17%
"March 31, 1998",6.07%
"Dec. 31, 1997",6.05%
"Sept. 30, 1997",6.08%
"June 30, 1997",6.00%
"March 31, 1997",5.83%
"Dec. 31, 1996",5.78%
"Sept. 30, 1996",5.65%
"June 30, 1996",5.59%
"March 31, 1996",5.44%
"Dec. 31, 1995",5.70%
"Sept. 30, 1995",5.86%
"June 30, 1995",5.58%
"March 31, 1995",5.35%
"Dec. 31, 1994",4.43%
"Sept. 30, 1994",6.47%
