date,capex_ttm
"Dec. 31, 2019",11.08B
"Sept. 30, 2019",11.26B
"June 30, 2019",10.65B
"March 31, 2019",10.56B
"Dec. 31, 2018",5.959B
"Sept. 30, 2018",5.928B
"June 30, 2018",5.277B
"March 31, 2018",4.851B
"Dec. 31, 2017",5.405B
"Sept. 30, 2017",4.83B
"June 30, 2017",4.724B
"March 31, 2017",4.817B
"Dec. 31, 2016",4.24B
"Sept. 30, 2016",4.385B
"June 30, 2016",4.452B
"March 31, 2016",4.311B
"Dec. 31, 2015",3.872B
"Sept. 30, 2015",3.648B
"June 30, 2015",3.393B
"March 31, 2015",3.141B
"Dec. 31, 2014",3.429B
"Sept. 30, 2014",3.376B
"June 30, 2014",3.363B
"March 31, 2014",3.423B
"Dec. 31, 2013",3.204B
"Sept. 30, 2013",3.621B
"June 30, 2013",3.94B
"March 31, 2013",4.491B
"Dec. 31, 2012",4.87B
"Sept. 30, 2012",5.028B
"June 30, 2012",4.815B
"March 31, 2012",4.49B
"Dec. 31, 2011",4.027B
"Sept. 30, 2011",3.358B
"June 30, 2011",3.144B
"March 31, 2011",2.912B
"Dec. 31, 2010",2.947B
"Sept. 30, 2010",3.034B
"June 30, 2010",3.181B
"March 31, 2010",3.13B
"Dec. 31, 2009",2.938B
"Sept. 30, 2009",2.98B
"June 30, 2009",1.471B
"March 31, 2009",2.526B
"Dec. 31, 2008",2.521B
"Sept. 30, 2008",2.243B
"June 30, 2008",3.355B
"March 31, 2008",1.947B
"Dec. 31, 2007",1.857B
"Sept. 30, 2007",1.814B
"June 30, 2007",609.00M
"March 31, 2007",1.837B
"Dec. 31, 2006",1.826B
"Sept. 30, 2006",1.804B
"June 30, 2006",2.893B
"March 31, 2006",1.777B
"Dec. 31, 2005",1.629B
"Sept. 30, 2005",1.698B
"June 30, 2005",1.584B
"March 31, 2005",1.533B
"Dec. 31, 2004",1.535B
"Sept. 30, 2004",1.43B
"June 30, 2004",1.56B
"March 31, 2004",1.493B
"Dec. 31, 2003",1.391B
"Sept. 30, 2003",1.42B
"June 30, 2003",1.352B
"March 31, 2003",1.308B
"Dec. 31, 2002",1.277B
"Sept. 30, 2002",1.107B
"June 30, 2002",1.117B
"March 31, 2002",1.09B
"Dec. 31, 2001",1.154B
"Sept. 30, 2001",1.234B
"June 30, 2001",1.234B
"March 31, 2001",1.331B
"Dec. 31, 2000",1.299B
"Sept. 30, 2000",1.169B
"June 30, 2000",1.143B
"March 31, 2000",982.00M
"Dec. 31, 1999",861.00M
"Sept. 30, 1999",750.00M
"June 30, 1999",668.00M
"March 31, 1999",638.00M
"Dec. 31, 1998",617.00M
"Sept. 30, 1998",670.00M
"June 30, 1998",648.00M
"March 31, 1998",600.00M
"Dec. 31, 1997",551.00M
"Sept. 30, 1997",485.10M
"June 30, 1997",465.00M
"March 31, 1997",468.50M
"Dec. 31, 1996",474.00M
"Sept. 30, 1996",514.90M
"June 30, 1996",553.50M
"March 31, 1996",653.40M
"Dec. 31, 1995",670.80M
"Sept. 30, 1995",715.90M
"June 30, 1995",701.80M
"March 31, 1995",758.10M
"Dec. 31, 1994",758.70M
"Sept. 30, 1994",542.60M
"June 30, 1994",413.20M
"March 31, 1994",133.50M
