date,operating_earning_yield
"March 19, 2020",5.05%
"March 18, 2020",4.96%
"March 17, 2020",4.71%
"March 16, 2020",5.19%
"March 13, 2020",4.72%
"March 12, 2020",5.00%
"March 11, 2020",4.33%
"March 10, 2020",4.09%
"March 9, 2020",4.00%
"March 6, 2020",3.85%
"March 5, 2020",3.78%
"March 4, 2020",3.70%
"March 3, 2020",3.94%
"March 2, 2020",3.90%
"Feb. 28, 2020",4.14%
"Feb. 27, 2020",4.09%
"Feb. 26, 2020",3.88%
"Feb. 25, 2020",3.87%
"Feb. 24, 2020",3.82%
"Feb. 21, 2020",3.77%
"Feb. 20, 2020",3.77%
"Feb. 19, 2020",3.81%
"Feb. 18, 2020",3.71%
"Feb. 14, 2020",3.75%
"Feb. 13, 2020",3.79%
"Feb. 12, 2020",3.87%
"Feb. 11, 2020",3.84%
"Feb. 10, 2020",3.85%
"Feb. 7, 2020",3.88%
"Feb. 6, 2020",3.90%
"Feb. 5, 2020",3.92%
"Feb. 4, 2020",3.95%
"Feb. 3, 2020",3.92%
"Jan. 31, 2020",3.90%
"Jan. 30, 2020",3.87%
"Jan. 29, 2020",3.93%
"Jan. 28, 2020",3.93%
"Jan. 27, 2020",3.92%
"Jan. 24, 2020",3.96%
"Jan. 23, 2020",4.02%
"Jan. 22, 2020",4.02%
"Jan. 21, 2020",4.07%
"Jan. 17, 2020",4.12%
"Jan. 16, 2020",4.14%
"Jan. 15, 2020",4.15%
"Jan. 14, 2020",4.22%
"Jan. 13, 2020",4.24%
"Jan. 10, 2020",4.29%
"Jan. 9, 2020",4.30%
"Jan. 8, 2020",4.33%
"Jan. 7, 2020",4.33%
"Jan. 6, 2020",4.33%
"Jan. 3, 2020",4.35%
"Jan. 2, 2020",4.38%
"Dec. 31, 2019",4.32%
"Dec. 30, 2019",4.49%
"Dec. 27, 2019",4.47%
"Dec. 26, 2019",4.48%
"Dec. 24, 2019",4.51%
"Dec. 23, 2019",4.54%
"Dec. 20, 2019",4.47%
"Dec. 19, 2019",4.51%
