date,operating_margin_ttm
"Dec. 31, 2019",26.43%
"Sept. 30, 2019",27.55%
"June 30, 2019",25.79%
"March 31, 2019",25.52%
"Dec. 31, 2018",25.37%
"Sept. 30, 2018",23.30%
"June 30, 2018",25.06%
"March 31, 2018",25.50%
"Dec. 31, 2017",26.59%
"Sept. 30, 2017",26.62%
"June 30, 2017",26.92%
"March 31, 2017",25.67%
"Dec. 31, 2016",25.73%
"Sept. 30, 2016",26.85%
"June 30, 2016",27.15%
"March 31, 2016",27.68%
"Dec. 31, 2015",26.66%
"Sept. 30, 2015",29.20%
"June 30, 2015",27.87%
"March 31, 2015",27.22%
"Dec. 31, 2014",25.59%
"Sept. 30, 2014",21.84%
"June 30, 2014",22.34%
"March 31, 2014",22.82%
"Dec. 31, 2013",23.39%
"Sept. 30, 2013",24.40%
"June 30, 2013",22.25%
"March 31, 2013",22.64%
"Dec. 31, 2012",22.98%
"Sept. 30, 2012",24.14%
"June 30, 2012",24.40%
"March 31, 2012",23.67%
"Dec. 31, 2011",21.59%
"Sept. 30, 2011",18.60%
"June 30, 2011",19.63%
"March 31, 2011",18.44%
"Dec. 31, 2010",21.19%
"Sept. 30, 2010",21.40%
"June 30, 2010",19.91%
"March 31, 2010",18.96%
"Dec. 31, 2009",16.58%
"Sept. 30, 2009",17.15%
"June 30, 2009",19.11%
"March 31, 2009",17.61%
"Dec. 31, 2008",17.05%
"Sept. 30, 2008",15.62%
"June 30, 2008",13.59%
"March 31, 2008",15.54%
"Dec. 31, 2007",14.96%
"Sept. 30, 2007",14.33%
"June 30, 2007",14.04%
"March 31, 2007",12.64%
"Dec. 31, 2006",13.35%
"Sept. 30, 2006",14.15%
"June 30, 2006",13.12%
"March 31, 2006",13.52%
"Dec. 31, 2005",12.81%
"Sept. 30, 2005",12.47%
"June 30, 2005",12.74%
"March 31, 2005",13.93%
"Dec. 31, 2004",14.33%
"Sept. 30, 2004",14.48%
"June 30, 2004",15.19%
"March 31, 2004",15.00%
"Dec. 31, 2003",15.72%
"Sept. 30, 2003",16.43%
"June 30, 2003",13.84%
"March 31, 2003",14.32%
"Dec. 31, 2002",14.27%
"Sept. 30, 2002",14.95%
"June 30, 2002",18.01%
"March 31, 2002",17.56%
"Dec. 31, 2001",17.16%
"Sept. 30, 2001",15.38%
"June 30, 2001",15.86%
"March 31, 2001",16.47%
"Dec. 31, 2000",17.52%
"Sept. 30, 2000",21.62%
"June 30, 2000",21.63%
"March 31, 2000",18.56%
"Dec. 31, 1999",20.58%
"Sept. 30, 1999",17.54%
"June 30, 1999",18.13%
"March 31, 1999",20.63%
"Dec. 31, 1998",18.77%
"Sept. 30, 1998",19.67%
"June 30, 1998",19.10%
"March 31, 1998",19.48%
"Dec. 31, 1997",19.27%
"Sept. 30, 1997",18.95%
"June 30, 1997",19.15%
"March 31, 1997",19.14%
"Dec. 31, 1996",19.39%
"Sept. 30, 1996",19.62%
"June 30, 1996",20.05%
"March 31, 1996",20.30%
"Dec. 31, 1995",21.41%
"Sept. 30, 1995",21.86%
"June 30, 1995",21.79%
"March 31, 1995",21.44%
"Dec. 31, 1994",21.18%
"Sept. 30, 1994",40.67%
"June 30, 1994",61.54%
"March 31, 1994",82.40%
