date,ebitda_ttm
"Dec. 31, 2019",10.56B
"Sept. 30, 2019",10.44B
"June 30, 2019",9.942B
"March 31, 2019",9.017B
"Dec. 31, 2018",13.00B
"Sept. 30, 2018",11.17B
"June 30, 2018",11.50B
"March 31, 2018",11.78B
"Dec. 31, 2017",8.857B
"Sept. 30, 2017",10.56B
"June 30, 2017",10.46B
"March 31, 2017",10.16B
"Dec. 31, 2016",8.903B
"Sept. 30, 2016",8.78B
"June 30, 2016",8.647B
"March 31, 2016",8.565B
"Dec. 31, 2015",8.403B
"Sept. 30, 2015",8.942B
"June 30, 2015",8.56B
"March 31, 2015",8.245B
"Dec. 31, 2014",7.804B
"Sept. 30, 2014",6.851B
"June 30, 2014",6.693B
"March 31, 2014",6.591B
"Dec. 31, 2013",6.095B
"Sept. 30, 2013",5.875B
"June 30, 2013",5.251B
"March 31, 2013",5.097B
"Dec. 31, 2012",5.419B
"Sept. 30, 2012",5.742B
"June 30, 2012",5.798B
"March 31, 2012",5.722B
"Dec. 31, 2011",5.335B
"Sept. 30, 2011",4.788B
"June 30, 2011",5.194B
"March 31, 2011",4.937B
"Dec. 31, 2010",5.539B
"Sept. 30, 2010",5.662B
"June 30, 2010",5.27B
"March 31, 2010",5.225B
"Dec. 31, 2009",4.794B
"Sept. 30, 2009",5.033B
"June 30, 2009",5.298B
"March 31, 2009",4.863B
"Dec. 31, 2008",4.634B
"Sept. 30, 2008",4.056B
"June 30, 2008",3.637B
"March 31, 2008",3.947B
"Dec. 31, 2007",3.762B
"Sept. 30, 2007",3.617B
"June 30, 2007",3.724B
"March 31, 2007",3.465B
"Dec. 31, 2006",3.631B
"Sept. 30, 2006",3.712B
"June 30, 2006",3.414B
"March 31, 2006",3.352B
"Dec. 31, 2005",3.11B
"Sept. 30, 2005",2.929B
"June 30, 2005",2.689B
"March 31, 2005",2.752B
"Dec. 31, 2004",2.754B
"Sept. 30, 2004",2.741B
"June 30, 2004",2.767B
"March 31, 2004",2.684B
"Dec. 31, 2003",2.662B
"Sept. 30, 2003",2.576B
"June 30, 2003",2.208B
"March 31, 2003",2.163B
"Dec. 31, 2002",2.13B
"Sept. 30, 2002",2.152B
"June 30, 2002",2.446B
"March 31, 2002",2.432B
"Dec. 31, 2001",2.392B
"Sept. 30, 2001",2.306B
"June 30, 2001",2.268B
"March 31, 2001",2.256B
"Dec. 31, 2000",2.272B
"Sept. 30, 2000",2.492B
"June 30, 2000",2.459B
"March 31, 2000",2.225B
"Dec. 31, 1999",2.365B
"Sept. 30, 1999",2.29B
"June 30, 1999",2.417B
"March 31, 1999",2.703B
"Dec. 31, 1998",2.534B
"Sept. 30, 1998",2.455B
"June 30, 1998",2.343B
"March 31, 1998",2.261B
"Dec. 31, 1997",2.287B
"Sept. 30, 1997",2.198B
"June 30, 1997",2.185B
"March 31, 1997",2.133B
"Dec. 31, 1996",2.131B
"Sept. 30, 1996",2.169B
"June 30, 1996",2.113B
"March 31, 1996",2.157B
"Dec. 31, 1995",2.115B
"Sept. 30, 1995",2.063B
"June 30, 1995",2.036B
"March 31, 1995",1.920B
"Dec. 31, 1994",1.872B
"Sept. 30, 1994",2.725B
"June 30, 1994",3.694B
"March 31, 1994",4.586B
"Dec. 31, 1993",5.317B
"Sept. 30, 1993",5.356B
"June 30, 1993",5.323B
"March 31, 1993",5.235B
"Dec. 31, 1992",5.196B
"Sept. 30, 1992",5.106B
"June 30, 1992",5.055B
"March 31, 1992",5.180B
"Dec. 31, 1991",5.249B
"Sept. 30, 1991",5.650B
"June 30, 1991",5.906B
"March 31, 1991",6.095B
"Dec. 31, 1990",6.289B
"Sept. 30, 1990",6.179B
"June 30, 1990",6.217B
"March 31, 1990",6.172B
"Dec. 31, 1989",6.180B
"Sept. 30, 1989",6.931B
"June 30, 1989",6.503B
"March 31, 1989",6.147B
"Dec. 31, 1988",5.854B
"Sept. 30, 1988",4.731B
"June 30, 1988",4.655B
"March 31, 1988",4.543B
"Dec. 31, 1987",4.439B
"Sept. 30, 1987",4.318B
"June 30, 1987",4.18B
"March 31, 1987",4.117B
"Dec. 31, 1986",4.092B
"Sept. 30, 1986",4.145B
"June 30, 1986",4.237B
"March 31, 1986",4.301B
"Dec. 31, 1985",4.349B
"Sept. 30, 1985",4.221B
"June 30, 1985",4.175B
"March 31, 1985",4.080B
"Dec. 31, 1984",3.941B
