date,max_drawdown_all
"April 30, 2003",67.35%
"March 31, 2003",67.35%
"Feb. 28, 2003",67.35%
"Jan. 31, 2003",67.35%
"Dec. 31, 2002",67.35%
"Nov. 30, 2002",67.35%
"Oct. 31, 2002",67.35%
"Sept. 30, 2002",67.35%
"Aug. 31, 2002",67.35%
"July 31, 2002",67.35%
"June 30, 2002",67.35%
"May 31, 2002",67.35%
"April 30, 2002",67.35%
"March 31, 2002",67.35%
"Feb. 28, 2002",67.35%
"Jan. 31, 2002",67.35%
"Dec. 31, 2001",67.35%
"Nov. 30, 2001",67.35%
"Oct. 31, 2001",67.35%
"Sept. 30, 2001",67.35%
"Aug. 31, 2001",67.35%
"July 31, 2001",67.35%
"June 30, 2001",67.35%
"May 31, 2001",67.35%
"April 30, 2001",67.35%
"March 31, 2001",67.35%
"Feb. 28, 2001",67.35%
"Jan. 31, 2001",67.35%
"Dec. 31, 2000",67.35%
"Nov. 30, 2000",67.35%
"Oct. 31, 2000",67.35%
"Sept. 30, 2000",67.35%
"Aug. 31, 2000",67.35%
"July 31, 2000",67.35%
"June 30, 2000",67.35%
"May 31, 2000",67.35%
"April 30, 2000",67.35%
"March 31, 2000",67.35%
"Feb. 29, 2000",67.35%
"Jan. 31, 2000",67.35%
"Dec. 31, 1999",67.35%
"Nov. 30, 1999",67.35%
"Oct. 31, 1999",67.35%
"Sept. 30, 1999",67.35%
"Aug. 31, 1999",67.35%
"July 31, 1999",67.35%
"June 30, 1999",67.35%
"May 31, 1999",67.35%
"April 30, 1999",67.35%
"March 31, 1999",67.35%
"Feb. 28, 1999",67.35%
"Jan. 31, 1999",67.35%
"Dec. 31, 1998",67.35%
"Nov. 30, 1998",67.35%
"Oct. 31, 1998",67.35%
"Sept. 30, 1998",67.35%
"Aug. 31, 1998",67.35%
"July 31, 1998",67.35%
"June 30, 1998",67.35%
"May 31, 1998",67.35%
"April 30, 1998",67.35%
"March 31, 1998",67.35%
"Feb. 28, 1998",67.35%
"Jan. 31, 1998",67.35%
"Dec. 31, 1997",67.35%
"Nov. 30, 1997",67.35%
"Oct. 31, 1997",67.35%
"Sept. 30, 1997",67.35%
"Aug. 31, 1997",67.35%
"July 31, 1997",67.35%
"June 30, 1997",67.35%
"May 31, 1997",67.35%
"April 30, 1997",67.35%
"March 31, 1997",67.35%
"Feb. 28, 1997",67.35%
"Jan. 31, 1997",67.35%
"Dec. 31, 1996",67.35%
