date,return_on_invested_capital
"Dec. 31, 2019",4.72%
"Sept. 30, 2019",4.17%
"June 30, 2019",4.49%
"March 31, 2019",4.01%
"Dec. 31, 2018",9.58%
"Sept. 30, 2018",12.55%
"June 30, 2018",12.63%
"March 31, 2018",12.99%
"Dec. 31, 2017",8.83%
"Sept. 30, 2017",7.05%
"June 30, 2017",7.03%
"March 31, 2017",6.72%
"Dec. 31, 2016",5.23%
"Sept. 30, 2016",4.47%
"June 30, 2016",4.78%
"March 31, 2016",5.23%
"Dec. 31, 2015",5.37%
"Sept. 30, 2015",6.21%
"June 30, 2015",5.89%
"March 31, 2015",5.52%
"Dec. 31, 2014",5.14%
"Sept. 30, 2014",4.02%
"June 30, 2014",4.17%
"March 31, 2014",4.50%
"Dec. 31, 2013",4.24%
"Sept. 30, 2013",4.55%
"June 30, 2013",4.01%
"March 31, 2013",4.11%
"Dec. 31, 2012",4.70%
"Sept. 30, 2012",5.45%
"June 30, 2012",5.59%
"March 31, 2012",5.66%
"Dec. 31, 2011",5.26%
"Sept. 30, 2011",4.23%
"June 30, 2011",5.21%
"March 31, 2011",4.81%
"Dec. 31, 2010",5.78%
"Sept. 30, 2010",6.20%
"June 30, 2010",5.80%
"March 31, 2010",5.83%
"Dec. 31, 2009",5.39%
"Sept. 30, 2009",5.71%
"June 30, 2009",6.77%
"March 31, 2009",6.43%
"Dec. 31, 2008",6.22%
"Sept. 30, 2008",5.71%
"June 30, 2008",4.98%
"March 31, 2008",5.96%
"Dec. 31, 2007",5.66%
"Sept. 30, 2007",6.01%
"June 30, 2007",6.17%
"March 31, 2007",5.53%
"Dec. 31, 2006",6.15%
"Sept. 30, 2006",6.17%
"June 30, 2006",5.42%
"March 31, 2006",5.42%
"Dec. 31, 2005",4.98%
"Sept. 30, 2005",4.85%
"June 30, 2005",4.82%
"March 31, 2005",5.20%
"Dec. 31, 2004",5.26%
"Sept. 30, 2004",5.05%
"June 30, 2004",5.20%
"March 31, 2004",5.20%
"Dec. 31, 2003",5.58%
"Sept. 30, 2003",5.73%
"June 30, 2003",4.79%
"March 31, 2003",5.07%
"Dec. 31, 2002",3.50%
"Sept. 30, 2002",3.53%
"June 30, 2002",5.05%
"March 31, 2002",4.97%
"Dec. 31, 2001",6.51%
"Sept. 30, 2001",6.34%
"June 30, 2001",6.46%
"March 31, 2001",6.64%
"Dec. 31, 2000",6.97%
"Sept. 30, 2000",7.80%
"June 30, 2000",7.77%
"March 31, 2000",6.68%
"Dec. 31, 1999",7.85%
"Sept. 30, 1999",7.74%
"June 30, 1999",7.82%
"March 31, 1999",9.18%
"Dec. 31, 1998",7.95%
"Sept. 30, 1998",7.85%
"June 30, 1998",7.54%
"March 31, 1998",7.39%
"Dec. 31, 1997",7.33%
"Sept. 30, 1997",7.29%
"June 30, 1997",7.20%
"March 31, 1997",7.08%
"Dec. 31, 1996",6.99%
"Sept. 30, 1996",6.83%
"June 30, 1996",6.66%
"March 31, 1996",6.44%
"Dec. 31, 1995",6.44%
"Sept. 30, 1995",6.40%
"June 30, 1995",6.13%
"March 31, 1995",5.94%
"Dec. 31, 1994",5.86%
"Sept. 30, 1994",5.94%
