date,net_income_annual_cs_rev
"Dec. 31, 2019",19.63%
"Dec. 31, 2018",39.68%
"Dec. 31, 2017",31.33%
"Dec. 31, 2016",18.01%
"Dec. 31, 2015",15.74%
"Dec. 31, 2014",14.48%
"Dec. 31, 2013",12.61%
"Dec. 31, 2012",13.40%
"Dec. 31, 2011",12.54%
"Dec. 31, 2010",12.78%
"Dec. 31, 2009",10.32%
"Dec. 31, 2008",9.99%
"Dec. 31, 2007",8.60%
"Dec. 31, 2006",8.15%
"Dec. 31, 2005",7.61%
"Dec. 31, 2004",8.52%
"Dec. 31, 2003",9.24%
"Dec. 31, 2002",5.79%
"Dec. 31, 2001",9.50%
"Dec. 31, 2000",9.94%
"Dec. 31, 1999",10.83%
"Dec. 31, 1998",9.97%
"Dec. 31, 1997",9.70%
"Dec. 31, 1996",9.59%
"Dec. 31, 1995",9.89%
"Dec. 31, 1994",9.57%
"Dec. 31, 1993",8.06%
"Dec. 31, 1992",8.99%
"Dec. 31, 1991",4.58%
"Dec. 31, 1990",-6.22%
"Dec. 31, 1989",6.64%
"Dec. 31, 1988",7.65%
"Dec. 31, 1987",9.08%
"Dec. 31, 1986",8.93%
"Dec. 31, 1985",8.56%
"Dec. 31, 1984",7.68%
