date,shares_outstanding
"Jan. 31, 2020",488.97M
"Dec. 31, 2019",489.00M
"Sept. 30, 2019",488.78M
"Sept. 3, 2019",488.75M
"June 30, 2019",479.10M
"March 31, 2019",478.94M
"March 26, 2019",478.89M
"Jan. 31, 2019",478.17M
"Dec. 31, 2018",478.00M
"Sept. 30, 2018",477.95M
"June 30, 2018",471.60M
"March 31, 2018",471.44M
"March 26, 2018",471.44M
"Jan. 31, 2018",470.79M
"Dec. 31, 2017",471.00M
"Sept. 30, 2017",470.40M
"June 30, 2017",469.23M
"March 31, 2017",468.16M
"March 23, 2017",468.17M
"Jan. 31, 2017",467.58M
"Dec. 31, 2016",468.00M
"Sept. 30, 2016",467.27M
"June 30, 2016",461.97M
"March 31, 2016",461.45M
"March 23, 2016",461.43M
"Jan. 31, 2016",460.60M
"Dec. 31, 2015",461.00M
"Sept. 30, 2015",460.54M
"June 30, 2015",452.10M
"March 31, 2015",444.12M
"March 24, 2015",444.12M
"Jan. 31, 2015",443.45M
"Dec. 31, 2014",443.00M
"Sept. 30, 2014",436.48M
"June 30, 2014",436.36M
"March 31, 2014",436.12M
"March 24, 2014",436.12M
"Jan. 31, 2014",435.38M
"Dec. 31, 2013",435.00M
"Sept. 30, 2013",430.68M
"June 30, 2013",424.66M
"March 31, 2013",424.64M
"March 25, 2013",424.64M
"Jan. 31, 2013",423.87M
"Dec. 31, 2012",424.00M
"Sept. 30, 2012",423.21M
"June 30, 2012",422.76M
"March 31, 2012",417.08M
"March 27, 2012",417.08M
"Jan. 31, 2012",416.21M
"Dec. 31, 2011",416.00M
"Sept. 30, 2011",422.54M
"June 30, 2011",422.34M
"March 31, 2011",421.96M
"March 22, 2011",421.96M
"Jan. 31, 2011",420.95M
"Dec. 31, 2010",421.00M
"Sept. 30, 2010",418.42M
"June 30, 2010",415.84M
"March 31, 2010",414.67M
"March 22, 2010",414.50M
"Jan. 31, 2010",413.69M
"Dec. 31, 2009",414.00M
"Sept. 30, 2009",413.35M
"June 30, 2009",411.46M
"March 31, 2009",410.79M
"Jan. 31, 2009",408.95M
"Sept. 30, 2008",408.73M
"June 30, 2008",408.49M
"March 31, 2008",408.12M
"Jan. 31, 2008",407.37M
"Dec. 31, 2007",407.34M
"Sept. 30, 2007",407.08M
"June 30, 2007",406.83M
"March 31, 2007",406.42M
"Jan. 31, 2007",405.59M
"Dec. 31, 2006",405.40M
"Sept. 30, 2006",404.75M
"June 30, 2006",404.42M
"March 31, 2006",404.26M
"Jan. 31, 2006",394.86M
"Dec. 31, 2005",394.85M
"Sept. 30, 2005",394.86M
"June 30, 2005",394.02M
"April 30, 2005",391.96M
"March 31, 2005",391.96M
"Jan. 31, 2005",372.65M
"Dec. 31, 2004",372.35M
"Sept. 30, 2004",371.18M
"June 30, 2004",370.52M
"March 31, 2004",369.62M
"Jan. 31, 2004",368.72M
"Dec. 31, 2003",368.53M
"Oct. 31, 2003",367.89M
"Sept. 30, 2003",367.27M
"July 31, 2003",367.27M
"June 30, 2003",367.27M
"April 30, 2003",366.58M
"March 31, 2003",366.58M
"Feb. 28, 2003",366.08M
"Dec. 31, 2002",365.51M
"Oct. 31, 2002",365.03M
"Sept. 30, 2002",365.03M
"July 31, 2002",364.26M
"June 30, 2002",364.26M
"April 30, 2002",352.02M
"March 31, 2002",352.02M
"Feb. 28, 2002",351.65M
"Dec. 31, 2001",351.71M
"Oct. 31, 2001",351.74M
"Sept. 30, 2001",351.74M
"July 31, 2001",351.75M
"June 30, 2001",351.75M
"March 31, 2001",351.72M
"Jan. 31, 2001",351.64M
"Dec. 31, 2000",351.53M
"Sept. 30, 2000",353.77M
"July 31, 2000",355.50M
"June 30, 2000",355.50M
"March 31, 2000",356.33M
"Jan. 31, 2000",356.49M
"Dec. 31, 1999",358.28M
"Sept. 30, 1999",358.28M
"June 30, 1999",358.48M
"March 31, 1999",360.33M
"Jan. 31, 1999",360.67M
"Dec. 31, 1998",361.42M
"Sept. 30, 1998",361.77M
"June 30, 1998",362.43M
"March 31, 1998",362.96M
"Jan. 31, 1998",363.52M
"Dec. 31, 1997",363.52M
"Sept. 30, 1997",363.81M
"June 30, 1997",364.19M
"March 31, 1997",364.89M
"Feb. 28, 1997",364.89M
"Dec. 31, 1996",364.89M
"Sept. 30, 1996",366.00M
"June 30, 1996",366.71M
"Feb. 26, 1996",369.03M
"Dec. 31, 1995",369.03M
"March 31, 1995",371.01M
"Feb. 28, 1995",372.89M
"Dec. 31, 1994",372.89M
"Sept. 30, 1994",354.41M
"June 30, 1994",358.65M
"March 31, 1994",358.65M
"Dec. 31, 1993",380.13M
"Sept. 30, 1993",379.08M
